log_guid,fight_id,outcome,duration,duration_in_sec,wcl_boss_id,boss_text,zone_name,boss_level,affix_icon,fight_time
krHWBwbZy21Jd9YL,1,kill,44:20,2660,60670,Grim Batol,Grim Batol,,,8:58 AM
krHWBwbZy21Jd9YL,2,wipe,0:00,0,60670,Grim Batol,Grim Batol,,,9:42 AM
krHWBwbZy21Jd9YL,,kill,46:00,2760,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Voidbound,10:03 AM
krHWBwbZy21Jd9YL,,kill,40:24,2424,61822,Siege of Boralus,Siege of Boralus,10,Xal'atath's Bargain: Voidbound,10:53 AM
krHWBwbZy21Jd9YL,,kill,30:50,1850,62290,Mists of Tirna Scithe,Mists of Tirna Scithe,10,Xal'atath's Bargain: Voidbound,11:38 AM
y4wWbB83LmA7TpGt,,wipe,21:28,1288,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Oblivion,1:02 PM
y4wWbB83LmA7TpGt,,wipe,52:27,3147,12662,Hallowfall,Hallowfall,10,Xal'atath's Bargain: Oblivion,1:23 PM
y4wWbB83LmA7TpGt,,kill,30:24,1824,62286,The Necrotic Wake,The Necrotic Wake,10,Xal'atath's Bargain: Oblivion,2:16 PM
y4wWbB83LmA7TpGt,,kill,57:08,3428,12652,The Stonevault,The Stonevault,10,Xal'atath's Bargain: Oblivion,2:56 PM
GYj2ApkMdbfh3WcD,,wipe,16:22,982,62286,The Necrotic Wake,The Necrotic Wake,10,Xal'atath's Bargain: Voidbound,7:23 AM
GYj2ApkMdbfh3WcD,,wipe,6:43,403,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Voidbound,8:27 AM
tq4nZCLRPz16dXJK,1,wipe,8:14,494,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,2:48 PM
tq4nZCLRPz16dXJK,2,wipe,1:01:58,3718,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,2:56 PM
tq4nZCLRPz16dXJK,1,wipe,8:14,494,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,2:48 PM
tq4nZCLRPz16dXJK,2,wipe,1:01:58,3718,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,2:56 PM
nc6PFX3arQZf4yvA,19,kill,36:41,2201,12669,City of Threads,City of Threads,,,10:23 PM
nc6PFX3arQZf4yvA,18,wipe,5:12,312,12669,City of Threads,City of Threads,,,10:18 PM
nc6PFX3arQZf4yvA,,wipe,23:22,1402,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Oblivion,11:03 PM
nc6PFX3arQZf4yvA,,kill,28:20,1700,62290,Mists of Tirna Scithe,Mists of Tirna Scithe,10,Xal'atath's Bargain: Oblivion,11:26 PM
nc6PFX3arQZf4yvA,,kill,31:30,1890,12652,The Stonevault,The Stonevault,10,Xal'atath's Bargain: Voidbound,1:22 AM
nc6PFX3arQZf4yvA,26,kill,25:44,1544,12662,Hallowfall,Hallowfall,,,2:18 AM
nc6PFX3arQZf4yvA,24,wipe,6:11,371,12662,Hallowfall,Hallowfall,,,2:04 AM
nc6PFX3arQZf4yvA,25,wipe,7:41,461,12662,Hallowfall,Hallowfall,,,2:11 AM
nc6PFX3arQZf4yvA,24,wipe,6:11,371,12662,Hallowfall,Hallowfall,,,2:04 AM
nc6PFX3arQZf4yvA,25,wipe,7:41,461,12662,Hallowfall,Hallowfall,,,2:11 AM
3QPh9b7vcZJ6zkYj,1,wipe,8:00,480,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:41 AM
3QPh9b7vcZJ6zkYj,2,wipe,2:29,149,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:49 AM
3QPh9b7vcZJ6zkYj,1,wipe,8:00,480,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:41 AM
3QPh9b7vcZJ6zkYj,2,wipe,2:29,149,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:49 AM
3QPh9b7vcZJ6zkYj,5,kill,41:27,2487,60670,Grim Batol,Grim Batol,,,1:43 PM
3QPh9b7vcZJ6zkYj,17,kill,33:40,2020,60670,Grim Batol,Grim Batol,,,6:37 PM
3QPh9b7vcZJ6zkYj,3,wipe,3:54,234,60670,Grim Batol,Grim Batol,,,1:25 PM
3QPh9b7vcZJ6zkYj,4,wipe,14:01,841,60670,Grim Batol,Grim Batol,,,1:29 PM
3QPh9b7vcZJ6zkYj,16,wipe,2:40,160,60670,Grim Batol,Grim Batol,,,6:35 PM
3QPh9b7vcZJ6zkYj,3,wipe,3:54,234,60670,Grim Batol,Grim Batol,,,1:25 PM
