log_guid,fight_id,outcome,duration,duration_in_sec,wcl_boss_id,boss_text,zone_name,boss_level,affix_icon,fight_time
nc6PFX3arQZf4yvA,19,kill,36:41,2201,12669,City of Threads,City of Threads,,,10:23 PM
nc6PFX3arQZf4yvA,18,wipe,5:12,312,12669,City of Threads,City of Threads,,,10:18 PM
6JGRLMT8qpvQ4PVn,,kill,38:49,2329,12669,City of Threads,City of Threads,10,Xal'atath's Bargain: Oblivion,2:09 PM
mqp8QJdrGCFgRx1W,,kill,48:04,2884,12669,City of Threads,City of Threads,10,Xal'atath's Bargain: Oblivion,3:20 AM
Vd2wgWQKA8zDaYM1,18,kill,48:40,2920,12669,City of Threads,City of Threads,,,4:06 AM
Vd2wgWQKA8zDaYM1,7,wipe,1:01:04,3664,12669,City of Threads,City of Threads,,,5:21 AM
7KwkD8dQmjARvb1M,,wipe,1:02:33,3753,12669,City of Threads,City of Threads,10,Xal'atath's Bargain: Ascendant,3:22 AM
AYdHRMfa3X76Bmgv,11,wipe,20:02,1202,12669,City of Threads,City of Threads,,,3:28 PM
AYdHRMfa3X76Bmgv,12,wipe,21:19,1279,12669,City of Threads,City of Threads,,,3:49 PM
AYdHRMfa3X76Bmgv,11,wipe,20:02,1202,12669,City of Threads,City of Threads,,,3:28 PM
AYdHRMfa3X76Bmgv,12,wipe,21:19,1279,12669,City of Threads,City of Threads,,,3:49 PM
yjhxkPMFZgL2CKV7,,kill,54:41,3281,12669,City of Threads,City of Threads,10,Xal'atath's Bargain: Ascendant,2:21 PM
31Qp42LchjNZXTG8,,wipe,32:13,1933,12669,City of Threads,City of Threads,2,Xal'atath's Bargain: Voidbound,10:47 AM
axz1NVFWkhABf9Hw,2,kill,46:46,2806,12669,City of Threads,City of Threads,,,12:39 AM
axz1NVFWkhABf9Hw,1,wipe,10:08,608,12669,City of Threads,City of Threads,,,12:29 AM
DF1qbKdHXGBP8rWN,,wipe,30:41,1841,12669,City of Threads,City of Threads,5,Xal'atath's Bargain: Voidbound,5:03 PM
KCXwtHkRmLVJr4qD,,wipe,18:28,1108,12669,City of Threads,City of Threads,10,Xal'atath's Bargain: Voidbound,11:47 AM
BTG2g8HW3wzRXPct,27,kill,40:13,2413,12669,City of Threads,City of Threads,,,1:46 PM
BTG2g8HW3wzRXPct,22,wipe,13:09,789,12669,City of Threads,City of Threads,,,12:29 PM
BTG2g8HW3wzRXPct,23,wipe,5:53,353,12669,City of Threads,City of Threads,,,12:42 PM
BTG2g8HW3wzRXPct,24,wipe,7:52,472,12669,City of Threads,City of Threads,,,12:48 PM
BTG2g8HW3wzRXPct,25,wipe,26:43,1603,12669,City of Threads,City of Threads,,,12:56 PM
BTG2g8HW3wzRXPct,26,wipe,23:11,1391,12669,City of Threads,City of Threads,,,1:23 PM
BTG2g8HW3wzRXPct,22,wipe,13:09,789,12669,City of Threads,City of Threads,,,12:29 PM
BTG2g8HW3wzRXPct,23,wipe,5:53,353,12669,City of Threads,City of Threads,,,12:42 PM
BTG2g8HW3wzRXPct,24,wipe,7:52,472,12669,City of Threads,City of Threads,,,12:48 PM
BTG2g8HW3wzRXPct,25,wipe,26:43,1603,12669,City of Threads,City of Threads,,,12:56 PM
BTG2g8HW3wzRXPct,26,wipe,23:11,1391,12669,City of Threads,City of Threads,,,1:23 PM
cfdTQwZ43yqhJjkr,2,kill,54:01,3241,12669,City of Threads,City of Threads,,,11:00 AM
cfdTQwZ43yqhJjkr,4,wipe,0:00,0,12669,City of Threads,City of Threads,,,11:54 AM
cfdTQwZ43yqhJjkr,5,wipe,0:00,0,12669,City of Threads,City of Threads,,,11:59 AM
cfdTQwZ43yqhJjkr,4,wipe,0:00,0,12669,City of Threads,City of Threads,,,11:54 AM
cfdTQwZ43yqhJjkr,5,wipe,0:00,0,12669,City of Threads,City of Threads,,,11:59 AM
tyRBPLZY1cDhvdmF,8,kill,52:44,3164,12669,City of Threads,City of Threads,,,12:30 PM
tyRBPLZY1cDhvdmF,7,wipe,11:48,708,12669,City of Threads,City of Threads,,,12:18 PM
wzyJ7BFWmQRxdH3G,,kill,37:11,2231,12669,City of Threads,City of Threads,10,Xal'atath's Bargain: Ascendant,1:00 AM
W2dvBxYa8y1CLXHg,,wipe,39:46,2386,12669,City of Threads,City of Threads,3,Xal'atath's Bargain: Ascendant,11:17 PM
crJxhR6BzGn7ZvyX,,kill,49:56,2996,12669,City of Threads,City of Threads,6,Xal'atath's Bargain: Ascendant,4:06 AM
X4knPWaNCx6HRZwz,,kill,1:27:07,5227,12669,City of Threads,City of Threads,10,Xal'atath's Bargain: Frenzied,3:33 AM
