GUID,Description,Guild,Owner,Visibility,UploadedAsEpoch,UploadedAsDateTime,DurationAsEpoch,DurationAsTime,"Ara-Kara, City of Echoes",Eco-Dome Al'dani,Halls of Atonement,Operation: Floodgate,Priory of the Sacred Flame,Tazavesh: So'leah's Gambit,Tazavesh: Streets of Wonder,The Dawnbreaker
mrYWQ6kCLwGBxjtz,酒仙能活出来吗第二季,OriginalFire,yueyue2252gu,Public,1754383914,"August 5, 2025 10:51 AM",9314180,3 hours,1,0,0,1,1,0,0,0
9hbLtQBnK3xdg4Ma,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1754381977,"August 5, 2025 10:19 AM",11990798,3 hours,1,0,1,0,0,0,1,0
gYTHPnb3RZthBVrw,16 dawnyb with shin and flames,Personal Logs,Nice,Public,1754376210,"August 5, 2025 8:43 AM",15233337,4 hours,1,0,0,0,1,1,0,1
y6WTgC1vkBjAahZV,Mythic+ Season 3,Personal Logs,Fracasso,Public,1754362864,"August 5, 2025 5:01 AM",13631413,4 hours,1,0,0,0,0,0,0,0
qVPmJDTd4rCxGzXN,Mythic+ Season 3,Personal Logs,Fracasso,Public,1754359547,"August 5, 2025 4:05 AM",9339598,3 hours,1,0,0,0,0,0,0,0
fbBHhpwMzWtgYX9V,Mythic+ Season 3,Personal Logs,Arkanigth,Public,1754358656,"August 5, 2025 3:50 AM",2428069,40 minutes,1,0,0,0,0,1,0,0
XqHPMNv8Bw2AzRkF,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1754354072,"August 5, 2025 2:34 AM",25402183,7 hours,1,0,0,1,1,1,1,1
CmMfz62cnahNvqLG,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754352995,"August 5, 2025 2:16 AM",21546556,6 hours,1,0,0,0,1,1,1,1
DzCMrKXjkcZBn816,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754350561,"August 5, 2025 1:36 AM",21027885,6 hours,1,0,0,0,1,1,1,1
9aCktvPc4MD8xG2h,m+ ptr monday 04/08,Personal Logs,TomElvis,Public,1754350496,"August 5, 2025 1:34 AM",11264602,3 hours,1,1,1,0,0,0,0,1
kC8Ld6jDmpGgc3zQ,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754345497,"August 5, 2025 12:11 AM",16045146,4 hours,1,0,0,0,1,0,0,1
aRHyWvGgdc62MAzQ,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754338316,"August 4, 2025 10:11 PM",8886855,2 hours,1,0,0,0,0,0,0,1
JB19L7wCdaHTQ4rN,Mythic+ Season 3,Personal Logs,ricardowarrior,Public,1754335250,"August 4, 2025 9:20 PM",8709153,2 hours,1,0,0,1,0,0,0,1
MZdmCnQ4cvJ1X6hP,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754332874,"August 4, 2025 8:41 PM",3516118,an hour,1,0,0,0,0,0,0,1
ZrAqLKgJNYVPDX3d,Mythic+ Season 3,Personal Logs,Sirnoob18,Public,1754322948,"August 4, 2025 5:55 PM",2738423,an hour,1,0,0,0,0,0,0,0
