log_guid,fight_id,outcome,duration,duration_in_sec,wcl_boss_id,boss_text,zone_name,boss_level,affix_icon,fight_time
krHWBwbZy21Jd9YL,,kill,46:00,2760,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Voidbound,10:03 AM
y4wWbB83LmA7TpGt,,wipe,21:28,1288,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Oblivion,1:02 PM
GYj2ApkMdbfh3WcD,,wipe,6:43,403,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Voidbound,8:27 AM
tq4nZCLRPz16dXJK,1,wipe,8:14,494,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,2:48 PM
tq4nZCLRPz16dXJK,2,wipe,1:01:58,3718,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,2:56 PM
tq4nZCLRPz16dXJK,1,wipe,8:14,494,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,2:48 PM
tq4nZCLRPz16dXJK,2,wipe,1:01:58,3718,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,2:56 PM
nc6PFX3arQZf4yvA,,wipe,23:22,1402,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Oblivion,11:03 PM
3QPh9b7vcZJ6zkYj,1,wipe,8:00,480,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:41 AM
3QPh9b7vcZJ6zkYj,2,wipe,2:29,149,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:49 AM
3QPh9b7vcZJ6zkYj,1,wipe,8:00,480,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:41 AM
3QPh9b7vcZJ6zkYj,2,wipe,2:29,149,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:49 AM
7LYkXfbhdCRwB94m,1,wipe,8:00,480,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:41 AM
7LYkXfbhdCRwB94m,2,wipe,2:29,149,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:49 AM
7LYkXfbhdCRwB94m,1,wipe,8:00,480,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:41 AM
7LYkXfbhdCRwB94m,2,wipe,2:29,149,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,10:49 AM
6JGRLMT8qpvQ4PVn,18,wipe,19:56,1196,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,11:38 AM
6JGRLMT8qpvQ4PVn,19,wipe,20:19,1219,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,11:58 AM
6JGRLMT8qpvQ4PVn,18,wipe,19:56,1196,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,11:38 AM
6JGRLMT8qpvQ4PVn,19,wipe,20:19,1219,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,11:58 AM
mqp8QJdrGCFgRx1W,,wipe,27:56,1676,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Oblivion,2:52 AM
wCpNcT8abfg6zjx1,,wipe,32:38,1958,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",8,Xal'atath's Bargain: Oblivion,1:53 AM
qpYtPH4bxgk2Cdhf,,wipe,42:02,2522,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Oblivion,5:21 PM
Vd2wgWQKA8zDaYM1,2,wipe,35:24,2124,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,1:49 AM
Vd2wgWQKA8zDaYM1,5,wipe,25:45,1545,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,4:28 AM
Vd2wgWQKA8zDaYM1,2,wipe,35:24,2124,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,1:49 AM
Vd2wgWQKA8zDaYM1,5,wipe,25:45,1545,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,4:28 AM
13R8ZLxWyMcpHdwQ,,kill,29:56,1796,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Ascendant,3:39 PM
yvDZ4BGcCq2t8W9K,,wipe,0:00,0,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Ascendant,3:38 PM
phLYGCnDrR9kb8XP,11,kill,50:25,3025,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,6:32 AM
phLYGCnDrR9kb8XP,13,kill,20:25,1225,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,7:28 AM
vDxhzbacp2W6JPM8,13,wipe,44:12,2652,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,5:17 AM
vDxhzbacp2W6JPM8,14,wipe,53:27,3207,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,6:01 AM
vDxhzbacp2W6JPM8,13,wipe,44:12,2652,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,5:17 AM
vDxhzbacp2W6JPM8,14,wipe,53:27,3207,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,6:01 AM
cj3hQDFYBqT9PC4a,,kill,1:00:24,3624,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Voidbound,5:29 AM
2AwHrRXJWy9j3BP6,,wipe,36:15,2175,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",3,Xal'atath's Bargain: Voidbound,11:16 PM
H4WkGbCwApzd6Qtx,,kill,41:30,2490,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Voidbound,12:19 PM
7KwkD8dQmjARvb1M,,wipe,1:11:55,4315,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Ascendant,8:03 AM
dkJf2jHvXRyg1BAp,,kill,29:33,1773,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Voidbound,2:15 AM
rg3wtByNnvGRPC2L,,wipe,31:59,1919,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",4,Xal'atath's Bargain: Ascendant,4:52 PM
AYdHRMfa3X76Bmgv,,wipe,26:27,1587,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",11,Xal'atath's Bargain: Ascendant,4:51 PM
LdXBkz3CGpqnN92f,,wipe,34:51,2091,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",6,Xal'atath's Bargain: Voidbound,6:09 PM
qYDxmXdg6MCVF9wQ,,wipe,1:09:32,4172,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Ascendant,5:15 PM
gG8bX9C2aKHWfFBA,4,wipe,12:43,763,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,9:42 PM
gG8bX9C2aKHWfFBA,5,wipe,1:03:39,3819,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,9:55 PM
gG8bX9C2aKHWfFBA,4,wipe,12:43,763,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,9:42 PM
gG8bX9C2aKHWfFBA,5,wipe,1:03:39,3819,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,9:55 PM
yjhxkPMFZgL2CKV7,,wipe,1:31:40,5500,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Ascendant,3:49 PM
AP6n8GYfRBTHgrhq,,wipe,9:40,580,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",3,Xal'atath's Bargain: Ascendant,6:19 PM
NK1XGrngazw2Q3mv,,wipe,9:40,580,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",3,Xal'atath's Bargain: Ascendant,6:19 PM
p4rvYRy9dgxqHMFB,,wipe,34:21,2061,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",3,Xal'atath's Bargain: Ascendant,6:20 AM
yjtmN1D7zM4CVFbw,1,wipe,27:05,1625,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,3:33 PM
yjtmN1D7zM4CVFbw,2,wipe,1:01:50,3710,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,4:00 PM
yjtmN1D7zM4CVFbw,1,wipe,27:05,1625,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,3:33 PM
yjtmN1D7zM4CVFbw,2,wipe,1:01:50,3710,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",,,4:00 PM
KQM7qJGVcxLhdz41,,wipe,39:50,2390,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",9,Xal'atath's Bargain: Ascendant,10:16 AM
31Qp42LchjNZXTG8,,wipe,18:09,1089,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",4,Xal'atath's Bargain: Ascendant,10:28 AM
DdVWNT3wxGPnB7qY,,kill,28:45,1725,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",7,Xal'atath's Bargain: Ascendant,8:53 AM
axz1NVFWkhABf9Hw,,wipe,33:05,1985,12660,"Ara-Kara, City of Echoes","Ara-Kara, City of Echoes",10,Xal'atath's Bargain: Ascendant,1:29 AM
