log_guid,fight_id,outcome,duration,duration_in_sec,wcl_boss_id,boss_text,boss_level,affix_icon,fight_time
mrYWQ6kCLwGBxjtz,2,kill,39:59,2399,62773,Operation: Floodgate,,,4:09 PM
mrYWQ6kCLwGBxjtz,1,wipe,1:39,99,62773,Operation: Floodgate,,,4:01 PM
mrYWQ6kCLwGBxjtz,6,kill,32:19,1939,62660,"Ara-Kara, City of Echoes",,,5:02 PM
mrYWQ6kCLwGBxjtz,4,wipe,0:58,58,62660,"Ara-Kara, City of Echoes",,,4:52 PM
mrYWQ6kCLwGBxjtz,5,wipe,2:05,125,62660,"Ara-Kara, City of Echoes",,,4:57 PM
mrYWQ6kCLwGBxjtz,,kill,45:38,2738,62649,Priory of the Sacred Flame,15,Fortified,5:39 PM
9hbLtQBnK3xdg4Ma,1,wipe,3:16,196,112441,Tazavesh: Streets of Wonder,,,6:59 AM
9hbLtQBnK3xdg4Ma,2,wipe,1:29,89,112441,Tazavesh: Streets of Wonder,,,7:03 AM
9hbLtQBnK3xdg4Ma,3,wipe,2:44,164,62660,"Ara-Kara, City of Echoes",,,8:56 AM
9hbLtQBnK3xdg4Ma,4,wipe,12:38,758,62660,"Ara-Kara, City of Echoes",,,8:59 AM
9hbLtQBnK3xdg4Ma,6,kill,33:09,1989,62287,Halls of Atonement,,,9:44 AM
9hbLtQBnK3xdg4Ma,5,wipe,4:57,297,62287,Halls of Atonement,,,9:39 AM
gYTHPnb3RZthBVrw,,kill,28:58,1738,112442,Tazavesh: So'leah's Gambit,14,Fortified,4:31 AM
gYTHPnb3RZthBVrw,2,kill,28:10,1690,62662,The Dawnbreaker,,,5:06 AM
gYTHPnb3RZthBVrw,8,kill,31:40,1900,62662,The Dawnbreaker,,,8:10 AM
gYTHPnb3RZthBVrw,5,kill,35:55,2155,62649,Priory of the Sacred Flame,,,5:59 AM
gYTHPnb3RZthBVrw,4,wipe,4:07,247,62649,Priory of the Sacred Flame,,,5:47 AM
gYTHPnb3RZthBVrw,6,wipe,10:08,608,62660,"Ara-Kara, City of Echoes",,,7:36 AM
gYTHPnb3RZthBVrw,7,wipe,16:28,988,62660,"Ara-Kara, City of Echoes",,,7:47 AM
y6WTgC1vkBjAahZV,17,kill,26:19,1579,62660,"Ara-Kara, City of Echoes",,,4:29 AM
y6WTgC1vkBjAahZV,1,wipe,20:04,1204,62660,"Ara-Kara, City of Echoes",,,1:10 AM
y6WTgC1vkBjAahZV,7,wipe,2:52,172,62660,"Ara-Kara, City of Echoes",,,1:41 AM
y6WTgC1vkBjAahZV,8,wipe,26:09,1569,62660,"Ara-Kara, City of Echoes",,,1:44 AM
y6WTgC1vkBjAahZV,9,wipe,1:12,72,62660,"Ara-Kara, City of Echoes",,,2:10 AM
y6WTgC1vkBjAahZV,11,wipe,4:49,289,62660,"Ara-Kara, City of Echoes",,,2:38 AM
y6WTgC1vkBjAahZV,12,wipe,16:45,1005,62660,"Ara-Kara, City of Echoes",,,2:43 AM
y6WTgC1vkBjAahZV,13,wipe,13:10,790,62660,"Ara-Kara, City of Echoes",,,3:00 AM
y6WTgC1vkBjAahZV,14,wipe,17:36,1056,62660,"Ara-Kara, City of Echoes",,,3:13 AM
y6WTgC1vkBjAahZV,15,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,3:30 AM
y6WTgC1vkBjAahZV,16,wipe,9:07,547,62660,"Ara-Kara, City of Echoes",,,3:33 AM
qVPmJDTd4rCxGzXN,1,wipe,20:04,1204,62660,"Ara-Kara, City of Echoes",,,1:10 AM
qVPmJDTd4rCxGzXN,7,wipe,2:52,172,62660,"Ara-Kara, City of Echoes",,,1:41 AM
qVPmJDTd4rCxGzXN,8,wipe,26:09,1569,62660,"Ara-Kara, City of Echoes",,,1:44 AM
qVPmJDTd4rCxGzXN,9,wipe,1:12,72,62660,"Ara-Kara, City of Echoes",,,2:10 AM
qVPmJDTd4rCxGzXN,11,wipe,4:49,289,62660,"Ara-Kara, City of Echoes",,,2:38 AM
qVPmJDTd4rCxGzXN,12,wipe,16:45,1005,62660,"Ara-Kara, City of Echoes",,,2:43 AM
qVPmJDTd4rCxGzXN,13,wipe,13:10,790,62660,"Ara-Kara, City of Echoes",,,3:00 AM
qVPmJDTd4rCxGzXN,14,wipe,17:36,1056,62660,"Ara-Kara, City of Echoes",,,3:13 AM
qVPmJDTd4rCxGzXN,15,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,3:30 AM
qVPmJDTd4rCxGzXN,16,wipe,9:07,547,62660,"Ara-Kara, City of Echoes",,,3:33 AM
XqHPMNv8Bw2AzRkF,2,wipe,1:24,84,112441,Tazavesh: Streets of Wonder,,,7:33 PM
XqHPMNv8Bw2AzRkF,19,wipe,16:47,1007,112441,Tazavesh: Streets of Wonder,,,12:24 AM
XqHPMNv8Bw2AzRkF,20,wipe,5:32,332,112441,Tazavesh: Streets of Wonder,,,12:41 AM
XqHPMNv8Bw2AzRkF,21,wipe,2:56,176,112441,Tazavesh: Streets of Wonder,,,12:46 AM
XqHPMNv8Bw2AzRkF,22,wipe,14:59,899,112441,Tazavesh: Streets of Wonder,,,12:49 AM
XqHPMNv8Bw2AzRkF,6,kill,29:12,1752,62660,"Ara-Kara, City of Echoes",,,7:55 PM
XqHPMNv8Bw2AzRkF,3,wipe,3:40,220,62660,"Ara-Kara, City of Echoes",,,7:46 PM
XqHPMNv8Bw2AzRkF,4,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,7:50 PM
XqHPMNv8Bw2AzRkF,5,wipe,1:57,117,62660,"Ara-Kara, City of Echoes",,,7:53 PM
XqHPMNv8Bw2AzRkF,10,kill,30:34,1834,62662,The Dawnbreaker,,,9:40 PM
XqHPMNv8Bw2AzRkF,7,wipe,5:58,358,62662,The Dawnbreaker,,,8:35 PM
XqHPMNv8Bw2AzRkF,8,wipe,17:29,1049,62662,The Dawnbreaker,,,8:41 PM
XqHPMNv8Bw2AzRkF,9,wipe,41:54,2514,62662,The Dawnbreaker,,,8:58 PM
XqHPMNv8Bw2AzRkF,18,kill,31:13,1873,62649,Priory of the Sacred Flame,,,11:38 PM
XqHPMNv8Bw2AzRkF,12,wipe,3:43,223,62649,Priory of the Sacred Flame,,,10:42 PM
XqHPMNv8Bw2AzRkF,13,wipe,4:43,283,62649,Priory of the Sacred Flame,,,10:46 PM
XqHPMNv8Bw2AzRkF,14,wipe,21:21,1281,62649,Priory of the Sacred Flame,,,10:50 PM
XqHPMNv8Bw2AzRkF,15,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:12 PM
XqHPMNv8Bw2AzRkF,16,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:23 PM
XqHPMNv8Bw2AzRkF,17,wipe,1:13,73,62649,Priory of the Sacred Flame,,,11:34 PM
XqHPMNv8Bw2AzRkF,,kill,28:10,1690,112442,Tazavesh: So'leah's Gambit,20,Fortified,1:04 AM
XqHPMNv8Bw2AzRkF,,kill,35:03,2103,62773,Operation: Floodgate,17,Tyrannical,2:00 AM
CmMfz62cnahNvqLG,4,kill,29:12,1752,62660,"Ara-Kara, City of Echoes",,,7:55 PM
CmMfz62cnahNvqLG,1,wipe,3:40,220,62660,"Ara-Kara, City of Echoes",,,7:46 PM
CmMfz62cnahNvqLG,2,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,7:50 PM
CmMfz62cnahNvqLG,3,wipe,1:57,117,62660,"Ara-Kara, City of Echoes",,,7:53 PM
CmMfz62cnahNvqLG,8,kill,30:34,1834,62662,The Dawnbreaker,,,9:40 PM
CmMfz62cnahNvqLG,5,wipe,5:58,358,62662,The Dawnbreaker,,,8:35 PM
CmMfz62cnahNvqLG,6,wipe,17:29,1049,62662,The Dawnbreaker,,,8:41 PM
CmMfz62cnahNvqLG,7,wipe,29:08,1748,62662,The Dawnbreaker,,,8:58 PM
CmMfz62cnahNvqLG,16,kill,31:13,1873,62649,Priory of the Sacred Flame,,,11:39 PM
CmMfz62cnahNvqLG,10,wipe,3:43,223,62649,Priory of the Sacred Flame,,,10:42 PM
CmMfz62cnahNvqLG,11,wipe,4:43,283,62649,Priory of the Sacred Flame,,,10:46 PM
CmMfz62cnahNvqLG,12,wipe,15:56,956,62649,Priory of the Sacred Flame,,,10:50 PM
CmMfz62cnahNvqLG,13,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:12 PM
CmMfz62cnahNvqLG,14,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:23 PM
CmMfz62cnahNvqLG,15,wipe,4:12,252,62649,Priory of the Sacred Flame,,,11:34 PM
CmMfz62cnahNvqLG,17,wipe,16:48,1008,112441,Tazavesh: Streets of Wonder,,,12:24 AM
CmMfz62cnahNvqLG,18,wipe,5:32,332,112441,Tazavesh: Streets of Wonder,,,12:41 AM
CmMfz62cnahNvqLG,19,wipe,2:56,176,112441,Tazavesh: Streets of Wonder,,,12:46 AM
CmMfz62cnahNvqLG,20,wipe,14:59,899,112441,Tazavesh: Streets of Wonder,,,12:49 AM
