log_guid,fight_id,outcome,duration,duration_in_sec,wcl_boss_id,boss_text,boss_level,affix_icon,fight_time
mrYWQ6kCLwGBxjtz,6,kill,32:19,1939,62660,"Ara-Kara, City of Echoes",,,5:02 PM
mrYWQ6kCLwGBxjtz,4,wipe,0:58,58,62660,"Ara-Kara, City of Echoes",,,4:52 PM
mrYWQ6kCLwGBxjtz,5,wipe,2:05,125,62660,"Ara-Kara, City of Echoes",,,4:57 PM
9hbLtQBnK3xdg4Ma,3,wipe,2:44,164,62660,"Ara-Kara, City of Echoes",,,8:56 AM
9hbLtQBnK3xdg4Ma,4,wipe,12:38,758,62660,"Ara-Kara, City of Echoes",,,8:59 AM
gYTHPnb3RZthBVrw,6,wipe,10:08,608,62660,"Ara-Kara, City of Echoes",,,7:36 AM
gYTHPnb3RZthBVrw,7,wipe,16:28,988,62660,"Ara-Kara, City of Echoes",,,7:47 AM
y6WTgC1vkBjAahZV,17,kill,26:19,1579,62660,"Ara-Kara, City of Echoes",,,4:29 AM
y6WTgC1vkBjAahZV,1,wipe,20:04,1204,62660,"Ara-Kara, City of Echoes",,,1:10 AM
y6WTgC1vkBjAahZV,7,wipe,2:52,172,62660,"Ara-Kara, City of Echoes",,,1:41 AM
y6WTgC1vkBjAahZV,8,wipe,26:09,1569,62660,"Ara-Kara, City of Echoes",,,1:44 AM
y6WTgC1vkBjAahZV,9,wipe,1:12,72,62660,"Ara-Kara, City of Echoes",,,2:10 AM
y6WTgC1vkBjAahZV,11,wipe,4:49,289,62660,"Ara-Kara, City of Echoes",,,2:38 AM
y6WTgC1vkBjAahZV,12,wipe,16:45,1005,62660,"Ara-Kara, City of Echoes",,,2:43 AM
y6WTgC1vkBjAahZV,13,wipe,13:10,790,62660,"Ara-Kara, City of Echoes",,,3:00 AM
y6WTgC1vkBjAahZV,14,wipe,17:36,1056,62660,"Ara-Kara, City of Echoes",,,3:13 AM
y6WTgC1vkBjAahZV,15,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,3:30 AM
y6WTgC1vkBjAahZV,16,wipe,9:07,547,62660,"Ara-Kara, City of Echoes",,,3:33 AM
qVPmJDTd4rCxGzXN,1,wipe,20:04,1204,62660,"Ara-Kara, City of Echoes",,,1:10 AM
qVPmJDTd4rCxGzXN,7,wipe,2:52,172,62660,"Ara-Kara, City of Echoes",,,1:41 AM
qVPmJDTd4rCxGzXN,8,wipe,26:09,1569,62660,"Ara-Kara, City of Echoes",,,1:44 AM
qVPmJDTd4rCxGzXN,9,wipe,1:12,72,62660,"Ara-Kara, City of Echoes",,,2:10 AM
qVPmJDTd4rCxGzXN,11,wipe,4:49,289,62660,"Ara-Kara, City of Echoes",,,2:38 AM
qVPmJDTd4rCxGzXN,12,wipe,16:45,1005,62660,"Ara-Kara, City of Echoes",,,2:43 AM
qVPmJDTd4rCxGzXN,13,wipe,13:10,790,62660,"Ara-Kara, City of Echoes",,,3:00 AM
qVPmJDTd4rCxGzXN,14,wipe,17:36,1056,62660,"Ara-Kara, City of Echoes",,,3:13 AM
qVPmJDTd4rCxGzXN,15,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,3:30 AM
qVPmJDTd4rCxGzXN,16,wipe,9:07,547,62660,"Ara-Kara, City of Echoes",,,3:33 AM
XqHPMNv8Bw2AzRkF,6,kill,29:12,1752,62660,"Ara-Kara, City of Echoes",,,7:55 PM
XqHPMNv8Bw2AzRkF,3,wipe,3:40,220,62660,"Ara-Kara, City of Echoes",,,7:46 PM
XqHPMNv8Bw2AzRkF,4,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,7:50 PM
XqHPMNv8Bw2AzRkF,5,wipe,1:57,117,62660,"Ara-Kara, City of Echoes",,,7:53 PM
CmMfz62cnahNvqLG,4,kill,29:12,1752,62660,"Ara-Kara, City of Echoes",,,7:55 PM
CmMfz62cnahNvqLG,1,wipe,3:40,220,62660,"Ara-Kara, City of Echoes",,,7:46 PM
CmMfz62cnahNvqLG,2,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,7:50 PM
CmMfz62cnahNvqLG,3,wipe,1:57,117,62660,"Ara-Kara, City of Echoes",,,7:53 PM
DzCMrKXjkcZBn816,4,kill,29:12,1752,62660,"Ara-Kara, City of Echoes",,,7:55 PM
DzCMrKXjkcZBn816,1,wipe,3:40,220,62660,"Ara-Kara, City of Echoes",,,7:46 PM
DzCMrKXjkcZBn816,2,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,7:50 PM
DzCMrKXjkcZBn816,3,wipe,1:57,117,62660,"Ara-Kara, City of Echoes",,,7:53 PM
9aCktvPc4MD8xG2h,7,kill,28:05,1685,62660,"Ara-Kara, City of Echoes",,,9:09 PM
9aCktvPc4MD8xG2h,6,wipe,2:04,124,62660,"Ara-Kara, City of Echoes",,,9:07 PM
kC8Ld6jDmpGgc3zQ,4,kill,29:12,1752,62660,"Ara-Kara, City of Echoes",,,7:55 PM
kC8Ld6jDmpGgc3zQ,1,wipe,3:40,220,62660,"Ara-Kara, City of Echoes",,,7:46 PM
kC8Ld6jDmpGgc3zQ,2,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,7:50 PM
kC8Ld6jDmpGgc3zQ,3,wipe,1:57,117,62660,"Ara-Kara, City of Echoes",,,7:53 PM
aRHyWvGgdc62MAzQ,4,kill,29:12,1752,62660,"Ara-Kara, City of Echoes",,,7:55 PM
aRHyWvGgdc62MAzQ,1,wipe,3:40,220,62660,"Ara-Kara, City of Echoes",,,7:46 PM
aRHyWvGgdc62MAzQ,2,wipe,2:58,178,62660,"Ara-Kara, City of Echoes",,,7:50 PM
aRHyWvGgdc62MAzQ,3,wipe,1:57,117,62660,"Ara-Kara, City of Echoes",,,7:53 PM
