log_guid,fight_id,outcome,duration,duration_in_sec,wcl_boss_id,boss_text,boss_level,affix_icon,fight_time
mrYWQ6kCLwGBxjtz,,kill,45:38,2738,62649,Priory of the Sacred Flame,15,Fortified,5:39 PM
gYTHPnb3RZthBVrw,5,kill,35:55,2155,62649,Priory of the Sacred Flame,,,5:59 AM
gYTHPnb3RZthBVrw,4,wipe,4:07,247,62649,Priory of the Sacred Flame,,,5:47 AM
XqHPMNv8Bw2AzRkF,18,kill,31:13,1873,62649,Priory of the Sacred Flame,,,11:38 PM
XqHPMNv8Bw2AzRkF,12,wipe,3:43,223,62649,Priory of the Sacred Flame,,,10:42 PM
XqHPMNv8Bw2AzRkF,13,wipe,4:43,283,62649,Priory of the Sacred Flame,,,10:46 PM
XqHPMNv8Bw2AzRkF,14,wipe,21:21,1281,62649,Priory of the Sacred Flame,,,10:50 PM
XqHPMNv8Bw2AzRkF,15,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:12 PM
XqHPMNv8Bw2AzRkF,16,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:23 PM
XqHPMNv8Bw2AzRkF,17,wipe,1:13,73,62649,Priory of the Sacred Flame,,,11:34 PM
CmMfz62cnahNvqLG,16,kill,31:13,1873,62649,Priory of the Sacred Flame,,,11:39 PM
CmMfz62cnahNvqLG,10,wipe,3:43,223,62649,Priory of the Sacred Flame,,,10:42 PM
CmMfz62cnahNvqLG,11,wipe,4:43,283,62649,Priory of the Sacred Flame,,,10:46 PM
CmMfz62cnahNvqLG,12,wipe,15:56,956,62649,Priory of the Sacred Flame,,,10:50 PM
CmMfz62cnahNvqLG,13,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:12 PM
CmMfz62cnahNvqLG,14,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:23 PM
CmMfz62cnahNvqLG,15,wipe,4:12,252,62649,Priory of the Sacred Flame,,,11:34 PM
DzCMrKXjkcZBn816,16,kill,31:13,1873,62649,Priory of the Sacred Flame,,,11:39 PM
DzCMrKXjkcZBn816,10,wipe,3:43,223,62649,Priory of the Sacred Flame,,,10:42 PM
DzCMrKXjkcZBn816,11,wipe,4:43,283,62649,Priory of the Sacred Flame,,,10:46 PM
DzCMrKXjkcZBn816,12,wipe,15:56,956,62649,Priory of the Sacred Flame,,,10:50 PM
DzCMrKXjkcZBn816,13,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:12 PM
DzCMrKXjkcZBn816,14,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:23 PM
DzCMrKXjkcZBn816,15,wipe,4:12,252,62649,Priory of the Sacred Flame,,,11:34 PM
kC8Ld6jDmpGgc3zQ,16,kill,31:13,1873,62649,Priory of the Sacred Flame,,,11:39 PM
kC8Ld6jDmpGgc3zQ,10,wipe,3:43,223,62649,Priory of the Sacred Flame,,,10:42 PM
kC8Ld6jDmpGgc3zQ,11,wipe,4:43,283,62649,Priory of the Sacred Flame,,,10:46 PM
kC8Ld6jDmpGgc3zQ,12,wipe,15:56,956,62649,Priory of the Sacred Flame,,,10:50 PM
kC8Ld6jDmpGgc3zQ,13,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:12 PM
kC8Ld6jDmpGgc3zQ,14,wipe,11:19,679,62649,Priory of the Sacred Flame,,,11:23 PM
kC8Ld6jDmpGgc3zQ,15,wipe,4:12,252,62649,Priory of the Sacred Flame,,,11:34 PM
dGchmDzq6xQ4Zwkb,,kill,27:12,1632,62649,Priory of the Sacred Flame,16,,9:59 PM
1tQabvkRZ4BzfWxd,6,kill,25:25,1525,62649,Priory of the Sacred Flame,,,11:03 PM
1tQabvkRZ4BzfWxd,8,wipe,13:54,834,62649,Priory of the Sacred Flame,,,1:00 AM
ByCGrdDnYKmjVwcR,,kill,31:04,1864,62649,Priory of the Sacred Flame,17,Fortified,3:18 PM
NV9Gbkj213DxYdzT,,kill,31:04,1864,62649,Priory of the Sacred Flame,17,Fortified,3:18 PM
p8mWCJr73DTdynNH,12,kill,29:12,1752,62649,Priory of the Sacred Flame,,,1:09 AM
p8mWCJr73DTdynNH,11,wipe,6:25,385,62649,Priory of the Sacred Flame,,,1:02 AM
pJjxd4zyCnQYPFgV,,kill,22:09,1329,62649,Priory of the Sacred Flame,12,,4:00 PM
xHz4a8mnB2pLcAfP,,kill,33:07,1987,62649,Priory of the Sacred Flame,18,Tyrannical,8:44 PM
m1vzTPZ3XVDgk2Nq,8,wipe,10:17,617,62649,Priory of the Sacred Flame,,,6:13 AM
m1vzTPZ3XVDgk2Nq,9,wipe,3:13,193,62649,Priory of the Sacred Flame,,,6:26 AM
m1vzTPZ3XVDgk2Nq,10,wipe,16:49,1009,62649,Priory of the Sacred Flame,,,6:29 AM
m1vzTPZ3XVDgk2Nq,11,wipe,6:21,381,62649,Priory of the Sacred Flame,,,6:46 AM
