SpellID,SpellName,SpellCasts,SpellFound,SpellFoundPercent,KillingBlowCount,AssistingBlowCount,KillingBlowPercent,AssistingBlowPercent,NPCName
257641,Molten Slug,1488,32,100.0,8,26,1.9093078758949882,2.227934875749786,
256639,Fire Bomb,1702,32,100.0,46,118,10.978520286396181,10.11139674378749,
272528,Shoot,2131,30,93.75,22,61,5.250596658711217,5.227077977720651,
256616,Tooth Breaker,1444,31,96.875,17,44,4.05727923627685,3.7703513281919454,
462508,Dark Prayer,120,4,12.5,0,0,0.0,0.0,NPC Name Not Found
280389,Shoot,1091,32,100.0,0,1,0.0,0.08568980291345331,
462828,Xal'atath's Bargain: Voidbound,120,4,12.5,0,0,0.0,0.0,NPC Name Not Found
257168,Cursed Slash,1108,32,100.0,4,10,0.9546539379474941,0.8568980291345331,
274991,Putrid Waters,600,32,100.0,0,0,0.0,0.0,
268230,Crimson Swipe,804,32,100.0,0,3,0.0,0.2570694087403599,
269266,Slam,1010,32,100.0,22,98,5.250596658711217,8.397600685518423,
272546,Banana Rampage,525,32,100.0,1,6,0.23866348448687352,0.5141388174807198,
257063,Brackish Bolt,1464,32,100.0,29,82,6.921241050119331,7.02656383890317,
272711,Crushing Slam,270,31,96.875,29,90,6.921241050119331,7.712082262210797,NPC Name Not Found
256709,Singing Steel,267,32,100.0,6,17,1.431980906921241,1.4567266495287061,
272662,Iron Hook,413,32,100.0,17,86,4.05727923627685,7.369323050556983,
272581,Water Bolt,212,32,100.0,8,23,1.9093078758949882,1.970865467009426,
257170,Savage Tempest,293,32,100.0,0,0,0.0,0.0,
454440,Stinky Vomit,293,32,100.0,16,63,3.8186157517899764,5.3984575835475574,NPC Name Not Found
256640,Burning Tar,373,32,100.0,0,0,0.0,0.0,
272422,Sighted Artillery,542,32,100.0,0,0,0.0,0.0,
454437,Azerite Charge,619,32,100.0,0,0,0.0,0.0,NPC Name Not Found
257882,Break Water,191,32,100.0,0,0,0.0,0.0,
275835,Stinging Venom Coating,325,32,100.0,0,0,0.0,0.0,
257862,Crashing Tide,212,32,100.0,0,0,0.0,0.0,NPC Name Not Found
257169,Terrifying Roar,163,31,96.875,0,0,0.0,0.0,
269029,Clear the Deck,215,32,100.0,10,20,2.386634844868735,1.7137960582690661,
257270,Iron Ambush,162,32,100.0,0,0,0.0,0.0,
272542,Ricochet,628,30,93.75,13,31,3.1026252983293556,2.6563838903170525,
257459,On the Hook,260,32,100.0,0,0,0.0,0.0,
463182,Fiery Ricochet,107,10,31.25,11,28,2.6252983293556085,2.3993144815766922,NPC Name Not Found
256627,Slobber Knocker,160,31,96.875,31,64,7.398568019093078,5.484147386461012,
273470,Gut Shot,159,32,100.0,19,43,4.534606205250596,3.6846615252784916,
274002,Call Irontide,35,10,31.25,0,0,0.0,0.0,NPC Name Not Found
454439,Azerite Charge,527,32,100.0,11,34,2.6252983293556085,2.9134532990574122,NPC Name Not Found
256957,Watertight Shell,131,28,87.5,0,0,0.0,0.0,
454438,Azerite Charge,532,32,100.0,0,0,0.0,0.0,NPC Name Not Found
269984,Damage Boss 35%,124,32,100.0,0,0,0.0,0.0,NPC Name Not Found
272588,Rotting Wounds,134,30,93.75,8,17,1.9093078758949882,1.4567266495287061,
272888,Ferocity,249,32,100.0,0,0,0.0,0.0,
269456,Eradication,92,32,100.0,0,0,0.0,0.0,
276068,Tidal Surge,101,32,100.0,0,0,0.0,0.0,
272471,Evasive,29,29,90.625,0,0,0.0,0.0,
461870,Xal'atath's Bargain,19,19,59.375,0,0,0.0,0.0,NPC Name Not Found
257348,Meat Hook,34,17,53.125,0,0,0.0,0.0,
257326,Gore Crash,47,22,68.75,20,46,4.77326968973747,3.941730934018852,
275826,Bolstering Shout,53,25,78.125,0,0,0.0,0.0,
272418,Bounding Retreat,52,18,56.25,0,0,0.0,0.0,
272571,Choking Waters,38,25,78.125,12,24,2.863961813842482,2.056555269922879,
145629,Anti-Magic Zone,160,13,40.625,0,0,0.0,0.0,NPC Name Not Found
270590,Hull Cracker,103,15,46.875,49,113,11.694510739856803,9.682947729220222,
256867,Heavy Hitter,16,12,37.5,0,0,0.0,0.0,
461895,Unstable Power,2715,6,18.75,0,0,0.0,0.0,NPC Name Not Found
461904,Cosmic Ascension,315,6,18.75,0,0,0.0,0.0,NPC Name Not Found
257288,Heavy Slash,154,5,15.625,0,0,0.0,0.0,NPC Name Not Found
268260,Broadside,88,5,15.625,10,19,2.386634844868735,1.6281062553556127,NPC Name Not Found
181089,Encounter Event,13,5,15.625,0,0,0.0,0.0,
268752,Withdraw,13,5,15.625,0,0,0.0,0.0,NPC Name Not Found
268963,Unstable Ordnance,13,5,15.625,0,0,0.0,0.0,NPC Name Not Found
277432,Iron Volley,1,1,3.125,0,0,0.0,0.0,NPC Name Not Found
