SpellID,SpellName,SpellCasts,SpellFound,SpellFoundPercent,KillingBlowCount,AssistingBlowCount,KillingBlowPercent,AssistingBlowPercent,NPCName
338022,Leap,18410,66,100.0,0,0,0.0,0.0,
320462,Necrotic Bolt,3320,66,100.0,56,131,9.364548494983277,8.833445718138908,
334747,Throw Flesh,5900,66,100.0,51,123,8.528428093645484,8.293998651382333,
328687,Shoot,3070,65,98.48484848484848,4,25,0.6688963210702341,1.6857720836142953,
320771,Icy Shard,3780,66,100.0,33,76,5.518394648829431,5.124747134187458,
333602,Frostbolt,2042,63,95.45454545454545,13,39,2.1739130434782608,2.629804450438301,
321807,Boneflay,736,66,100.0,35,77,5.852842809364549,5.192178017532029,
320571,Shadow Well,696,66,100.0,0,0,0.0,0.0,
324323,Gruesome Cleave,502,66,100.0,44,89,7.357859531772576,6.001348617666891,
338653,Throw Flesh,517,66,100.0,3,11,0.5016722408026756,0.7417397167902899,
338456,Mutilate,1770,66,100.0,17,35,2.842809364548495,2.3600809170600137,
323496,Throw Cleaver,1316,66,100.0,0,0,0.0,0.0,
320170,Necrotic Bolt,850,65,98.48484848484848,7,27,1.1705685618729096,1.8206338503034392,
320696,Bone Claw,1588,65,98.48484848484848,12,27,2.0066889632107023,1.8206338503034392,
321821,Disgusting Guts,967,66,100.0,17,69,2.842809364548495,4.652730950775455,
338357,Tenderize,1366,66,100.0,8,19,1.3377926421404682,1.2811867835468644,
320171,Necrotic Bolt,859,66,100.0,0,0,0.0,0.0,
327393,Grim Fate,609,66,100.0,0,0,0.0,0.0,
343470,Boneshatter Shield,297,66,100.0,0,0,0.0,0.0,
345623,Death Burst,156,51,77.27272727272727,0,0,0.0,0.0,
320788,Frozen Binds,633,66,100.0,9,29,1.5050167224080269,1.9554956169925826,
320655,Crunch,741,66,100.0,8,18,1.3377926421404682,1.2137559002022926,
321754,Icebound Aegis,618,66,100.0,0,0,0.0,0.0,
321253,Final Harvest,781,66,100.0,3,6,0.5016722408026756,0.4045853000674309,NPC Name Not Found
320772,Comet Storm,606,66,100.0,0,0,0.0,0.0,
327240,Spine Crush,236,61,92.42424242424242,3,6,0.5016722408026756,0.4045853000674309,
328667,Frostbolt Volley,231,53,80.3030303030303,0,0,0.0,0.0,
334748,Drain Fluids,468,64,96.96969696969697,0,0,0.0,0.0,
335141,Dark Shroud,85,31,46.96969696969697,0,0,0.0,0.0,
320200,Stitchneedle,681,66,100.0,5,44,0.8361204013377926,2.9669588671611598,
145629,Anti-Magic Zone,239,26,39.39393939393939,0,0,0.0,0.0,NPC Name Not Found
321575,Undying Minions,167,63,95.45454545454545,0,0,0.0,0.0,
328146,Fetid Gas,844,66,100.0,0,0,0.0,0.0,
333477,Gut Slice,215,66,100.0,11,23,1.839464882943144,1.5509103169251517,
338606,Morbid Fixation,111,66,100.0,0,0,0.0,0.0,
320637,Fetid Gas,374,66,100.0,0,0,0.0,0.0,
320012,Unholy Frenzy,227,66,100.0,0,0,0.0,0.0,
321780,Animate Dead,151,61,92.42424242424242,0,0,0.0,0.0,
333479,Spew Disease,239,66,100.0,17,39,2.842809364548495,2.629804450438301,
334488,Sever Flesh,516,66,100.0,4,9,0.6688963210702341,0.6068779501011463,
338636,Separate Flesh,176,66,100.0,15,30,2.508361204013378,2.0229265003371544,
327155,Vengeful Rage,46,36,54.54545454545454,0,0,0.0,0.0,
321894,Dark Exile,322,66,100.0,0,0,0.0,0.0,
322681,Meat Hook,655,66,100.0,0,0,0.0,0.0,
320376,Mutilate,725,66,100.0,13,26,2.1739130434782608,1.7532029669588671,
324293,Rasping Scream,35,23,34.84848484848485,0,0,0.0,0.0,
334476,Embalming Ichor,377,66,100.0,0,0,0.0,0.0,
343509,Dark Grasp,66,66,100.0,0,0,0.0,0.0,
326574,Noxious Fog,83,66,100.0,0,0,0.0,0.0,
321247,Final Harvest,167,66,100.0,0,0,0.0,0.0,
322274,Enfeeble,79,40,60.60606060606061,0,1,0.0,0.06743088334457181,
327130,Repair Flesh,235,66,100.0,0,0,0.0,0.0,
320596,Heaving Retch,344,66,100.0,64,145,10.702341137123746,9.777478084962913,
343556,Morbid Fixation,189,66,100.0,0,0,0.0,0.0,
333488,Necrotic Breath,183,66,100.0,0,0,0.0,0.0,
326629,Noxious Fog,227,66,100.0,0,0,0.0,0.0,
320208,Meat Hook,531,66,100.0,0,0,0.0,0.0,
321226,Land of the Dead,220,66,100.0,0,0,0.0,0.0,
335143,Bonemend,134,60,90.9090909090909,0,0,0.0,0.0,
327664,Embalming Ichor,179,66,100.0,0,0,0.0,0.0,
320614,Blood Gorge,1027,66,100.0,57,127,9.531772575250837,8.563722184760621,
338353,Goresplatter,81,43,65.15151515151516,22,66,3.678929765886288,4.450438300741739,
