Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Head (Dh, Hc)",3 available in Hc,,Hc,,33%,,24%,
,Priory,2nd,Hc,C>M,100%,,50%,221125
,,,,,,,,
,Ara-Kara,Last,both,M>V,33%,,,221163
,Stonevault,2nd,both,C>H,50%,,,221081
,,,,,,,,
,Mists of Tirna,2nd,m0,H>M,33%,,,178691
,Siege of Boralus,Last,m0,V>M,33%,,,231824
"Head (Dh, m0)",4 available in m0,,m0,,27%,,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Shoulders (Dh, Hc)",3 available in Hc,,Hc,,40%,24%,,
,Cinderbrew,3rd,Hc,H>V,100%,50%,,221201
,,,,,,,,
,City of Threads,2nd,both,V>C,100%,50%,,221175
,Stonevault,Last,both,C>V,33%,,,221094
,,,,,,,,
,Necrotic Wake,Last,m0,M>V,50%,,,178779
"Shoulders (Dh, m0)",3 available in m0,,m0,,33%,24%,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Chest (Dh, Hc)",3 available in Hc,,Hc,,24%,,,
,Priory,Last,Hc,V>H,50%,,,221130
,Rookery,Last,Hc,M>V,33%,,,221049
,,,,,,,,
,City of Threads,Last,both,H>M,50%,,,221188
,,,,,,,,
,Grim Batol,1st,m0,M>H,33%,,,133284
,Grim Batol,Last,m0,M>C,25%,,,133297
,Mists of Tirna,1st,m0,H>C,100%,,,178698
,Necrotic Wake,3rd,m0,M>C,100%,50%,,178744
,Siege of Boralus,Last,m0,C>H,33%,,,231822
"Chest (Dh, m0)",6 available in m0,,m0,,52%,46%,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Wrists (Dh, Hc)",3 available in Hc,,Hc,,24%,,19%,
,Cinderbrew,1st,Hc,M>H,50%,,33%,221053
,,,,,,,,
,Ara-Kara,2nd,both,C>M,50%,,33%,221157
,Dawnbreaker,2nd,both,H>C,33%,,,221142
,,,,,,,,
,Mists of Tirna,Last,m0,C>V,50%,,,178702
,Necrotic Wake,2nd,m0,H>V,50%,,,178741
"Wrists (Dh, m0)",4 available in m0,,m0,,32%,,29%,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Hands (Dh, Hc)",3 available in Hc,,Hc,,27%,24%,,
,Darkflame Cleft,2nd,Hc,H>M,50%,,,221102
,Rookery,1st,Hc,M>C,50%,33%,,221036
,,,,,,,,
,City of Threads,3rd,both,H>C,50%,,,221180
,,,,,,,,
,Siege of Boralus,1st,m0,H>M,50%,,,159968
"Hands (Dh, m0)",2 available in m0,,m0,,19%,,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Waist (Dh, Hc)",4 available in Hc,,Hc,,31%,,,
,Cinderbrew,2nd,Hc,V>H,50%,,,221058
,Darkflame Cleft,3rd,Hc,C>M,50%,,,221107
,,,,,,,,
,Dawnbreaker,1st,both,C>M,50%,,,221134
,Dawnbreaker,Last,both,H>C,25%,,,225583
,,,,,,,,
,Grim Batol,2nd,m0,H>C,50%,,33%,133353
,Mists of Tirna,Last,m0,H>V,50%,,,178699
,Siege of Boralus,2nd,m0,H>C,33%,,,159309
"Waist (Dh, m0)",5 available in m0,,m0,,35%,,33%,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Legs (Dh, Hc)",3 available in Hc,,Hc,,27%,,,
,Darkflame Cleft,Last,Hc,H>C,50%,,,221114
,Rookery,2nd,Hc,V>C,50%,,,221042
,,,,,,,,
,Ara-Kara,1st,both,M>C,50%,,,221153
,,,,,,,,
,Grim Batol,3rd,m0,H>C,33%,,,133354
,Siege of Boralus,3rd,m0,C>H,50%,33%,,159322
"Legs (Dh, m0)",3 available in m0,,m0,,24%,21%,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Feet (Dh, Hc)",3 available in Hc,,Hc,,27%,,,
,Cinderbrew,Last,Hc,M>H,50%,,,221071
,Priory,1st,Hc,H>M,50%,,,221120
,,,,,,,,
,City of Threads,1st,both,M>C,50%,,,221169
,,,,,,,,
,Necrotic Wake,1st,m0,V>C,50%,,,178731
,Siege of Boralus,2nd,m0,V>C,33%,,,159320
"Feet (Dh, m0)",3 available in m0,,m0,,24%,,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Neck (Dh, Hc)",5 available in Hc,,Hc,,45%,,38%,
,Cinderbrew,2nd,Hc,H>M,50%,,,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,,,221103
,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,,221181
,Dawnbreaker,Last,both,C>H,25%,,,212448
,Stonevault,1st,both,M>H,100%,,50%,221077
,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,33%,,,178707
"Neck (Dh, m0)",4 available in m0,,m0,,36%,,28%,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Back (Dh, Hc)",5 available in Hc,,Hc,,40%,38%,,
,Cinderbrew,1st,Hc,C>M,50%,,33%,221054
,Darkflame Cleft,3rd,Hc,V>C,50%,,,221109
,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,33%,221154
,Dawnbreaker,Last,both,C>H,25%,,,225574
,Stonevault,3rd,both,M>H,100%,50%,,221088
,,,,,,,,
,Grim Batol,3rd,m0,V>C,33%,,,133292
,Grim Batol,3rd,m0,M>C,33%,,,133363
,Grim Batol,Last,m0,V>C,25%,,,133309
"Back (Dh, m0)",6 available in m0,,m0,,41%,36%,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Ring (Dh, Hc)",7 available in Hc,,Hc,,54%,48%,,
,Cinderbrew,Last,Hc,M>C,50%,,,221198
,Darkflame Cleft,1st,Hc,H>V,100%,50%,,221099
,Priory,Last,Hc,M>V,50%,,,221200
,Rookery,Last,Hc,C>M,33%,,,221197
,,,,,,,,
,City of Threads,Last,both,V>H,50%,,,221189
,Dawnbreaker,1st,both,C>H,50%,,,221136
,Dawnbreaker,2nd,both,V>M,33%,,,221141
,,,,,,,,
,Grim Batol,1st,m0,M>C,33%,,,133286
,Grim Batol,2nd,m0,V>C,50%,,33%,133287
,Grim Batol,Last,m0,H>M,25%,,,133299
,Necrotic Wake,1st,m0,H>V,50%,,,178736
,Necrotic Wake,Last,m0,V>C,50%,,,178781
,Siege of Boralus,1st,m0,M>C,50%,,,162541
,Siege of Boralus,3rd,m0,C>H,50%,33%,,159461
"Ring (Dh, m0)",10 available in m0,,m0,,59%,,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"Agi1hWeapon (Dh, Hc)",5 available in Hc,,Hc,,33%,30%,,
,Rookery,1st,Hc,Agi,50%,33%,,221033
,,,,,,,,
,Ara-Kara,Last,both,Agi,33%,,,221160
,Dawnbreaker,Last,both,Agi,25%,,,212391
,Stonevault,2nd,both,Agi,50%,,,221084
,Stonevault,Last,both,Agi,33%,,,221090
,,,,,,,,
,Siege of Boralus,Last,m0,Agi,33%,,,159651
"Agi1hWeapon (Dh, m0)",5 available in m0,,m0,,30%,,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"DpsTrinket (Dh, Hc)",5 available in Hc,,Hc,,39%,,0%,
,Cinderbrew,3rd,Hc,"Dps,Agi,Str",50%,,0%,219298
,Darkflame Cleft,1st,Hc,"Dps,Agi",50%,,0%,219304
,Rookery,1st,Hc,"Dps,Agi",33%,,0%,219294
,,,,,,,,
,City of Threads,2nd,both,"Dps,Agi",50%,,0%,219319
,Stonevault,3rd,both,"Dps,",50%,,0%,219301
,,,,,,,,
,Necrotic Wake,3rd,m0,"Dps,Int",50%,,0%,178772
,Siege of Boralus,3rd,m0,"Dps,Int",33%,,0%,159622
"DpsTrinket (Dh, m0)",4 available in m0,,m0,,32%,,0%,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"TankTrinket (Dh, Hc)",4 available in Hc,,Hc,,29%,0%,,
,Cinderbrew,1st,Hc,"Tank,",33%,0%,,219297
,Priory,2nd,Hc,"Tank,",50%,0%,,219309
,,,,,,,,
,Ara-Kara,2nd,both,"Tank,Agi,Str",33%,0%,,219316
,Stonevault,1st,both,"Tank,Agi,Str",50%,0%,,219315
,,,,,,,,
,Grim Batol,2nd,m0,"Tank,",33%,0%,,133291
"TankTrinket (Dh, m0)",3 available in m0,,m0,,21%,0%,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
"AnyroleTrinket (Dh, Hc)",9 available in Hc,,Hc,,55%,,,
,Darkflame Cleft,Last,Hc,,50%,,,219307
,Priory,1st,Hc,All3,50%,,,219308
,Rookery,2nd,Hc,All3,50%,,,219295
,Rookery,Last,Hc,,33%,,,219296
,,,,,,,,
,Ara-Kara,1st,both,,50%,,,219314
