Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Head (Druid, Hc)",3 available in Hc,,Hc,,40%,24%,,33%,24%,
,Priory,2nd,Hc,C>M,100%,50%,,50%,50%,221125
,,,,,,,,,,
,Ara-Kara,Last,both,M>V,33%,,,,,221163
,Stonevault,2nd,both,C>H,100%,50%,,,50%,221081
,,,,,,,,,,
,Mists of Tirna,2nd,m0,H>M,50%,,33%,33%,,178691
,Siege of Boralus,Last,m0,V>M,50%,,,,,231824
"Head (Druid, m0)",4 available in m0,,m0,,37%,32%,,,32%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Shoulders (Druid, Hc)",3 available in Hc,,Hc,,42%,20%,27%,,24%,
,Cinderbrew,3rd,Hc,H>V,100%,33%,50%,,50%,221201
,,,,,,,,,,
,City of Threads,2nd,both,V>C,100%,25%,50%,,33%,221175
,Stonevault,Last,both,C>V,50%,,,,,221094
,,,,,,,,,,
,Necrotic Wake,Last,m0,M>V,50%,,,,33%,178779
"Shoulders (Druid, m0)",3 available in m0,,m0,,35%,23%,27%,,21%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Chest (Druid, Hc)",3 available in Hc,,Hc,,24%,21%,,,19%,
,Priory,Last,Hc,V>H,50%,,,,33%,221130
,Rookery,Last,Hc,M>V,33%,,,,,221049
,,,,,,,,,,
,City of Threads,Last,both,H>M,50%,33%,,,33%,221188
,,,,,,,,,,
,Grim Batol,1st,m0,M>H,33%,,,,,133284
,Grim Batol,Last,m0,M>C,25%,20%,,,20%,133297
,Mists of Tirna,1st,m0,H>C,100%,33%,,,33%,178698
,Necrotic Wake,3rd,m0,M>C,100%,50%,50%,,,178744
,Siege of Boralus,Last,m0,C>H,50%,,,,,231822
"Chest (Druid, m0)",6 available in m0,,m0,,54%,37%,48%,,44%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Wrists (Druid, Hc)",3 available in Hc,,Hc,,24%,,23%,17%,,
,Cinderbrew,1st,Hc,M>H,50%,,,33%,,221053
,,,,,,,,,,
,Ara-Kara,2nd,both,C>M,50%,,,33%,,221157
,Dawnbreaker,2nd,both,H>C,33%,,25%,25%,,221142
,,,,,,,,,,
,Mists of Tirna,Last,m0,C>V,50%,33%,,,33%,178702
,Necrotic Wake,2nd,m0,H>V,100%,,50%,50%,,178741
"Wrists (Druid, m0)",4 available in m0,,m0,,37%,,31%,28%,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Hands (Druid, Hc)",3 available in Hc,,Hc,,35%,21%,27%,,21%,
,Darkflame Cleft,2nd,Hc,H>M,50%,33%,,,33%,221102
,Rookery,1st,Hc,M>C,100%,33%,50%,,50%,221036
,,,,,,,,,,
,City of Threads,3rd,both,H>C,50%,,,,33%,221180
,,,,,,,,,,
,Siege of Boralus,1st,m0,H>M,50%,,,,,159968
"Hands (Druid, m0)",2 available in m0,,m0,,19%,,,,16%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Waist (Druid, Hc)",4 available in Hc,,Hc,,29%,27%,,,24%,
,Cinderbrew,2nd,Hc,V>H,33%,,,,,221058
,Darkflame Cleft,3rd,Hc,C>M,50%,,,,33%,221107
,,,,,,,,,,
,Dawnbreaker,1st,both,C>M,50%,33%,,,33%,221134
,Dawnbreaker,Last,both,H>C,33%,,,,,225583
,,,,,,,,,,
,Grim Batol,2nd,m0,H>C,50%,,,33%,33%,133353
,Mists of Tirna,Last,m0,H>V,50%,33%,,,33%,178699
,Siege of Boralus,2nd,m0,H>C,50%,,33%,33%,,159309
"Waist (Druid, m0)",5 available in m0,,m0,,36%,34%,,34%,32%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Legs (Druid, Hc)",3 available in Hc,,Hc,,27%,,,,,
,Darkflame Cleft,Last,Hc,H>C,50%,,,,,221114
,Rookery,2nd,Hc,V>C,50%,,,,,221042
,,,,,,,,,,
,Ara-Kara,1st,both,M>C,50%,,,,,221153
,,,,,,,,,,
,Grim Batol,3rd,m0,H>C,33%,,,,,133354
,Siege of Boralus,3rd,m0,C>H,50%,33%,33%,,,159322
