Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Head (Evoker, Hc)",3 available in Hc,,Hc,,24%,,,,
,Cinderbrew,Last,Hc,V>M,33%,,,,221070
,Darkflame Cleft,Last,Hc,M>V,50%,,,,221113
,,,,,,,,,
,Ara-Kara,2nd,both,M>H,50%,,,,221156
,,,,,,,,,
,Grim Batol,1st,m0,H>C,33%,,,,133285
,Mists of Tirna,1st,m0,M>H,25%,,,,178692
,Necrotic Wake,2nd,m0,C>M,50%,,,,178738
"Head (Evoker, m0)",4 available in m0,,m0,,28%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Shoulders (Evoker, Hc)",3 available in Hc,,Hc,,17%,16%,,16%,
,Darkflame Cleft,1st,Hc,V>H,33%,25%,,25%,221098
,Rookery,Last,Hc,M>V,33%,,,,221048
,,,,,,,,,
,Dawnbreaker,2nd,both,M>V,25%,,,,221140
,,,,,,,,,
,Grim Batol,Last,m0,C>M,20%,,,,133374
,Mists of Tirna,2nd,m0,H>M,50%,,,,178695
,Necrotic Wake,1st,m0,V>M,50%,,,,178733
,Siege of Boralus,Last,m0,H>C,50%,,,,231826
"Shoulders (Evoker, m0)",5 available in m0,,m0,,34%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Chest (Evoker, Hc)",2 available in Hc,,Hc,,19%,,16%,,
,Rookery,2nd,Hc,C>M,50%,,,,221041
,,,,,,,,,
,City of Threads,3rd,both,M>V,50%,,33%,,221179
,,,,,,,,,
,Siege of Boralus,Last,m0,M>H,50%,,,,231825
"Chest (Evoker, m0)",2 available in m0,,m0,,19%,,16%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Wrists (Evoker, Hc)",3 available in Hc,,Hc,,21%,20%,,20%,
,Cinderbrew,2nd,Hc,C>V,33%,,,,221059
,Priory,2nd,Hc,M>H,50%,,,,221124
,,,,,,,,,
,City of Threads,2nd,both,C>M,33%,25%,,25%,221174
,,,,,,,,,
,Mists of Tirna,Last,m0,M>V,50%,,,,178703
,Siege of Boralus,2nd,m0,V>H,50%,,,,159372
"Wrists (Evoker, m0)",3 available in m0,,m0,,24%,23%,,23%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Hands (Evoker, Hc)",3 available in Hc,,Hc,,33%,,,,
,Priory,1st,Hc,H>V,50%,,,,221119
,,,,,,,,,
,Ara-Kara,Last,both,V>H,33%,,,,221162
,Stonevault,2nd,both,V>C,100%,,,,221080
,,,,,,,,,
"Hands (Evoker, m0)",2 available in m0,,m0,,25%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Waist (Evoker, Hc)",3 available in Hc,,Hc,,21%,,,,
,Darkflame Cleft,2nd,Hc,H>V,33%,,,,221101
,,,,,,,,,
,City of Threads,1st,both,H>M,33%,,,,221168
,Stonevault,1st,both,H>M,50%,,,,221075
,,,,,,,,,
,Mists of Tirna,1st,m0,V>M,25%,,,,178700
,Siege of Boralus,3rd,m0,H>C,50%,33%,,33%,159386
"Waist (Evoker, m0)",4 available in m0,,m0,,28%,25%,,25%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Legs (Evoker, Hc)",3 available in Hc,,Hc,,21%,,,,
,Cinderbrew,3rd,Hc,C>H,50%,33%,,33%,221065
,Priory,Last,Hc,C>V,50%,,33%,,221129
,,,,,,,,,
,City of Threads,Last,both,H>V,33%,,,,221186
,,,,,,,,,
,Necrotic Wake,Last,m0,V>H,50%,,33%,,178778
,Siege of Boralus,1st,m0,V>M,50%,,,,159969
"Legs (Evoker, m0)",3 available in m0,,m0,,24%,,21%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Feet (Evoker, Hc)",5 available in Hc,,Hc,,29%,28%,,28%,
,Darkflame Cleft,3rd,Hc,M>H,33%,,25%,,221106
,Rookery,1st,Hc,H>M,50%,33%,,33%,221035
,,,,,,,,,
,Ara-Kara,1st,both,H>M,33%,,,,221152
,Dawnbreaker,2nd,both,V>H,25%,,,,221202
,Dawnbreaker,Last,both,C>H,33%,,,,225586
,,,,,,,,,
,Grim Batol,2nd,m0,M>H,50%,,33%,,133290
,Grim Batol,3rd,m0,H>C,33%,,,,133293
,Necrotic Wake,3rd,m0,V>C,100%,50%,,50%,178745
,Siege of Boralus,2nd,m0,M>H,50%,,,,159379
"Feet (Evoker, m0)",7 available in m0,,m0,,48%,44%,,44%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Neck (Evoker, Hc)",5 available in Hc,,Hc,,34%,,32%,,
,Cinderbrew,2nd,Hc,H>M,33%,,,,221060
,Darkflame Cleft,2nd,Hc,C>V,33%,,,,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,33%,,221181
,Dawnbreaker,Last,both,C>H,33%,,,,212448
,Stonevault,1st,both,M>H,50%,,,,221077
,,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,50%,,,,178707
"Neck (Evoker, m0)",4 available in m0,,m0,,32%,,29%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Back (Evoker, Hc)",5 available in Hc,,Hc,,41%,,40%,,
,Cinderbrew,1st,Hc,C>M,100%,,,,221054
,Darkflame Cleft,3rd,Hc,V>C,33%,,25%,,221109
,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,,,221154
,Dawnbreaker,Last,both,C>H,33%,,,,225574
,Stonevault,3rd,both,M>H,33%,,,,221088
,,,,,,,,,
,Grim Batol,3rd,m0,V>C,33%,,,,133292
,Grim Batol,3rd,m0,M>C,33%,,,,133363
,Grim Batol,Last,m0,V>C,20%,,,,133309
"Back (Evoker, m0)",6 available in m0,,m0,,34%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Ring (Evoker, Hc)",7 available in Hc,,Hc,,40%,,39%,,
,Cinderbrew,Last,Hc,M>C,33%,,,,221198
,Darkflame Cleft,1st,Hc,H>V,33%,25%,,25%,221099
,Priory,Last,Hc,M>V,50%,,33%,,221200
,Rookery,Last,Hc,C>M,33%,,,,221197
,,,,,,,,,
,City of Threads,Last,both,V>H,33%,,,,221189
,Dawnbreaker,1st,both,C>H,50%,,,,221136
,Dawnbreaker,2nd,both,V>M,25%,,,,221141
,,,,,,,,,
,Grim Batol,1st,m0,M>C,33%,,,,133286
,Grim Batol,2nd,m0,V>C,50%,,33%,,133287
,Grim Batol,Last,m0,H>M,20%,,,,133299
,Necrotic Wake,1st,m0,H>V,50%,,,,178736
,Necrotic Wake,Last,m0,V>C,50%,,33%,,178781
,Siege of Boralus,1st,m0,M>C,50%,,,,162541
,Siege of Boralus,3rd,m0,C>H,50%,33%,,33%,159461
"Ring (Evoker, m0)",10 available in m0,,m0,,56%,,54%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Int1hWeapon (Evoker, Hc)",6 available in Hc,,Hc,,37%,35%,,35%,
,Cinderbrew,3rd,Hc,Int,50%,33%,,33%,221062
,Darkflame Cleft,3rd,Hc,Int,33%,,25%,,221105
,Priory,2nd,Hc,Int,50%,,,,221122
,,,,,,,,,
,Ara-Kara,1st,both,Int,33%,,,,221150
,Ara-Kara,Last,both,Int,33%,,,,221165
,City of Threads,2nd,both,Int,33%,25%,,25%,221171
,,,,,,,,,
,Grim Batol,1st,m0,Int,33%,,,,133283
,Mists of Tirna,1st,m0,Int,25%,,,,178709
,Necrotic Wake,2nd,m0,Int,50%,,,,178737
"Int1hWeapon (Evoker, m0)",6 available in m0,,m0,,35%,34%,,34%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Int2hWeapon (Evoker, Hc)",3 available in Hc,,Hc,,21%,19%,,19%,
,Rookery,1st,Hc,Int,50%,33%,,33%,221032
,,,,,,,,,
,City of Threads,1st,both,Int,33%,,,,221166
,Stonevault,3rd,both,Int,33%,,,,221085
,,,,,,,,,
,Grim Batol,Last,m0,Int,20%,,,,133303
,Mists of Tirna,Last,m0,Int,50%,,,,178714
"Int2hWeapon (Evoker, m0)",4 available in m0,,m0,,25%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Offhand (Evoker, Hc)",4 available in Hc,,Hc,,27%,24%,,24%,
,Cinderbrew,2nd,Hc,Int,33%,,,,221056
,Darkflame Cleft,1st,Hc,Int,33%,25%,,25%,221097
,,,,,,,,,
,City of Threads,2nd,both,Int,33%,25%,,25%,221172
