Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
"Head (Hunter, Hc)",3 available in Hc,,Hc,,27%,,,,
,Cinderbrew,Last,Hc,V>M,50%,,,,221070
,Darkflame Cleft,Last,Hc,M>V,50%,,,,221113
,,,,,,,,,
,Ara-Kara,2nd,both,M>H,50%,,,,221156
,,,,,,,,,
,Grim Batol,1st,m0,H>C,33%,,,,133285
,Mists of Tirna,1st,m0,M>H,50%,,,,178692
,Necrotic Wake,2nd,m0,C>M,50%,,,,178738
"Head (Hunter, m0)",4 available in m0,,m0,,32%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
"Shoulders (Hunter, Hc)",3 available in Hc,,Hc,,17%,,,16%,
,Darkflame Cleft,1st,Hc,V>H,33%,,,,221098
,Rookery,Last,Hc,M>V,33%,,,,221048
,,,,,,,,,
,Dawnbreaker,2nd,both,M>V,25%,,,20%,221140
,,,,,,,,,
,Grim Batol,Last,m0,C>M,25%,,,,133374
,Mists of Tirna,2nd,m0,H>M,33%,,,,178695
,Necrotic Wake,1st,m0,V>M,50%,33%,33%,,178733
,Siege of Boralus,Last,m0,H>C,50%,,,,231826
"Shoulders (Hunter, m0)",5 available in m0,,m0,,31%,29%,29%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
"Chest (Hunter, Hc)",2 available in Hc,,Hc,,19%,16%,16%,,
,Rookery,2nd,Hc,C>M,50%,33%,33%,,221041
,,,,,,,,,
,City of Threads,3rd,both,M>V,50%,,,,221179
,,,,,,,,,
,Siege of Boralus,Last,m0,M>H,50%,,,,231825
"Chest (Hunter, m0)",2 available in m0,,m0,,19%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
"Wrists (Hunter, Hc)",3 available in Hc,,Hc,,35%,,,33%,
,Cinderbrew,2nd,Hc,C>V,50%,,,33%,221059
,Priory,2nd,Hc,M>H,100%,,,,221124
,,,,,,,,,
,City of Threads,2nd,both,C>M,50%,,,,221174
,,,,,,,,,
,Mists of Tirna,Last,m0,M>V,100%,,,,178703
,Siege of Boralus,2nd,m0,V>H,33%,,,,159372
"Wrists (Hunter, m0)",3 available in m0,,m0,,33%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
"Hands (Hunter, Hc)",3 available in Hc,,Hc,,35%,,,30%,
,Priory,1st,Hc,H>V,50%,,,33%,221119
,,,,,,,,,
,Ara-Kara,Last,both,V>H,50%,,,33%,221162
,Stonevault,2nd,both,V>C,100%,,,,221080
,,,,,,,,,
"Hands (Hunter, m0)",2 available in m0,,m0,,28%,,,25%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
"Waist (Hunter, Hc)",3 available in Hc,,Hc,,24%,,,,
,Darkflame Cleft,2nd,Hc,H>V,50%,,,,221101
,,,,,,,,,
,City of Threads,1st,both,H>M,50%,,,,221168
,Stonevault,1st,both,H>M,33%,,,,221075
,,,,,,,,,
,Mists of Tirna,1st,m0,V>M,50%,,,,178700
,Siege of Boralus,3rd,m0,H>C,33%,,,,159386
"Waist (Hunter, m0)",4 available in m0,,m0,,29%,,,,
,,,,,,,,,
,,,,,,,,,
