Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
"Head (Mage, Hc)",4 available in Hc,,Hc,,27%,,,,
,Cinderbrew,2nd,Hc,M>V,33%,,,,221055
,Priory,Last,Hc,M>V,50%,,,,221131
,,,,,,,,,
,City of Threads,Last,both,M>C,33%,,,,221187
,Dawnbreaker,Last,both,H>C,33%,,,,212440
,,,,,,,,,
,Grim Batol,Last,m0,H>C,20%,,,,133302
,Mists of Tirna,Last,m0,V>H,50%,,,,178693
,Necrotic Wake,1st,m0,C>M,50%,,,,178732
,Siege of Boralus,Last,m0,H>C,50%,,,,231818
"Head (Mage, m0)",6 available in m0,,m0,,39%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
"Shoulders (Mage, Hc)",3 available in Hc,,Hc,,21%,,,,
,Cinderbrew,Last,Hc,C>M,33%,,,,221072
,Darkflame Cleft,Last,Hc,V>M,50%,,,,221115
,,,,,,,,,
,Dawnbreaker,1st,both,V>C,33%,,,,221135
,,,,,,,,,
,Mists of Tirna,1st,m0,C>V,33%,,,,178696
,Necrotic Wake,2nd,m0,H>M,50%,,,,178740
"Shoulders (Mage, m0)",3 available in m0,,m0,,21%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
"Chest (Mage, Hc)",3 available in Hc,,Hc,,32%,,,,
,Priory,2nd,Hc,V>C,100%,,,,221126
,,,,,,,,,
,City of Threads,2nd,both,C>H,25%,,,,221176
,Stonevault,Last,both,V>H,50%,,,,221095
,,,,,,,,,
"Chest (Mage, m0)",2 available in m0,,m0,,15%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
"Wrists (Mage, Hc)",3 available in Hc,,Hc,,21%,,,,
,Darkflame Cleft,2nd,Hc,M>C,33%,,,,221104
,Rookery,1st,Hc,C>V,33%,,,,221037
,,,,,,,,,
,City of Threads,3rd,both,H>C,50%,,,,221182
,,,,,,,,,
,Grim Batol,3rd,m0,H>C,33%,,,,133295
,Mists of Tirna,1st,m0,H>V,33%,,,,178704
,Necrotic Wake,Last,m0,M>V,50%,,,,178782
,Siege of Boralus,Last,m0,M>H,50%,,,,159256
"Wrists (Mage, m0)",5 available in m0,,m0,,36%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
"Hands (Mage, Hc)",3 available in Hc,,Hc,,21%,,,,
,Cinderbrew,3rd,Hc,H>M,33%,,,,221067
,Darkflame Cleft,3rd,Hc,C>H,50%,,,,221108
,,,,,,,,,
,City of Threads,1st,both,C>V,33%,,,,221170
,,,,,,,,,
,Mists of Tirna,2nd,m0,H>C,50%,,,,178705
,Necrotic Wake,3rd,m0,M>C,50%,,,,178748
,Siege of Boralus,2nd,m0,C>M,50%,,,,159237
"Hands (Mage, m0)",4 available in m0,,m0,,32%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
"Waist (Mage, Hc)",3 available in Hc,,Hc,,23%,,,,
,Priory,1st,Hc,M>C,50%,,,,221121
,,,,,,,,,
,Ara-Kara,2nd,both,C>H,50%,,,,221158
,Stonevault,3rd,both,V>M,25%,,,,221087
,,,,,,,,,
,Siege of Boralus,1st,m0,H>M,33%,,,,159965
"Waist (Mage, m0)",3 available in m0,,m0,,20%,,,,
,,,,,,,,,
