Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
"Head (Monk, Hc)",3 available in Hc,,Hc,,40%,33%,35%,,
,Priory,2nd,Hc,C>M,100%,50%,50%,,221125
,,,,,,,,,
,Ara-Kara,Last,both,M>V,50%,33%,,33%,221163
,Stonevault,2nd,both,C>H,100%,,,,221081
,,,,,,,,,
,Mists of Tirna,2nd,m0,H>M,50%,33%,,33%,178691
,Siege of Boralus,Last,m0,V>M,50%,,,,231824
"Head (Monk, m0)",4 available in m0,,m0,,42%,37%,,37%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
"Shoulders (Monk, Hc)",3 available in Hc,,Hc,,40%,,35%,24%,
,Cinderbrew,3rd,Hc,H>V,100%,,,50%,221201
,,,,,,,,,
,City of Threads,2nd,both,V>C,100%,,50%,50%,221175
,Stonevault,Last,both,C>V,50%,33%,,33%,221094
,,,,,,,,,
,Necrotic Wake,Last,m0,M>V,50%,,33%,,178779
"Shoulders (Monk, m0)",3 available in m0,,m0,,33%,,24%,24%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
"Chest (Monk, Hc)",3 available in Hc,,Hc,,21%,,19%,,
,Priory,Last,Hc,V>H,33%,,,,221130
,Rookery,Last,Hc,M>V,33%,,,,221049
,,,,,,,,,
,City of Threads,Last,both,H>M,50%,,33%,,221188
,,,,,,,,,
,Grim Batol,1st,m0,M>H,50%,33%,,33%,133284
,Grim Batol,Last,m0,M>C,25%,,20%,,133297
,Mists of Tirna,1st,m0,H>C,100%,,33%,,178698
,Necrotic Wake,3rd,m0,M>C,100%,,,50%,178744
,Siege of Boralus,Last,m0,C>H,50%,,,,231822
"Chest (Monk, m0)",6 available in m0,,m0,,54%,,46%,48%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
"Wrists (Monk, Hc)",3 available in Hc,,Hc,,24%,16%,,20%,
,Cinderbrew,1st,Hc,M>H,50%,25%,,33%,221053
,,,,,,,,,
,Ara-Kara,2nd,both,C>M,50%,33%,,,221157
,Dawnbreaker,2nd,both,H>C,33%,25%,,25%,221142
,,,,,,,,,
,Mists of Tirna,Last,m0,C>V,50%,,33%,,178702
,Necrotic Wake,2nd,m0,H>V,50%,,,,178741
"Wrists (Monk, m0)",4 available in m0,,m0,,31%,28%,29%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
"Hands (Monk, Hc)",3 available in Hc,,Hc,,27%,,21%,24%,
,Darkflame Cleft,2nd,Hc,H>M,50%,,33%,,221102
,Rookery,1st,Hc,M>C,50%,,,33%,221036
,,,,,,,,,
,City of Threads,3rd,both,H>C,50%,,33%,,221180
,,,,,,,,,
,Siege of Boralus,1st,m0,H>M,50%,33%,,33%,159968
"Hands (Monk, m0)",2 available in m0,,m0,,16%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
"Waist (Monk, Hc)",4 available in Hc,,Hc,,28%,,23%,,
,Cinderbrew,2nd,Hc,V>H,33%,,,,221058
,Darkflame Cleft,3rd,Hc,C>M,50%,,25%,,221107
,,,,,,,,,
,Dawnbreaker,1st,both,C>M,50%,,33%,,221134
,Dawnbreaker,Last,both,H>C,33%,25%,,25%,225583
,,,,,,,,,
,Grim Batol,2nd,m0,H>C,50%,33%,33%,,133353
,Mists of Tirna,Last,m0,H>V,50%,,33%,,178699
,Siege of Boralus,2nd,m0,H>C,50%,33%,,33%,159309
"Waist (Monk, m0)",5 available in m0,,m0,,35%,33%,32%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
"Legs (Monk, Hc)",3 available in Hc,,Hc,,27%,,24%,,
,Darkflame Cleft,Last,Hc,H>C,50%,,,,221114
,Rookery,2nd,Hc,V>C,50%,,,,221042
,,,,,,,,,
,Ara-Kara,1st,both,M>C,50%,,33%,,221153
,,,,,,,,,
,Grim Batol,3rd,m0,H>C,33%,,,,133354
,Siege of Boralus,3rd,m0,C>H,50%,,,33%,159322
"Legs (Monk, m0)",3 available in m0,,m0,,24%,,21%,21%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
"Feet (Monk, Hc)",3 available in Hc,,Hc,,24%,,21%,,
,Cinderbrew,Last,Hc,M>H,50%,,33%,,221071
,Priory,1st,Hc,H>M,50%,33%,,33%,221120
,,,,,,,,,
,City of Threads,1st,both,M>C,50%,,33%,,221169
,,,,,,,,,
,Necrotic Wake,1st,m0,V>C,50%,,,,178731
,Siege of Boralus,2nd,m0,V>C,50%,33%,,33%,159320
"Feet (Monk, m0)",3 available in m0,,m0,,24%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
"Neck (Monk, Hc)",5 available in Hc,,Hc,,39%,33%,,35%,
,Cinderbrew,2nd,Hc,H>M,33%,,,,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,,33%,,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,33%,,221181
,Dawnbreaker,Last,both,C>H,33%,25%,,25%,212448
,Stonevault,1st,both,M>H,100%,33%,,50%,221077
,,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,50%,33%,,33%,178707
"Neck (Monk, m0)",4 available in m0,,m0,,37%,25%,,28%,
,,,,,,,,,
,,,,,,,,,
