Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
"Head (Paladin, Hc)",2 available in Hc,,Hc,,16%,13%,15%,,
,Darkflame Cleft,2nd,Hc,H>V,50%,33%,,,221100
,Rookery,Last,Hc,V>H,33%,,25%,,221047
,,,,,,,,,
,Mists of Tirna,1st,m0,H>M,100%,33%,,50%,178694
,Necrotic Wake,Last,m0,V>H,50%,33%,,33%,178777
"Head (Paladin, m0)",2 available in m0,,m0,,28%,13%,,16%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
"Shoulders (Paladin, Hc)",4 available in Hc,,Hc,,29%,,,,
,Cinderbrew,1st,Hc,V>M,50%,,33%,,221052
,Priory,Last,Hc,C>V,50%,33%,,33%,221203
,,,,,,,,,
,Ara-Kara,2nd,both,V>M,50%,,33%,,221155
,City of Threads,Last,both,C>H,50%,33%,,33%,221185
,,,,,,,,,
,Grim Batol,3rd,m0,M>H,33%,,,,133294
,Mists of Tirna,2nd,m0,M>V,33%,,,,178697
,Necrotic Wake,3rd,m0,C>V,50%,,33%,33%,178749
,Siege of Boralus,Last,m0,M>H,50%,,,,231830
"Shoulders (Paladin, m0)",6 available in m0,,m0,,41%,,38%,38%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
"Chest (Paladin, Hc)",3 available in Hc,,Hc,,35%,21%,33%,,
,Cinderbrew,Last,Hc,H>C,50%,33%,33%,,221069
,,,,,,,,,
,Ara-Kara,Last,both,V>H,100%,50%,,,221161
,Dawnbreaker,2nd,both,C>V,50%,33%,,,221139
,,,,,,,,,
,Siege of Boralus,Last,m0,M>H,50%,,,,231827
"Chest (Paladin, m0)",3 available in m0,,m0,,35%,24%,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
"Wrists (Paladin, Hc)",4 available in Hc,,Hc,,37%,,36%,28%,
,Cinderbrew,3rd,Hc,C>H,100%,,,33%,221064
,Priory,1st,Hc,C>H,50%,33%,33%,,221118
,,,,,,,,,
,City of Threads,1st,both,H>V,50%,,,,221167
,Dawnbreaker,Last,both,C>H,33%,,25%,25%,212437
,,,,,,,,,
,Grim Batol,1st,m0,M>H,50%,,,,133306
"Wrists (Paladin, m0)",3 available in m0,,m0,,24%,,23%,23%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
"Hands (Paladin, Hc)",3 available in Hc,,Hc,,27%,21%,,21%,
,Darkflame Cleft,Last,Hc,V>H,50%,,,33%,221112
,,,,,,,,,
,Ara-Kara,1st,both,H>V,50%,33%,,,221151
,Stonevault,3rd,both,H>C,50%,33%,,33%,221086
,,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,33%,,,,178706
,Siege of Boralus,2nd,m0,C>M,50%,,33%,,159429
"Hands (Paladin, m0)",4 available in m0,,m0,,29%,27%,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
"Waist (Paladin, Hc)",3 available in Hc,,Hc,,21%,,,,
,Rookery,2nd,Hc,M>H,33%,,,,221040
,,,,,,,,,
,Dawnbreaker,1st,both,M>H,33%,,,,221133
,Stonevault,2nd,both,C>M,50%,,,,221079
,,,,,,,,,
,Grim Batol,2nd,m0,H>C,50%,33%,33%,,133289
,Necrotic Wake,1st,m0,M>V,50%,,33%,,178734
,Siege of Boralus,2nd,m0,C>V,50%,,33%,,159434
"Waist (Paladin, m0)",5 available in m0,,m0,,39%,36%,32%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
"Legs (Paladin, Hc)",3 available in Hc,,Hc,,40%,35%,,27%,
,Rookery,1st,Hc,H>V,100%,,,50%,221034
,,,,,,,,,
,City of Threads,2nd,both,M>H,100%,50%,,50%,221173
,Stonevault,Last,both,M>C,50%,,33%,,221092
,,,,,,,,,
,Mists of Tirna,Last,m0,M>H,100%,50%,33%,,178701
,Necrotic Wake,2nd,m0,C>M,100%,50%,,,178739
,Siege of Boralus,1st,m0,M>V,50%,,,33%,159427
"Legs (Paladin, m0)",5 available in m0,,m0,,52%,41%,50%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
"Feet (Paladin, Hc)",3 available in Hc,,Hc,,35%,20%,24%,,
,Cinderbrew,2nd,Hc,M>C,50%,33%,,,221061
,Priory,2nd,Hc,V>M,100%,50%,50%,,221123
,,,,,,,,,
,City of Threads,3rd,both,V>H,50%,25%,33%,,221178
,,,,,,,,,
,Siege of Boralus,3rd,m0,H>C,50%,,,25%,159428
"Feet (Paladin, m0)",2 available in m0,,m0,,16%,15%,,15%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
"Neck (Paladin, Hc)",5 available in Hc,,Hc,,45%,30%,33%,,
,Cinderbrew,2nd,Hc,H>M,50%,33%,,,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,33%,,,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,25%,33%,,221181
,Dawnbreaker,Last,both,C>H,33%,,25%,25%,212448
,Stonevault,1st,both,M>H,100%,50%,33%,,221077
,,,,,,,,,
