Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
"Head (Rogue, Hc)",3 available in Hc,,Hc,,42%,,,,
,Priory,2nd,Hc,C>M,100%,,,,221125
,,,,,,,,,
,Ara-Kara,Last,both,M>V,50%,,,,221163
,Stonevault,2nd,both,C>H,100%,,,,221081
,,,,,,,,,
,Mists of Tirna,2nd,m0,H>M,33%,25%,,25%,178691
,Siege of Boralus,Last,m0,V>M,50%,,,,231824
"Head (Rogue, m0)",4 available in m0,,m0,,39%,38%,,38%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
"Shoulders (Rogue, Hc)",3 available in Hc,,Hc,,27%,,24%,,
,Cinderbrew,3rd,Hc,H>V,50%,,,,221201
,,,,,,,,,
,City of Threads,2nd,both,V>C,50%,,,,221175
,Stonevault,Last,both,C>V,50%,,33%,,221094
,,,,,,,,,
,Necrotic Wake,Last,m0,M>V,50%,,,,178779
"Shoulders (Rogue, m0)",3 available in m0,,m0,,27%,,24%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
"Chest (Rogue, Hc)",3 available in Hc,,Hc,,21%,20%,,20%,
,Priory,Last,Hc,V>H,50%,,33%,,221130
,Rookery,Last,Hc,M>V,33%,25%,,25%,221049
,,,,,,,,,
,City of Threads,Last,both,H>M,50%,33%,,33%,221188
,,,,,,,,,
,Grim Batol,1st,m0,M>H,33%,,,,133284
,Grim Batol,Last,m0,M>C,25%,,,,133297
,Mists of Tirna,1st,m0,H>C,100%,,,,178698
,Necrotic Wake,3rd,m0,M>C,50%,33%,,33%,178744
,Siege of Boralus,Last,m0,C>H,50%,,,,231822
"Chest (Rogue, m0)",6 available in m0,,m0,,48%,44%,,44%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
"Wrists (Rogue, Hc)",3 available in Hc,,Hc,,23%,,21%,,
,Cinderbrew,1st,Hc,M>H,50%,,33%,,221053
,,,,,,,,,
,Ara-Kara,2nd,both,C>M,50%,,,,221157
,Dawnbreaker,2nd,both,H>C,33%,25%,,25%,221142
,,,,,,,,,
,Mists of Tirna,Last,m0,C>V,50%,,,,178702
,Necrotic Wake,2nd,m0,H>V,50%,,,,178741
"Wrists (Rogue, m0)",4 available in m0,,m0,,32%,31%,,31%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
"Hands (Rogue, Hc)",3 available in Hc,,Hc,,27%,,24%,,
,Darkflame Cleft,2nd,Hc,H>M,50%,,,,221102
,Rookery,1st,Hc,M>C,50%,,33%,,221036
,,,,,,,,,
,City of Threads,3rd,both,H>C,50%,,,,221180
,,,,,,,,,
,Siege of Boralus,1st,m0,H>M,50%,,33%,,159968
"Hands (Rogue, m0)",2 available in m0,,m0,,19%,,16%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
"Waist (Rogue, Hc)",4 available in Hc,,Hc,,32%,,31%,,
,Cinderbrew,2nd,Hc,V>H,50%,,,,221058
,Darkflame Cleft,3rd,Hc,C>M,50%,,,,221107
,,,,,,,,,
,Dawnbreaker,1st,both,C>M,50%,,,,221134
,Dawnbreaker,Last,both,H>C,33%,,25%,,225583
,,,,,,,,,
,Grim Batol,2nd,m0,H>C,50%,,,,133353
,Mists of Tirna,Last,m0,H>V,50%,,,,178699
,Siege of Boralus,2nd,m0,H>C,33%,,,,159309
"Waist (Rogue, m0)",5 available in m0,,m0,,36%,,35%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
"Legs (Rogue, Hc)",3 available in Hc,,Hc,,27%,24%,,24%,
,Darkflame Cleft,Last,Hc,H>C,50%,33%,,33%,221114
,Rookery,2nd,Hc,V>C,50%,,,,221042
,,,,,,,,,
,Ara-Kara,1st,both,M>C,50%,,,,221153
,,,,,,,,,
,Grim Batol,3rd,m0,H>C,33%,25%,,25%,133354
,Siege of Boralus,3rd,m0,C>H,33%,,,,159322
"Legs (Rogue, m0)",3 available in m0,,m0,,21%,20%,,20%,
,,,,,,,,,
,,,,,,,,,
