Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Head (Shaman, Hc)",3 available in Hc,,Hc,,27%,24%,,24%,
,Cinderbrew,Last,Hc,V>M,50%,33%,,33%,221070
,Darkflame Cleft,Last,Hc,M>V,50%,,,,221113
,,,,,,,,,
,Ara-Kara,2nd,both,M>H,50%,,,,221156
,,,,,,,,,
,Grim Batol,1st,m0,H>C,33%,,,,133285
,Mists of Tirna,1st,m0,M>H,50%,25%,,25%,178692
,Necrotic Wake,2nd,m0,C>M,100%,,50%,,178738
"Head (Shaman, m0)",4 available in m0,,m0,,36%,,32%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Shoulders (Shaman, Hc)",3 available in Hc,,Hc,,17%,16%,,,
,Darkflame Cleft,1st,Hc,V>H,33%,25%,,,221098
,Rookery,Last,Hc,M>V,33%,,,,221048
,,,,,,,,,
,Dawnbreaker,2nd,both,M>V,25%,,,,221140
,,,,,,,,,
,Grim Batol,Last,m0,C>M,25%,20%,,20%,133374
,Mists of Tirna,2nd,m0,H>M,50%,,33%,,178695
,Necrotic Wake,1st,m0,V>M,50%,,,,178733
,Siege of Boralus,Last,m0,H>C,50%,,,,231826
"Shoulders (Shaman, m0)",5 available in m0,,m0,,34%,,32%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Chest (Shaman, Hc)",2 available in Hc,,Hc,,19%,13%,,11%,
,Rookery,2nd,Hc,C>M,50%,33%,,33%,221041
,,,,,,,,,
,City of Threads,3rd,both,M>V,50%,33%,,25%,221179
,,,,,,,,,
,Siege of Boralus,Last,m0,M>H,50%,,,,231825
"Chest (Shaman, m0)",2 available in m0,,m0,,19%,16%,,15%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Wrists (Shaman, Hc)",3 available in Hc,,Hc,,35%,20%,,21%,
,Cinderbrew,2nd,Hc,C>V,50%,33%,,33%,221059
,Priory,2nd,Hc,M>H,100%,50%,,50%,221124
,,,,,,,,,
,City of Threads,2nd,both,C>M,50%,25%,,33%,221174
,,,,,,,,,
,Mists of Tirna,Last,m0,M>V,100%,33%,,33%,178703
,Siege of Boralus,2nd,m0,V>H,50%,,33%,,159372
"Wrists (Shaman, m0)",3 available in m0,,m0,,33%,20%,,21%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Hands (Shaman, Hc)",3 available in Hc,,Hc,,35%,21%,,21%,
,Priory,1st,Hc,H>V,50%,33%,,33%,221119
,,,,,,,,,
,Ara-Kara,Last,both,V>H,50%,33%,,33%,221162
,Stonevault,2nd,both,V>C,100%,50%,,50%,221080
,,,,,,,,,
"Hands (Shaman, m0)",2 available in m0,,m0,,28%,16%,,16%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Waist (Shaman, Hc)",3 available in Hc,,Hc,,27%,19%,,19%,
,Darkflame Cleft,2nd,Hc,H>V,50%,33%,,33%,221101
,,,,,,,,,
,City of Threads,1st,both,H>M,50%,33%,,33%,221168
,Stonevault,1st,both,H>M,50%,33%,,33%,221075
,,,,,,,,,
,Mists of Tirna,1st,m0,V>M,50%,25%,,25%,178700
,Siege of Boralus,3rd,m0,H>C,50%,33%,33%,,159386
"Waist (Shaman, m0)",4 available in m0,,m0,,32%,23%,,25%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Legs (Shaman, Hc)",3 available in Hc,,Hc,,24%,21%,,21%,
,Cinderbrew,3rd,Hc,C>H,50%,33%,,,221065
,Priory,Last,Hc,C>V,50%,,33%,33%,221129
,,,,,,,,,
,City of Threads,Last,both,H>V,50%,33%,,33%,221186
,,,,,,,,,
,Necrotic Wake,Last,m0,V>H,50%,,,33%,178778
,Siege of Boralus,1st,m0,V>M,50%,,33%,,159969
"Legs (Shaman, m0)",3 available in m0,,m0,,24%,,,21%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Feet (Shaman, Hc)",5 available in Hc,,Hc,,32%,30%,,,
,Darkflame Cleft,3rd,Hc,M>H,50%,33%,,25%,221106
,Rookery,1st,Hc,H>M,50%,33%,33%,,221035
,,,,,,,,,
,Ara-Kara,1st,both,H>M,50%,,,,221152
,Dawnbreaker,2nd,both,V>H,25%,,,,221202
,Dawnbreaker,Last,both,C>H,33%,,25%,,225586
,,,,,,,,,
,Grim Batol,2nd,m0,M>H,50%,,,33%,133290
,Grim Batol,3rd,m0,H>C,33%,,,,133293
,Necrotic Wake,3rd,m0,V>C,50%,33%,,,178745
,Siege of Boralus,2nd,m0,M>H,50%,,33%,,159379
"Feet (Shaman, m0)",7 available in m0,,m0,,44%,,43%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Neck (Shaman, Hc)",5 available in Hc,,Hc,,38%,29%,,28%,
,Cinderbrew,2nd,Hc,H>M,50%,33%,,33%,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,33%,,33%,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,33%,,25%,221181
,Dawnbreaker,Last,both,C>H,33%,,25%,,212448
,Stonevault,1st,both,M>H,50%,33%,,33%,221077
,,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,50%,,33%,,178707
"Neck (Shaman, m0)",4 available in m0,,m0,,28%,27%,,25%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Back (Shaman, Hc)",5 available in Hc,,Hc,,41%,,38%,40%,
,Cinderbrew,1st,Hc,C>M,100%,,50%,,221054
,Darkflame Cleft,3rd,Hc,V>C,50%,33%,,25%,221109
,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,,,221154
,Dawnbreaker,Last,both,C>H,33%,,25%,,225574
,Stonevault,3rd,both,M>H,50%,33%,,33%,221088
,,,,,,,,,
,Grim Batol,3rd,m0,V>C,33%,,,,133292
,Grim Batol,3rd,m0,M>C,33%,,,,133363
,Grim Batol,Last,m0,V>C,25%,20%,,20%,133309
"Back (Shaman, m0)",6 available in m0,,m0,,36%,34%,,34%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Ring (Shaman, Hc)",7 available in Hc,,Hc,,50%,40%,,39%,
,Cinderbrew,Last,Hc,M>C,50%,33%,,33%,221198
,Darkflame Cleft,1st,Hc,H>V,33%,25%,,,221099
,Priory,Last,Hc,M>V,50%,,33%,33%,221200
,Rookery,Last,Hc,C>M,33%,,,,221197
,,,,,,,,,
,City of Threads,Last,both,V>H,50%,33%,,33%,221189
,Dawnbreaker,1st,both,C>H,100%,50%,,50%,221136
,Dawnbreaker,2nd,both,V>M,25%,,,,221141
,,,,,,,,,
,Grim Batol,1st,m0,M>C,33%,,,,133286
,Grim Batol,2nd,m0,V>C,50%,,,33%,133287
,Grim Batol,Last,m0,H>M,25%,20%,,20%,133299
,Necrotic Wake,1st,m0,H>V,50%,,,,178736
,Necrotic Wake,Last,m0,V>C,50%,,,33%,178781
,Siege of Boralus,1st,m0,M>C,50%,,33%,,162541
,Siege of Boralus,3rd,m0,C>H,50%,33%,33%,,159461
"Ring (Shaman, m0)",10 available in m0,,m0,,61%,56%,,54%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Agi1hWeapon (Shaman, Hc)",5 available in Hc,,Hc,,33%,0%,,0%,
,Cinderbrew,1st,Hc,Agi,50%,0%,,0%,221051
,Priory,Last,Hc,Agi,33%,0%,,0%,221128
,Rookery,1st,Hc,Agi,33%,0%,,0%,221033
,,,,,,,,,
,Dawnbreaker,Last,both,Agi,25%,0%,,0%,212398
,Stonevault,Last,both,Agi,50%,0%,,0%,221090
,,,,,,,,,
,Siege of Boralus,1st,m0,Agi,33%,0%,,0%,159973
"Agi1hWeapon (Shaman, m0)",3 available in m0,,m0,,20%,0%,,0%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Int1hWeapon (Shaman, Hc)",5 available in Hc,,Hc,,33%,30%,0%,,
,Cinderbrew,3rd,Hc,Int,50%,33%,0%,,221062
,Darkflame Cleft,3rd,Hc,Int,33%,,0%,25%,221105
,Priory,2nd,Hc,Int,50%,,0%,,221122
,,,,,,,,,
,Ara-Kara,Last,both,Int,33%,,0%,,221165
,City of Threads,2nd,both,Int,33%,25%,0%,,221171
,,,,,,,,,
,Grim Batol,1st,m0,Int,33%,,0%,,133283
,Mists of Tirna,1st,m0,Int,25%,,0%,,178709
"Int1hWeapon (Shaman, m0)",4 available in m0,,m0,,23%,21%,0%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Int2hWeapon (Shaman, Hc)",4 available in Hc,,Hc,,29%,27%,0%,,
,Rookery,1st,Hc,Int,50%,33%,0%,,221032
,,,,,,,,,
,City of Threads,1st,both,Int,33%,,0%,,221166
,Stonevault,2nd,both,Int,50%,,0%,,221083
,Stonevault,3rd,both,Int,33%,,0%,,221085
,,,,,,,,,
,Grim Batol,Last,m0,Int,20%,,0%,,133303
,Mists of Tirna,Last,m0,Int,33%,,0%,,178714
"Int2hWeapon (Shaman, m0)",5 available in m0,,m0,,30%,,0%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Offhand (Shaman, Hc)",4 available in Hc,,Hc,,27%,24%,0%,,
,Cinderbrew,2nd,Hc,Int,33%,,0%,,221056
,Darkflame Cleft,1st,Hc,Int,33%,25%,0%,,221097
,,,,,,,,,
,City of Threads,2nd,both,Int,33%,25%,0%,,221172
,Dawnbreaker,1st,both,Int,50%,,0%,,221132
,,,,,,,,,
"Offhand (Shaman, m0)",2 available in m0,,m0,,16%,15%,0%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Shield (Shaman, Hc)",4 available in Hc,,Hc,,24%,,0%,23%,
,Priory,1st,Hc,"Str,Int",33%,,0%,,221117
,Rookery,2nd,Hc,"Str,Int",33%,,0%,,221045
,,,,,,,,,
,City of Threads,3rd,both,"Str,Int",33%,,0%,25%,221177
,Stonevault,1st,both,"Str,Int",33%,,0%,,221073
,,,,,,,,,
