Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,DhHavoc,DhVeng,DruidBoomie,DruidCat,DruidBear,DruidResto,EvokerDev,EvokerPres,EvokerAug,HunterBm,HunterMm,HunterSv,MageArcane,MageFire,MageFrost,MonkBrew,MonkMw,MonkWw,PaladinHoly,PaladinProt,PaladinRet,PriestDisc,PriestHoly,PriestShadow,RogueSin,RogueOutlaw,RogueSub,ShamanEle,ShamanEnh,ShamanResto,WarlockAff,WarlockDemo,WarlockDest,WarriorArms,WarriorFury,WarriorProt,ID
"Head (Dk, Hc)",2 available in Hc,,Hc,,16%,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Paladin, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,13%,15%,,,,,,,,,,,,,,,,,
"Head (Warrior, Hc)",2 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,15%,
"Head (Dh, Hc)",3 available in Hc,,Hc,,,,,,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Druid, Hc)",3 available in Hc,,Hc,,,,,,,,24%,,33%,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Evoker, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Hunter, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Monk, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,33%,35%,,,,,,,,,,,,,,,,,,,,
"Head (Rogue, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Shaman, Hc)",3 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,24%,,,,,,,
"Head (Mage, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Priest, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,24%,,,,,,,,,,,,,,
"Head (Warlock, Hc)",4 available in Hc,,Hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cinderbrew,2nd,Hc,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221055
,Priory,Last,Hc,M>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,221131
,City of Threads,Last,both,M>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221187
,Dawnbreaker,Last,both,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212440
,Grim Batol,Last,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133302
,Mists of Tirna,Last,m0,V>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178693
,Necrotic Wake,1st,m0,C>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178732
,Siege of Boralus,Last,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231818
,Priory,2nd,Hc,C>M,0%,,,,,50%,50%,,50%,50%,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,,,,,,221125
,Ara-Kara,Last,both,M>V,0%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,,,,,,,221163
,Stonevault,2nd,both,C>H,0%,,,,,,50%,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221081
,Mists of Tirna,2nd,m0,H>M,0%,,,,,,,33%,33%,,,,,,,,,,,33%,,33%,,,,,,,25%,,25%,,,,,,,,,,178691
,Siege of Boralus,Last,m0,V>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231824
