Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,ID
"Head (Dk, Hc)",2 available in Hc,,Hc,,16%,,15%,,
,Darkflame Cleft,2nd,Hc,H>V,50%,,,,221100
,Rookery,Last,Hc,V>H,33%,,25%,,221047
"Shoulders (Dk, Hc)",4 available in Hc,,Hc,,29%,24%,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,ID
,Cinderbrew,1st,Hc,V>M,50%,33%,,,221052
,Priory,Last,Hc,C>V,33%,,,,221203
,,,,,,,,,
,Ara-Kara,2nd,both,V>M,50%,33%,,,221155
,City of Threads,Last,both,C>H,33%,,,,221185
,,,,,,,,,
"Chest (Dk, Hc)",3 available in Hc,,Hc,,35%,,33%,,
,Cinderbrew,Last,Hc,H>C,50%,,33%,,221069
,,,,,,,,,
,Ara-Kara,Last,both,V>H,100%,,,,221161
,Dawnbreaker,2nd,both,C>V,50%,,,,221139
,,,,,,,,,
"Wrists (Dk, Hc)",4 available in Hc,,Hc,,31%,,28%,28%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,ID
,Cinderbrew,3rd,Hc,C>H,50%,,33%,33%,221064
,Priory,1st,Hc,C>H,50%,,,,221118
,,,,,,,,,
,City of Threads,1st,both,H>V,50%,,,,221167
,Dawnbreaker,Last,both,C>H,25%,,,,212437
,,,,,,,,,
"Hands (Dk, Hc)",3 available in Hc,,Hc,,24%,,21%,21%,
,Darkflame Cleft,Last,Hc,V>H,33%,,,,221112
,,,,,,,,,
,Ara-Kara,1st,both,H>V,50%,,,,221151
,Stonevault,3rd,both,H>C,50%,,33%,33%,221086
,,,,,,,,,
"Waist (Dk, Hc)",3 available in Hc,,Hc,,21%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,ID
,Rookery,2nd,Hc,M>H,33%,,,,221040
,,,,,,,,,
,Dawnbreaker,1st,both,M>H,33%,,,,221133
,Stonevault,2nd,both,C>M,50%,,,,221079
,,,,,,,,,
"Legs (Dk, Hc)",3 available in Hc,,Hc,,42%,,24%,27%,
,Rookery,1st,Hc,H>V,100%,,50%,50%,221034
,,,,,,,,,
,City of Threads,2nd,both,M>H,100%,,50%,50%,221173
,Stonevault,Last,both,M>C,50%,,33%,,221092
,,,,,,,,,
"Feet (Dk, Hc)",3 available in Hc,,Hc,,35%,27%,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,ID
,Cinderbrew,2nd,Hc,M>C,50%,,,,221061
,Priory,2nd,Hc,V>M,100%,50%,,,221123
,,,,,,,,,
,City of Threads,3rd,both,V>H,50%,,,,221178
,,,,,,,,,
"Neck (Dk, Hc)",5 available in Hc,,Hc,,45%,38%,,,
,Cinderbrew,2nd,Hc,H>M,50%,,,,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,,,,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,,,221181
,Dawnbreaker,Last,both,C>H,25%,,,,212448
,Stonevault,1st,both,M>H,100%,50%,,,221077
,,,,,,,,,
"Back (Dk, Hc)",5 available in Hc,,Hc,,43%,40%,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,ID
,Cinderbrew,1st,Hc,C>M,50%,33%,,,221054
