item_id,release,from,boss,gear_slot,gear_type,stats,DkBlood
0,Hc,Head (Dk),2 sources,Head,1st/2nd week,,16%
221100,Hc,Darkflame Cleft,2nd boss,Head,Plate,H>V,50%
221047,Hc,Rookery,Last boss,Head,Plate,V>H,33%
0,Hc,Shoulders (Dk),4 sources,Shoulder,1st/2nd week,,24%
221052,Hc,Cinderbrew,1st boss,Shoulder,Plate,V>M,33%
221203,Hc,Priory,Last boss,Shoulder,Plate,C>V,33%
221155,Hc+M0,Ara-Kara,2nd boss,Shoulder,Plate,V>M,33%
221185,Hc+M0,City of Threads,Last boss,Shoulder,Plate,C>H,33%
0,Hc,Chest (Dk),3 sources,Chest,1st/2nd week,,35%
221069,Hc,Cinderbrew,Last boss,Chest,Plate,H>C,50%
221161,Hc+M0,Ara-Kara,Last boss,Chest,Plate,V>H,100%
221139,Hc+M0,Dawnbreaker,2nd boss,Chest,Plate,C>V,50%
0,Hc,Wrists (Dk),4 sources,Wrist,1st/2nd week,,31%
221064,Hc,Cinderbrew,3rd boss,Wrist,Plate,C>H,50%
221118,Hc,Priory,1st boss,Wrist,Plate,C>H,50%
221167,Hc+M0,City of Threads,1st boss,Wrist,Plate,H>V,50%
212437,Hc+M0,Dawnbreaker,Last boss,Wrist,Plate,C>H,25%
0,Hc,Hands (Dk),3 sources,Hands,1st/2nd week,,24%
221112,Hc,Darkflame Cleft,Last boss,Hands,Plate,V>H,33%
221151,Hc+M0,Ara-Kara,1st boss,Hands,Plate,H>V,50%
221086,Hc+M0,Stonevault,3rd boss,Hands,Plate,H>C,50%
0,Hc,Waist (Dk),3 sources,Waist,1st/2nd week,,21%
221040,Hc,Rookery,2nd boss,Waist,Plate,M>H,33%
221133,Hc+M0,Dawnbreaker,1st boss,Waist,Plate,M>H,33%
221079,Hc+M0,Stonevault,2nd boss,Waist,Plate,C>M,50%
0,Hc,Legs (Dk),3 sources,Legs,1st/2nd week,,42%
221034,Hc,Rookery,1st boss,Legs,Plate,H>V,100%
221173,Hc+M0,City of Threads,2nd boss,Legs,Plate,M>H,100%
221092,Hc+M0,Stonevault,Last boss,Legs,Plate,M>C,50%
0,Hc,Feet (Dk),3 sources,Feet,1st/2nd week,,27%
221061,Hc,Cinderbrew,2nd boss,Feet,Plate,M>C,50%
221123,Hc,Priory,2nd boss,Feet,Plate,V>M,50%
221178,Hc+M0,City of Threads,3rd boss,Feet,Plate,V>H,50%
221060,Hc,Cinderbrew,2nd boss,Neck,,,50%
221103,Hc,Darkflame Cleft,2nd boss,Neck,,,50%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,50%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,25%
221077,Hc+M0,Stonevault,1st boss,Neck,,,50%
0,Hc,Neck (Dk),5 sources,Neck,1st/2nd week,,38%
221054,Hc,Cinderbrew,1st boss,Back,,C>M,33%
221109,Hc,Darkflame Cleft,3rd boss,Back,,V>C,100%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,33%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,25%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,50%
0,Hc,Back (Dk),5 sources,Back,1st/2nd week,,40%
221198,Hc,Cinderbrew,Last boss,Finger,,,50%
221099,Hc,Darkflame Cleft,1st boss,Finger,,,100%
221200,Hc,Priory,Last boss,Finger,,,33%
221197,Hc,Rookery,Last boss,Finger,,,33%
221189,Hc+M0,City of Threads,Last boss,Finger,,,33%
