Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
"Head (Druid, Hc)",3 available in Hc,,Hc,,40%,24%,,33%,24%,
,Priory,2nd,Hc,C>M,100%,50%,,50%,50%,221125
,,,,,,,,,,
,Ara-Kara,Last,both,M>V,33%,,,,,221163
,Stonevault,2nd,both,C>H,100%,50%,,,50%,221081
,,,,,,,,,,
"Shoulders (Druid, Hc)",3 available in Hc,,Hc,,42%,20%,27%,,24%,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,Cinderbrew,3rd,Hc,H>V,100%,33%,50%,,50%,221201
,,,,,,,,,,
,City of Threads,2nd,both,V>C,100%,25%,50%,,33%,221175
,Stonevault,Last,both,C>V,50%,,,,,221094
,,,,,,,,,,
"Chest (Druid, Hc)",3 available in Hc,,Hc,,24%,21%,,,19%,
,Priory,Last,Hc,V>H,50%,,,,33%,221130
,Rookery,Last,Hc,M>V,33%,,,,,221049
,,,,,,,,,,
,City of Threads,Last,both,H>M,50%,33%,,,33%,221188
,,,,,,,,,,
"Wrists (Druid, Hc)",3 available in Hc,,Hc,,24%,,23%,17%,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,Cinderbrew,1st,Hc,M>H,50%,,,33%,,221053
,,,,,,,,,,
,Ara-Kara,2nd,both,C>M,50%,,,33%,,221157
,Dawnbreaker,2nd,both,H>C,33%,,25%,25%,,221142
,,,,,,,,,,
"Hands (Druid, Hc)",3 available in Hc,,Hc,,35%,21%,27%,,21%,
,Darkflame Cleft,2nd,Hc,H>M,50%,33%,,,33%,221102
,Rookery,1st,Hc,M>C,100%,33%,50%,,50%,221036
,,,,,,,,,,
,City of Threads,3rd,both,H>C,50%,,,,33%,221180
,,,,,,,,,,
"Waist (Druid, Hc)",4 available in Hc,,Hc,,29%,27%,,,24%,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,Cinderbrew,2nd,Hc,V>H,33%,,,,,221058
,Darkflame Cleft,3rd,Hc,C>M,50%,,,,33%,221107
,,,,,,,,,,
,Dawnbreaker,1st,both,C>M,50%,33%,,,33%,221134
,Dawnbreaker,Last,both,H>C,33%,,,,,225583
,,,,,,,,,,
"Legs (Druid, Hc)",3 available in Hc,,Hc,,27%,,,,,
,Darkflame Cleft,Last,Hc,H>C,50%,,,,,221114
,Rookery,2nd,Hc,V>C,50%,,,,,221042
,,,,,,,,,,
,Ara-Kara,1st,both,M>C,50%,,,,,221153
,,,,,,,,,,
"Feet (Druid, Hc)",3 available in Hc,,Hc,,24%,21%,,,21%,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,Cinderbrew,Last,Hc,M>H,50%,33%,,,33%,221071
,Priory,1st,Hc,H>M,50%,,33%,33%,,221120
,,,,,,,,,,
,City of Threads,1st,both,M>C,50%,33%,,,33%,221169
,,,,,,,,,,
"Neck (Druid, Hc)",5 available in Hc,,Hc,,41%,,36%,34%,39%,
,Cinderbrew,2nd,Hc,H>M,33%,,,,,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,33%,,,33%,221103
,,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,,,33%,221181
,Dawnbreaker,Last,both,C>H,33%,,,,,212448
,Stonevault,1st,both,M>H,100%,,50%,33%,,221077
,,,,,,,,,,
"Back (Druid, Hc)",5 available in Hc,,Hc,,41%,36%,39%,,34%,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,Cinderbrew,1st,Hc,C>M,50%,,,33%,,221054
,Darkflame Cleft,3rd,Hc,V>C,50%,,,,33%,221109
,,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,,33%,,221154
,Dawnbreaker,Last,both,C>H,33%,,,,,225574
,Stonevault,3rd,both,M>H,100%,33%,50%,,33%,221088
,,,,,,,,,,
"Ring (Druid, Hc)",7 available in Hc,,Hc,,53%,40%,48%,,40%,
,Cinderbrew,Last,Hc,M>C,50%,33%,,,33%,221198
,Darkflame Cleft,1st,Hc,H>V,100%,33%,50%,,50%,221099
,Priory,Last,Hc,M>V,50%,,,,33%,221200
,Rookery,Last,Hc,C>M,33%,,,,,221197
,,,,,,,,,,
,City of Threads,Last,both,V>H,50%,33%,,,33%,221189
,Dawnbreaker,1st,both,C>H,50%,33%,,,33%,221136
,Dawnbreaker,2nd,both,V>M,33%,,25%,25%,,221141
