item_id,release,from,boss,gear_slot,gear_type,stats,DruidBear
0,Hc,Head (Druid),3 sources,Head,1st/2nd week,,33%
221125,Hc,Priory,2nd boss,Head,Leather,C>M,50%
221163,Hc+M0,Ara-Kara,Last boss,Head,Leather,M>V,33%
221081,Hc+M0,Stonevault,2nd boss,Head,Leather,C>H,100%
0,Hc,Shoulders (Druid),3 sources,Shoulder,1st/2nd week,,42%
221201,Hc,Cinderbrew,3rd boss,Shoulder,Leather,H>V,100%
221175,Hc+M0,City of Threads,2nd boss,Shoulder,Leather,V>C,100%
221094,Hc+M0,Stonevault,Last boss,Shoulder,Leather,C>V,50%
0,Hc,Chest (Druid),3 sources,Chest,1st/2nd week,,24%
221130,Hc,Priory,Last boss,Chest,Leather,V>H,50%
221049,Hc,Rookery,Last boss,Chest,Leather,M>V,33%
221188,Hc+M0,City of Threads,Last boss,Chest,Leather,H>M,50%
0,Hc,Wrists (Druid),3 sources,Wrist,1st/2nd week,,17%
221053,Hc,Cinderbrew,1st boss,Wrist,Leather,M>H,33%
221157,Hc+M0,Ara-Kara,2nd boss,Wrist,Leather,C>M,33%
221142,Hc+M0,Dawnbreaker,2nd boss,Wrist,Leather,H>C,25%
0,Hc,Hands (Druid),3 sources,Hands,1st/2nd week,,35%
221102,Hc,Darkflame Cleft,2nd boss,Hands,Leather,H>M,50%
221036,Hc,Rookery,1st boss,Hands,Leather,M>C,100%
221180,Hc+M0,City of Threads,3rd boss,Hands,Leather,H>C,50%
0,Hc,Waist (Druid),4 sources,Waist,1st/2nd week,,29%
221058,Hc,Cinderbrew,2nd boss,Waist,Leather,V>H,33%
221107,Hc,Darkflame Cleft,3rd boss,Waist,Leather,C>M,50%
221134,Hc+M0,Dawnbreaker,1st boss,Waist,Leather,C>M,50%
225583,Hc+M0,Dawnbreaker,Last boss,Waist,Leather,H>C,33%
0,Hc,Legs (Druid),3 sources,Legs,1st/2nd week,,27%
221114,Hc,Darkflame Cleft,Last boss,Legs,Leather,H>C,50%
221042,Hc,Rookery,2nd boss,Legs,Leather,V>C,50%
221153,Hc+M0,Ara-Kara,1st boss,Legs,Leather,M>C,50%
0,Hc,Feet (Druid),3 sources,Feet,1st/2nd week,,24%
221071,Hc,Cinderbrew,Last boss,Feet,Leather,M>H,50%
221120,Hc,Priory,1st boss,Feet,Leather,H>M,33%
221169,Hc+M0,City of Threads,1st boss,Feet,Leather,M>C,50%
221060,Hc,Cinderbrew,2nd boss,Neck,,,33%
221103,Hc,Darkflame Cleft,2nd boss,Neck,,,50%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,50%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,33%
221077,Hc+M0,Stonevault,1st boss,Neck,,,33%
0,Hc,Neck (Druid),5 sources,Neck,1st/2nd week,,34%
221054,Hc,Cinderbrew,1st boss,Back,,C>M,33%
221109,Hc,Darkflame Cleft,3rd boss,Back,,V>C,50%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,33%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,33%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,100%
0,Hc,Back (Druid),5 sources,Back,1st/2nd week,,41%
221198,Hc,Cinderbrew,Last boss,Finger,,,50%
221099,Hc,Darkflame Cleft,1st boss,Finger,,,100%
221200,Hc,Priory,Last boss,Finger,,,50%
221197,Hc,Rookery,Last boss,Finger,,,33%
221189,Hc+M0,City of Threads,Last boss,Finger,,,50%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,50%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,25%
0,Hc,Ring (Druid),7 sources,Finger,1st/2nd week,,53%
0,Hc,Int1hWeapon (Druid),4 sources,One-Hand,1st/2nd week,,0%
0,Hc,Agi2hWeapon (Druid),5 sources,Two-Hand,1st/2nd week,,28%
0,Hc,Int2hWeapon (Druid),4 sources,Two-Hand,1st/2nd week,,0%
221116,Hc,Priory,1st boss,Two-Hand,Polearm,Agi,33%
221137,Hc+M0,Dawnbreaker,2nd boss,Two-Hand,Polearm,Agi,25%
221078,Hc+M0,Stonevault,1st boss,Two-Hand,Polearm,Agi,33%
221057,Hc,Cinderbrew,2nd boss,Two-Hand,Staff,Agi,33%
221159,Hc+M0,Ara-Kara,Last boss,Two-Hand,Staff,Agi,33%
0,Hc,Offhand (Druid),4 sources,Held In Off-hand,1st/2nd week,,0%
0,Hc,AnyroleTrinket (Druid),12 sources,Trinket,1st/2nd week,,54%
0,Hc,DpsTrinket (Druid),5 sources,Trinket,1st/2nd week,,0%
0,Hc,HealTrinket (Druid),4 sources,Trinket,1st/2nd week,,0%
0,Hc,TankTrinket (Druid),4 sources,Trinket,1st/2nd week,,27%
219307,Hc,Darkflame Cleft,Last boss,Trinket,Anyrole Trinket,,50%
219308,Hc,Priory,1st boss,Trinket,Anyrole Trinket,All3,33%
219295,Hc,Rookery,2nd boss,Trinket,Anyrole Trinket,All3,50%
219296,Hc,Rookery,Last boss,Trinket,Anyrole Trinket,,33%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",33%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,50%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",25%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,50%
219297,Hc,Cinderbrew,1st boss,Trinket,Tank Trinket,,33%
219309,Hc,Priory,2nd boss,Trinket,Tank Trinket,,50%
219316,Hc+M0,Ara-Kara,2nd boss,Trinket,Tank Trinket,"Agi,Str",33%
219315,Hc+M0,Stonevault,1st boss,Trinket,Tank Trinket,"Agi,Str",33%
