Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
"Head (Evoker, Hc)",3 available in Hc,,Hc,,24%,,,,
,Cinderbrew,Last,Hc,V>M,33%,,,,221070
,Darkflame Cleft,Last,Hc,M>V,50%,,,,221113
,,,,,,,,,
,Ara-Kara,2nd,both,M>H,50%,,,,221156
,,,,,,,,,
"Shoulders (Evoker, Hc)",3 available in Hc,,Hc,,17%,16%,,16%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,Darkflame Cleft,1st,Hc,V>H,33%,25%,,25%,221098
,Rookery,Last,Hc,M>V,33%,,,,221048
,,,,,,,,,
,Dawnbreaker,2nd,both,M>V,25%,,,,221140
,,,,,,,,,
"Chest (Evoker, Hc)",2 available in Hc,,Hc,,19%,,16%,,
,Rookery,2nd,Hc,C>M,50%,,,,221041
,,,,,,,,,
,City of Threads,3rd,both,M>V,50%,,33%,,221179
,,,,,,,,,
"Wrists (Evoker, Hc)",3 available in Hc,,Hc,,21%,20%,,20%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,Cinderbrew,2nd,Hc,C>V,33%,,,,221059
,Priory,2nd,Hc,M>H,50%,,,,221124
,,,,,,,,,
,City of Threads,2nd,both,C>M,33%,25%,,25%,221174
,,,,,,,,,
"Hands (Evoker, Hc)",3 available in Hc,,Hc,,33%,,,,
,Priory,1st,Hc,H>V,50%,,,,221119
,,,,,,,,,
,Ara-Kara,Last,both,V>H,33%,,,,221162
,Stonevault,2nd,both,V>C,100%,,,,221080
,,,,,,,,,
"Waist (Evoker, Hc)",3 available in Hc,,Hc,,21%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,Darkflame Cleft,2nd,Hc,H>V,33%,,,,221101
,,,,,,,,,
,City of Threads,1st,both,H>M,33%,,,,221168
,Stonevault,1st,both,H>M,50%,,,,221075
,,,,,,,,,
"Legs (Evoker, Hc)",3 available in Hc,,Hc,,21%,,,,
,Cinderbrew,3rd,Hc,C>H,50%,33%,,33%,221065
,Priory,Last,Hc,C>V,50%,,33%,,221129
,,,,,,,,,
,City of Threads,Last,both,H>V,33%,,,,221186
,,,,,,,,,
"Feet (Evoker, Hc)",5 available in Hc,,Hc,,29%,28%,,28%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,Darkflame Cleft,3rd,Hc,M>H,33%,,25%,,221106
,Rookery,1st,Hc,H>M,50%,33%,,33%,221035
,,,,,,,,,
,Ara-Kara,1st,both,H>M,33%,,,,221152
,Dawnbreaker,2nd,both,V>H,25%,,,,221202
,Dawnbreaker,Last,both,C>H,33%,,,,225586
,,,,,,,,,
"Neck (Evoker, Hc)",5 available in Hc,,Hc,,34%,,32%,,
,Cinderbrew,2nd,Hc,H>M,33%,,,,221060
,Darkflame Cleft,2nd,Hc,C>V,33%,,,,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,33%,,221181
,Dawnbreaker,Last,both,C>H,33%,,,,212448
,Stonevault,1st,both,M>H,50%,,,,221077
,,,,,,,,,
"Back (Evoker, Hc)",5 available in Hc,,Hc,,41%,,40%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,Cinderbrew,1st,Hc,C>M,100%,,,,221054
,Darkflame Cleft,3rd,Hc,V>C,33%,,25%,,221109
,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,,,221154
,Dawnbreaker,Last,both,C>H,33%,,,,225574
,Stonevault,3rd,both,M>H,33%,,,,221088
,,,,,,,,,
"Ring (Evoker, Hc)",7 available in Hc,,Hc,,40%,,39%,,
,Cinderbrew,Last,Hc,M>C,33%,,,,221198
,Darkflame Cleft,1st,Hc,H>V,33%,25%,,25%,221099
,Priory,Last,Hc,M>V,50%,,33%,,221200
,Rookery,Last,Hc,C>M,33%,,,,221197
,,,,,,,,,
,City of Threads,Last,both,V>H,33%,,,,221189
,Dawnbreaker,1st,both,C>H,50%,,,,221136
,Dawnbreaker,2nd,both,V>M,25%,,,,221141
,,,,,,,,,
"Int1hWeapon (Evoker, Hc)",6 available in Hc,,Hc,,37%,35%,,35%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,Cinderbrew,3rd,Hc,Int,50%,33%,,33%,221062
,Darkflame Cleft,3rd,Hc,Int,33%,,25%,,221105
,Priory,2nd,Hc,Int,50%,,,,221122
,,,,,,,,,
,Ara-Kara,1st,both,Int,33%,,,,221150
,Ara-Kara,Last,both,Int,33%,,,,221165
,City of Threads,2nd,both,Int,33%,25%,,25%,221171
,,,,,,,,,
"Int2hWeapon (Evoker, Hc)",3 available in Hc,,Hc,,21%,19%,,19%,
,Rookery,1st,Hc,Int,50%,33%,,33%,221032
,,,,,,,,,
,City of Threads,1st,both,Int,33%,,,,221166
,Stonevault,3rd,both,Int,33%,,,,221085
,,,,,,,,,
"Offhand (Evoker, Hc)",4 available in Hc,,Hc,,27%,24%,,24%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,Cinderbrew,2nd,Hc,Int,33%,,,,221056
,Darkflame Cleft,1st,Hc,Int,33%,25%,,25%,221097
,,,,,,,,,
,City of Threads,2nd,both,Int,33%,25%,,25%,221172
,Dawnbreaker,1st,both,Int,50%,,,,221132
,,,,,,,,,
"DpsTrinket (Evoker, Hc)",5 available in Hc,,Hc,,26%,,0%,,
,Cinderbrew,3rd,Hc,"Dps,Agi,Str",33%,,0%,,219298
,Darkflame Cleft,1st,Hc,"Dps,Agi",25%,,0%,,219304
,Rookery,1st,Hc,"Dps,Agi",33%,,0%,,219294
,,,,,,,,,
,City of Threads,2nd,both,"Dps,Agi",25%,,0%,,219319
,Stonevault,3rd,both,"Dps,",33%,,0%,,219301
,,,,,,,,,
"HealTrinket (Evoker, Hc)",4 available in Hc,,Hc,,23%,0%,,0%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,Darkflame Cleft,3rd,Hc,"Heal,Int",25%,0%,,0%,219306
,Priory,Last,Hc,"Heal,Int",33%,0%,,0%,219310
,,,,,,,,,
,City of Threads,3rd,both,"Heal,Int",33%,0%,,0%,219320
,Stonevault,3rd,both,"Heal,Int",33%,0%,,0%,219302
,,,,,,,,,
"AnyroleTrinket (Evoker, Hc)",12 available in Hc,,Hc,,66%,,,,
,Cinderbrew,Last,Hc,Int,33%,,,,219299
,Darkflame Cleft,2nd,Hc,Int,33%,,,,219305
,Darkflame Cleft,Last,Hc,,50%,,,,219307
,Priory,1st,Hc,All3,50%,,,,219308
,Rookery,2nd,Hc,All3,50%,,,,219295
,Rookery,Last,Hc,,33%,,,,219296
,,,,,,,,,
,Ara-Kara,1st,both,,33%,,,,219314
,Ara-Kara,Last,both,"Agi,Int",33%,,,,219317
,City of Threads,1st,both,,33%,,,,219318
,City of Threads,Last,both,Int,33%,,,,219321
,Dawnbreaker,2nd,both,"Agi,Int",25%,,,,219312
,Stonevault,Last,both,,100%,,,,219303
