item_id,release,from,boss,gear_slot,gear_type,stats,EvokerPres
0,Hc,Head (Evoker),3 sources,Head,1st/2nd week,,24%
221070,Hc,Cinderbrew,Last boss,Head,Mail,V>M,33%
221113,Hc,Darkflame Cleft,Last boss,Head,Mail,M>V,50%
221156,Hc+M0,Ara-Kara,2nd boss,Head,Mail,M>H,50%
0,Hc,Shoulders (Evoker),3 sources,Shoulder,1st/2nd week,,17%
221098,Hc,Darkflame Cleft,1st boss,Shoulder,Mail,V>H,33%
221048,Hc,Rookery,Last boss,Shoulder,Mail,M>V,33%
221140,Hc+M0,Dawnbreaker,2nd boss,Shoulder,Mail,M>V,25%
0,Hc,Chest (Evoker),2 sources,Chest,1st/2nd week,,16%
221041,Hc,Rookery,2nd boss,Chest,Mail,C>M,50%
221179,Hc+M0,City of Threads,3rd boss,Chest,Mail,M>V,33%
0,Hc,Wrists (Evoker),3 sources,Wrist,1st/2nd week,,21%
221059,Hc,Cinderbrew,2nd boss,Wrist,Mail,C>V,33%
221124,Hc,Priory,2nd boss,Wrist,Mail,M>H,50%
221174,Hc+M0,City of Threads,2nd boss,Wrist,Mail,C>M,33%
0,Hc,Hands (Evoker),3 sources,Hands,1st/2nd week,,33%
221119,Hc,Priory,1st boss,Hands,Mail,H>V,50%
221162,Hc+M0,Ara-Kara,Last boss,Hands,Mail,V>H,33%
221080,Hc+M0,Stonevault,2nd boss,Hands,Mail,V>C,100%
0,Hc,Waist (Evoker),3 sources,Waist,1st/2nd week,,21%
221101,Hc,Darkflame Cleft,2nd boss,Waist,Mail,H>V,33%
221168,Hc+M0,City of Threads,1st boss,Waist,Mail,H>M,33%
221075,Hc+M0,Stonevault,1st boss,Waist,Mail,H>M,50%
0,Hc,Legs (Evoker),3 sources,Legs,1st/2nd week,,21%
221065,Hc,Cinderbrew,3rd boss,Legs,Mail,C>H,50%
221129,Hc,Priory,Last boss,Legs,Mail,C>V,33%
221186,Hc+M0,City of Threads,Last boss,Legs,Mail,H>V,33%
0,Hc,Feet (Evoker),5 sources,Feet,1st/2nd week,,29%
221106,Hc,Darkflame Cleft,3rd boss,Feet,Mail,M>H,25%
221035,Hc,Rookery,1st boss,Feet,Mail,H>M,50%
221152,Hc+M0,Ara-Kara,1st boss,Feet,Mail,H>M,33%
221202,Hc+M0,Dawnbreaker,2nd boss,Feet,Mail,V>H,25%
225586,Hc+M0,Dawnbreaker,Last boss,Feet,Mail,C>H,33%
221060,Hc,Cinderbrew,2nd boss,Neck,,,33%
221103,Hc,Darkflame Cleft,2nd boss,Neck,,,33%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,33%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,33%
221077,Hc+M0,Stonevault,1st boss,Neck,,,50%
0,Hc,Neck (Evoker),5 sources,Neck,1st/2nd week,,32%
221054,Hc,Cinderbrew,1st boss,Back,,C>M,100%
221109,Hc,Darkflame Cleft,3rd boss,Back,,V>C,25%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,50%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,33%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,33%
0,Hc,Back (Evoker),5 sources,Back,1st/2nd week,,40%
221198,Hc,Cinderbrew,Last boss,Finger,,,33%
221099,Hc,Darkflame Cleft,1st boss,Finger,,,33%
221200,Hc,Priory,Last boss,Finger,,,33%
221197,Hc,Rookery,Last boss,Finger,,,33%
221189,Hc+M0,City of Threads,Last boss,Finger,,,33%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,50%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,25%
0,Hc,Ring (Evoker),7 sources,Finger,1st/2nd week,,39%
0,Hc,Int1hWeapon (Evoker),6 sources,One-Hand,1st/2nd week,,37%
221105,Hc,Darkflame Cleft,3rd boss,One-Hand,Axe,Int,25%
221062,Hc,Cinderbrew,3rd boss,One-Hand,Dagger,Int,50%
221165,Hc+M0,Ara-Kara,Last boss,One-Hand,Dagger,Int,33%
221171,Hc+M0,City of Threads,2nd boss,One-Hand,Dagger,Int,33%
221122,Hc,Priory,2nd boss,One-Hand,Mace,Int,50%
221150,Hc+M0,Ara-Kara,1st boss,One-Hand,Sword,Int,33%
0,Hc,Int2hWeapon (Evoker),3 sources,Two-Hand,1st/2nd week,,21%
221032,Hc,Rookery,1st boss,Two-Hand,Staff,Int,50%
