Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
"Head (Hunter, Hc)",3 available in Hc,,Hc,,27%,,,,
,Cinderbrew,Last,Hc,V>M,50%,,,,221070
,Darkflame Cleft,Last,Hc,M>V,50%,,,,221113
,,,,,,,,,
,Ara-Kara,2nd,both,M>H,50%,,,,221156
,,,,,,,,,
"Shoulders (Hunter, Hc)",3 available in Hc,,Hc,,17%,,,16%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
,Darkflame Cleft,1st,Hc,V>H,33%,,,,221098
,Rookery,Last,Hc,M>V,33%,,,,221048
,,,,,,,,,
,Dawnbreaker,2nd,both,M>V,25%,,,20%,221140
,,,,,,,,,
"Chest (Hunter, Hc)",2 available in Hc,,Hc,,19%,16%,16%,,
,Rookery,2nd,Hc,C>M,50%,33%,33%,,221041
,,,,,,,,,
,City of Threads,3rd,both,M>V,50%,,,,221179
,,,,,,,,,
"Wrists (Hunter, Hc)",3 available in Hc,,Hc,,35%,,,33%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
,Cinderbrew,2nd,Hc,C>V,50%,,,33%,221059
,Priory,2nd,Hc,M>H,100%,,,,221124
,,,,,,,,,
,City of Threads,2nd,both,C>M,50%,,,,221174
,,,,,,,,,
"Hands (Hunter, Hc)",3 available in Hc,,Hc,,35%,,,30%,
,Priory,1st,Hc,H>V,50%,,,33%,221119
,,,,,,,,,
,Ara-Kara,Last,both,V>H,50%,,,33%,221162
,Stonevault,2nd,both,V>C,100%,,,,221080
,,,,,,,,,
"Waist (Hunter, Hc)",3 available in Hc,,Hc,,24%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
,Darkflame Cleft,2nd,Hc,H>V,50%,,,,221101
,,,,,,,,,
,City of Threads,1st,both,H>M,50%,,,,221168
,Stonevault,1st,both,H>M,33%,,,,221075
,,,,,,,,,
"Legs (Hunter, Hc)",3 available in Hc,,Hc,,27%,,,,
,Cinderbrew,3rd,Hc,C>H,50%,,,,221065
,Priory,Last,Hc,C>V,50%,,,,221129
,,,,,,,,,
,City of Threads,Last,both,H>V,50%,,,,221186
,,,,,,,,,
"Feet (Hunter, Hc)",5 available in Hc,,Hc,,35%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
,Darkflame Cleft,3rd,Hc,M>H,50%,,,,221106
,Rookery,1st,Hc,H>M,50%,,,,221035
,,,,,,,,,
,Ara-Kara,1st,both,H>M,50%,,,,221152
,Dawnbreaker,2nd,both,V>H,25%,,,20%,221202
,Dawnbreaker,Last,both,C>H,33%,,,,225586
,,,,,,,,,
"Neck (Hunter, Hc)",5 available in Hc,,Hc,,36%,,,34%,
,Cinderbrew,2nd,Hc,H>M,50%,,,33%,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,,,,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,,,221181
,Dawnbreaker,Last,both,C>H,33%,,,,212448
,Stonevault,1st,both,M>H,33%,,,,221077
,,,,,,,,,
"Back (Hunter, Hc)",5 available in Hc,,Hc,,46%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
,Cinderbrew,1st,Hc,C>M,100%,,,,221054
,Darkflame Cleft,3rd,Hc,V>C,50%,,,,221109
,,,,,,,,,
