Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
"Head (Mage, Hc)",4 available in Hc,,Hc,,27%,,,,
,Cinderbrew,2nd,Hc,M>V,33%,,,,221055
,Priory,Last,Hc,M>V,50%,,,,221131
,,,,,,,,,
,City of Threads,Last,both,M>C,33%,,,,221187
,Dawnbreaker,Last,both,H>C,33%,,,,212440
,,,,,,,,,
"Shoulders (Mage, Hc)",3 available in Hc,,Hc,,21%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
,Cinderbrew,Last,Hc,C>M,33%,,,,221072
,Darkflame Cleft,Last,Hc,V>M,50%,,,,221115
,,,,,,,,,
,Dawnbreaker,1st,both,V>C,33%,,,,221135
,,,,,,,,,
"Chest (Mage, Hc)",3 available in Hc,,Hc,,32%,,,,
,Priory,2nd,Hc,V>C,100%,,,,221126
,,,,,,,,,
,City of Threads,2nd,both,C>H,25%,,,,221176
,Stonevault,Last,both,V>H,50%,,,,221095
,,,,,,,,,
"Wrists (Mage, Hc)",3 available in Hc,,Hc,,21%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
,Darkflame Cleft,2nd,Hc,M>C,33%,,,,221104
,Rookery,1st,Hc,C>V,33%,,,,221037
,,,,,,,,,
,City of Threads,3rd,both,H>C,50%,,,,221182
,,,,,,,,,
"Hands (Mage, Hc)",3 available in Hc,,Hc,,21%,,,,
,Cinderbrew,3rd,Hc,H>M,33%,,,,221067
,Darkflame Cleft,3rd,Hc,C>H,50%,,,,221108
,,,,,,,,,
,City of Threads,1st,both,C>V,33%,,,,221170
,,,,,,,,,
"Waist (Mage, Hc)",3 available in Hc,,Hc,,23%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
,Priory,1st,Hc,M>C,50%,,,,221121
,,,,,,,,,
,Ara-Kara,2nd,both,C>H,50%,,,,221158
,Stonevault,3rd,both,V>M,25%,,,,221087
,,,,,,,,,
"Legs (Mage, Hc)",3 available in Hc,,Hc,,21%,,,,
,Rookery,Last,Hc,H>C,33%,,,,221050
,,,,,,,,,
,Ara-Kara,Last,both,H>C,33%,,,,221164
,Stonevault,1st,both,M>C,50%,,,,221076
,,,,,,,,,
"Feet (Mage, Hc)",2 available in Hc,,Hc,,28%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
,Rookery,2nd,Hc,C>H,50%,,,,221043
,,,,,,,,,
,Stonevault,2nd,both,H>V,100%,,,,221082
,,,,,,,,,
"Neck (Mage, Hc)",5 available in Hc,,Hc,,34%,,,,
,Cinderbrew,2nd,Hc,H>M,33%,,,,221060
,Darkflame Cleft,2nd,Hc,C>V,33%,,,,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,,,221181
,Dawnbreaker,Last,both,C>H,33%,,,,212448
,Stonevault,1st,both,M>H,50%,,,,221077
,,,,,,,,,
"Back (Mage, Hc)",5 available in Hc,,Hc,,43%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Mage,MageArcane,MageFire,MageFrost,ID
,Cinderbrew,1st,Hc,C>M,100%,,,,221054
,Darkflame Cleft,3rd,Hc,V>C,50%,,,,221109
,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,,,221154
,Dawnbreaker,Last,both,C>H,33%,,,,225574
,Stonevault,3rd,both,M>H,25%,,,,221088
,,,,,,,,,
"Ring (Mage, Hc)",7 available in Hc,,Hc,,42%,,,,
