item_id,release,from,boss,gear_slot,gear_type,stats,MageFrost
0,Hc,Head (Mage),4 sources,Head,1st/2nd week,,27%
221055,Hc,Cinderbrew,2nd boss,Head,Cloth,M>V,33%
221131,Hc,Priory,Last boss,Head,Cloth,M>V,50%
221187,Hc+M0,City of Threads,Last boss,Head,Cloth,M>C,33%
212440,Hc+M0,Dawnbreaker,Last boss,Head,Cloth,H>C,33%
0,Hc,Shoulders (Mage),3 sources,Shoulder,1st/2nd week,,21%
221072,Hc,Cinderbrew,Last boss,Shoulder,Cloth,C>M,33%
221115,Hc,Darkflame Cleft,Last boss,Shoulder,Cloth,V>M,50%
221135,Hc+M0,Dawnbreaker,1st boss,Shoulder,Cloth,V>C,33%
0,Hc,Chest (Mage),3 sources,Chest,1st/2nd week,,32%
221126,Hc,Priory,2nd boss,Chest,Cloth,V>C,100%
221176,Hc+M0,City of Threads,2nd boss,Chest,Cloth,C>H,25%
221095,Hc+M0,Stonevault,Last boss,Chest,Cloth,V>H,50%
0,Hc,Wrists (Mage),3 sources,Wrist,1st/2nd week,,21%
221104,Hc,Darkflame Cleft,2nd boss,Wrist,Cloth,M>C,33%
221037,Hc,Rookery,1st boss,Wrist,Cloth,C>V,33%
221182,Hc+M0,City of Threads,3rd boss,Wrist,Cloth,H>C,50%
0,Hc,Hands (Mage),3 sources,Hands,1st/2nd week,,21%
221067,Hc,Cinderbrew,3rd boss,Hands,Cloth,H>M,33%
221108,Hc,Darkflame Cleft,3rd boss,Hands,Cloth,C>H,50%
221170,Hc+M0,City of Threads,1st boss,Hands,Cloth,C>V,33%
0,Hc,Waist (Mage),3 sources,Waist,1st/2nd week,,23%
221121,Hc,Priory,1st boss,Waist,Cloth,M>C,50%
221158,Hc+M0,Ara-Kara,2nd boss,Waist,Cloth,C>H,50%
221087,Hc+M0,Stonevault,3rd boss,Waist,Cloth,V>M,25%
0,Hc,Legs (Mage),3 sources,Legs,1st/2nd week,,21%
221050,Hc,Rookery,Last boss,Legs,Cloth,H>C,33%
221164,Hc+M0,Ara-Kara,Last boss,Legs,Cloth,H>C,33%
221076,Hc+M0,Stonevault,1st boss,Legs,Cloth,M>C,50%
0,Hc,Feet (Mage),2 sources,Feet,1st/2nd week,,28%
221043,Hc,Rookery,2nd boss,Feet,Cloth,C>H,50%
221082,Hc+M0,Stonevault,2nd boss,Feet,Cloth,H>V,100%
221060,Hc,Cinderbrew,2nd boss,Neck,,,33%
221103,Hc,Darkflame Cleft,2nd boss,Neck,,,33%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,50%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,33%
221077,Hc+M0,Stonevault,1st boss,Neck,,,50%
0,Hc,Neck (Mage),5 sources,Neck,1st/2nd week,,34%
221054,Hc,Cinderbrew,1st boss,Back,,C>M,100%
221109,Hc,Darkflame Cleft,3rd boss,Back,,V>C,50%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,50%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,33%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,25%
0,Hc,Back (Mage),5 sources,Back,1st/2nd week,,43%
221198,Hc,Cinderbrew,Last boss,Finger,,,33%
221099,Hc,Darkflame Cleft,1st boss,Finger,,,33%
