Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
"Head (Monk, Hc)",3 available in Hc,,Hc,,40%,33%,35%,,
,Priory,2nd,Hc,C>M,100%,50%,50%,,221125
,,,,,,,,,
,Ara-Kara,Last,both,M>V,50%,33%,,33%,221163
,Stonevault,2nd,both,C>H,100%,,,,221081
,,,,,,,,,
"Shoulders (Monk, Hc)",3 available in Hc,,Hc,,40%,,35%,24%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
,Cinderbrew,3rd,Hc,H>V,100%,,,50%,221201
,,,,,,,,,
,City of Threads,2nd,both,V>C,100%,,50%,50%,221175
,Stonevault,Last,both,C>V,50%,33%,,33%,221094
,,,,,,,,,
"Chest (Monk, Hc)",3 available in Hc,,Hc,,21%,,19%,,
,Priory,Last,Hc,V>H,33%,,,,221130
,Rookery,Last,Hc,M>V,33%,,,,221049
,,,,,,,,,
,City of Threads,Last,both,H>M,50%,,33%,,221188
,,,,,,,,,
"Wrists (Monk, Hc)",3 available in Hc,,Hc,,24%,16%,,20%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
,Cinderbrew,1st,Hc,M>H,50%,25%,,33%,221053
,,,,,,,,,
,Ara-Kara,2nd,both,C>M,50%,33%,,,221157
,Dawnbreaker,2nd,both,H>C,33%,25%,,25%,221142
,,,,,,,,,
"Hands (Monk, Hc)",3 available in Hc,,Hc,,27%,,21%,24%,
,Darkflame Cleft,2nd,Hc,H>M,50%,,33%,,221102
,Rookery,1st,Hc,M>C,50%,,,33%,221036
,,,,,,,,,
,City of Threads,3rd,both,H>C,50%,,33%,,221180
,,,,,,,,,
"Waist (Monk, Hc)",4 available in Hc,,Hc,,28%,,23%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
,Cinderbrew,2nd,Hc,V>H,33%,,,,221058
,Darkflame Cleft,3rd,Hc,C>M,50%,,25%,,221107
,,,,,,,,,
,Dawnbreaker,1st,both,C>M,50%,,33%,,221134
,Dawnbreaker,Last,both,H>C,33%,25%,,25%,225583
,,,,,,,,,
"Legs (Monk, Hc)",3 available in Hc,,Hc,,27%,,24%,,
,Darkflame Cleft,Last,Hc,H>C,50%,,,,221114
,Rookery,2nd,Hc,V>C,50%,,,,221042
,,,,,,,,,
,Ara-Kara,1st,both,M>C,50%,,33%,,221153
,,,,,,,,,
"Feet (Monk, Hc)",3 available in Hc,,Hc,,24%,,21%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
,Cinderbrew,Last,Hc,M>H,50%,,33%,,221071
,Priory,1st,Hc,H>M,50%,33%,,33%,221120
,,,,,,,,,
,City of Threads,1st,both,M>C,50%,,33%,,221169
,,,,,,,,,
"Neck (Monk, Hc)",5 available in Hc,,Hc,,39%,33%,,35%,
,Cinderbrew,2nd,Hc,H>M,33%,,,,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,,33%,,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,33%,,221181
,Dawnbreaker,Last,both,C>H,33%,25%,,25%,212448
,Stonevault,1st,both,M>H,100%,33%,,50%,221077
,,,,,,,,,
"Back (Monk, Hc)",5 available in Hc,,Hc,,39%,,33%,35%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
,Cinderbrew,1st,Hc,C>M,50%,25%,,33%,221054
,Darkflame Cleft,3rd,Hc,V>C,50%,,25%,,221109
,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,33%,,,221154
,Dawnbreaker,Last,both,C>H,33%,25%,,25%,225574
,Stonevault,3rd,both,M>H,100%,,33%,50%,221088
,,,,,,,,,
"Ring (Monk, Hc)",7 available in Hc,,Hc,,52%,,40%,46%,
,Cinderbrew,Last,Hc,M>C,50%,,33%,,221198
,Darkflame Cleft,1st,Hc,H>V,100%,,50%,50%,221099
,Priory,Last,Hc,M>V,33%,,,,221200
,Rookery,Last,Hc,C>M,33%,,,,221197
,,,,,,,,,
,City of Threads,Last,both,V>H,50%,,33%,,221189
,Dawnbreaker,1st,both,C>H,50%,,33%,,221136
,Dawnbreaker,2nd,both,V>M,33%,25%,,25%,221141
,,,,,,,,,
"Agi1hWeapon (Monk, Hc)",5 available in Hc,,Hc,,29%,,0%,28%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
,Cinderbrew,1st,Hc,Agi,33%,25%,0%,,221051
,Priory,Last,Hc,Agi,33%,,0%,,221128
,Rookery,1st,Hc,Agi,50%,,0%,33%,221033
,,,,,,,,,
,Dawnbreaker,Last,both,Agi,25%,,0%,,212398
,Stonevault,Last,both,Agi,33%,,0%,,221090
,,,,,,,,,
"Int1hWeapon (Monk, Hc)",3 available in Hc,,Hc,,20%,0%,,0%,
,Darkflame Cleft,3rd,Hc,Int,25%,0%,,0%,221105
,Priory,2nd,Hc,Int,50%,0%,,0%,221122
,,,,,,,,,
,Ara-Kara,1st,both,Int,33%,0%,,0%,221150
,,,,,,,,,
"Agi2hWeapon (Monk, Hc)",5 available in Hc,,Hc,,30%,28%,0%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Monk,MonkBrew,MonkMw,MonkWw,ID
,Cinderbrew,2nd,Hc,Agi,33%,,0%,,221057
,Priory,1st,Hc,Agi,33%,,0%,,221116
,,,,,,,,,
,Ara-Kara,Last,both,Agi,33%,,0%,,221159
,Dawnbreaker,2nd,both,Agi,25%,,0%,,221137
,Stonevault,1st,both,Agi,50%,33%,0%,,221078
,,,,,,,,,
