item_id,release,from,boss,gear_slot,gear_type,stats,MonkMw
0,Hc,Head (Monk),3 sources,Head,1st/2nd week,,35%
221125,Hc,Priory,2nd boss,Head,Leather,C>M,50%
221163,Hc+M0,Ara-Kara,Last boss,Head,Leather,M>V,50%
221081,Hc+M0,Stonevault,2nd boss,Head,Leather,C>H,100%
0,Hc,Shoulders (Monk),3 sources,Shoulder,1st/2nd week,,35%
221201,Hc,Cinderbrew,3rd boss,Shoulder,Leather,H>V,100%
221175,Hc+M0,City of Threads,2nd boss,Shoulder,Leather,V>C,50%
221094,Hc+M0,Stonevault,Last boss,Shoulder,Leather,C>V,50%
0,Hc,Chest (Monk),3 sources,Chest,1st/2nd week,,19%
221130,Hc,Priory,Last boss,Chest,Leather,V>H,33%
221049,Hc,Rookery,Last boss,Chest,Leather,M>V,33%
221188,Hc+M0,City of Threads,Last boss,Chest,Leather,H>M,33%
0,Hc,Wrists (Monk),3 sources,Wrist,1st/2nd week,,24%
221053,Hc,Cinderbrew,1st boss,Wrist,Leather,M>H,50%
221157,Hc+M0,Ara-Kara,2nd boss,Wrist,Leather,C>M,50%
221142,Hc+M0,Dawnbreaker,2nd boss,Wrist,Leather,H>C,33%
0,Hc,Hands (Monk),3 sources,Hands,1st/2nd week,,21%
221102,Hc,Darkflame Cleft,2nd boss,Hands,Leather,H>M,33%
221036,Hc,Rookery,1st boss,Hands,Leather,M>C,50%
221180,Hc+M0,City of Threads,3rd boss,Hands,Leather,H>C,33%
0,Hc,Waist (Monk),4 sources,Waist,1st/2nd week,,23%
221058,Hc,Cinderbrew,2nd boss,Waist,Leather,V>H,33%
221107,Hc,Darkflame Cleft,3rd boss,Waist,Leather,C>M,25%
221134,Hc+M0,Dawnbreaker,1st boss,Waist,Leather,C>M,33%
225583,Hc+M0,Dawnbreaker,Last boss,Waist,Leather,H>C,33%
0,Hc,Legs (Monk),3 sources,Legs,1st/2nd week,,24%
221114,Hc,Darkflame Cleft,Last boss,Legs,Leather,H>C,50%
221042,Hc,Rookery,2nd boss,Legs,Leather,V>C,50%
221153,Hc+M0,Ara-Kara,1st boss,Legs,Leather,M>C,33%
0,Hc,Feet (Monk),3 sources,Feet,1st/2nd week,,21%
221071,Hc,Cinderbrew,Last boss,Feet,Leather,M>H,33%
221120,Hc,Priory,1st boss,Feet,Leather,H>M,50%
221169,Hc+M0,City of Threads,1st boss,Feet,Leather,M>C,33%
221060,Hc,Cinderbrew,2nd boss,Neck,,,33%
221103,Hc,Darkflame Cleft,2nd boss,Neck,,,33%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,33%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,33%
221077,Hc+M0,Stonevault,1st boss,Neck,,,100%
0,Hc,Neck (Monk),5 sources,Neck,1st/2nd week,,39%
221054,Hc,Cinderbrew,1st boss,Back,,C>M,50%
221109,Hc,Darkflame Cleft,3rd boss,Back,,V>C,25%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,50%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,33%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,33%
0,Hc,Back (Monk),5 sources,Back,1st/2nd week,,33%
221198,Hc,Cinderbrew,Last boss,Finger,,,33%
