item_id,release,from,boss,gear_slot,gear_type,stats,MonkWw
0,Hc,Head (Monk),3 sources,Head,1st/2nd week,,40%
221125,Hc,Priory,2nd boss,Head,Leather,C>M,100%
221163,Hc+M0,Ara-Kara,Last boss,Head,Leather,M>V,33%
221081,Hc+M0,Stonevault,2nd boss,Head,Leather,C>H,100%
0,Hc,Shoulders (Monk),3 sources,Shoulder,1st/2nd week,,24%
221201,Hc,Cinderbrew,3rd boss,Shoulder,Leather,H>V,50%
221175,Hc+M0,City of Threads,2nd boss,Shoulder,Leather,V>C,50%
221094,Hc+M0,Stonevault,Last boss,Shoulder,Leather,C>V,33%
0,Hc,Chest (Monk),3 sources,Chest,1st/2nd week,,21%
221130,Hc,Priory,Last boss,Chest,Leather,V>H,33%
221049,Hc,Rookery,Last boss,Chest,Leather,M>V,33%
221188,Hc+M0,City of Threads,Last boss,Chest,Leather,H>M,50%
0,Hc,Wrists (Monk),3 sources,Wrist,1st/2nd week,,20%
221053,Hc,Cinderbrew,1st boss,Wrist,Leather,M>H,33%
221157,Hc+M0,Ara-Kara,2nd boss,Wrist,Leather,C>M,50%
221142,Hc+M0,Dawnbreaker,2nd boss,Wrist,Leather,H>C,25%
0,Hc,Hands (Monk),3 sources,Hands,1st/2nd week,,24%
221102,Hc,Darkflame Cleft,2nd boss,Hands,Leather,H>M,50%
221036,Hc,Rookery,1st boss,Hands,Leather,M>C,33%
221180,Hc+M0,City of Threads,3rd boss,Hands,Leather,H>C,50%
0,Hc,Waist (Monk),4 sources,Waist,1st/2nd week,,28%
221058,Hc,Cinderbrew,2nd boss,Waist,Leather,V>H,33%
221107,Hc,Darkflame Cleft,3rd boss,Waist,Leather,C>M,50%
221134,Hc+M0,Dawnbreaker,1st boss,Waist,Leather,C>M,50%
225583,Hc+M0,Dawnbreaker,Last boss,Waist,Leather,H>C,25%
0,Hc,Legs (Monk),3 sources,Legs,1st/2nd week,,27%
