Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
"Head (Paladin, Hc)",2 available in Hc,,Hc,,16%,13%,15%,,
,Darkflame Cleft,2nd,Hc,H>V,50%,33%,,,221100
,Rookery,Last,Hc,V>H,33%,,25%,,221047
"Shoulders (Paladin, Hc)",4 available in Hc,,Hc,,29%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
,Cinderbrew,1st,Hc,V>M,50%,,33%,,221052
,Priory,Last,Hc,C>V,50%,33%,,33%,221203
,,,,,,,,,
,Ara-Kara,2nd,both,V>M,50%,,33%,,221155
,City of Threads,Last,both,C>H,50%,33%,,33%,221185
,,,,,,,,,
"Chest (Paladin, Hc)",3 available in Hc,,Hc,,35%,21%,33%,,
,Cinderbrew,Last,Hc,H>C,50%,33%,33%,,221069
,,,,,,,,,
,Ara-Kara,Last,both,V>H,100%,50%,,,221161
,Dawnbreaker,2nd,both,C>V,50%,33%,,,221139
,,,,,,,,,
"Wrists (Paladin, Hc)",4 available in Hc,,Hc,,37%,,36%,28%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
,Cinderbrew,3rd,Hc,C>H,100%,,,33%,221064
,Priory,1st,Hc,C>H,50%,33%,33%,,221118
,,,,,,,,,
,City of Threads,1st,both,H>V,50%,,,,221167
,Dawnbreaker,Last,both,C>H,33%,,25%,25%,212437
,,,,,,,,,
"Hands (Paladin, Hc)",3 available in Hc,,Hc,,27%,21%,,21%,
,Darkflame Cleft,Last,Hc,V>H,50%,,,33%,221112
,,,,,,,,,
,Ara-Kara,1st,both,H>V,50%,33%,,,221151
,Stonevault,3rd,both,H>C,50%,33%,,33%,221086
,,,,,,,,,
"Waist (Paladin, Hc)",3 available in Hc,,Hc,,21%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
,Rookery,2nd,Hc,M>H,33%,,,,221040
,,,,,,,,,
,Dawnbreaker,1st,both,M>H,33%,,,,221133
,Stonevault,2nd,both,C>M,50%,,,,221079
,,,,,,,,,
"Legs (Paladin, Hc)",3 available in Hc,,Hc,,40%,35%,,27%,
,Rookery,1st,Hc,H>V,100%,,,50%,221034
,,,,,,,,,
,City of Threads,2nd,both,M>H,100%,50%,,50%,221173
,Stonevault,Last,both,M>C,50%,,33%,,221092
,,,,,,,,,
"Feet (Paladin, Hc)",3 available in Hc,,Hc,,35%,20%,24%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
,Cinderbrew,2nd,Hc,M>C,50%,33%,,,221061
,Priory,2nd,Hc,V>M,100%,50%,50%,,221123
,,,,,,,,,
,City of Threads,3rd,both,V>H,50%,25%,33%,,221178
,,,,,,,,,
"Neck (Paladin, Hc)",5 available in Hc,,Hc,,45%,30%,33%,,
,Cinderbrew,2nd,Hc,H>M,50%,33%,,,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,33%,,,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,25%,33%,,221181
,Dawnbreaker,Last,both,C>H,33%,,25%,25%,212448
,Stonevault,1st,both,M>H,100%,50%,33%,,221077
,,,,,,,,,
"Back (Paladin, Hc)",5 available in Hc,,Hc,,43%,34%,40%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
,Cinderbrew,1st,Hc,C>M,50%,,33%,,221054
,Darkflame Cleft,3rd,Hc,V>C,100%,33%,,,221109
,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,33%,,221154
,Dawnbreaker,Last,both,C>H,33%,,25%,25%,225574
,Stonevault,3rd,both,M>H,50%,33%,,33%,221088
,,,,,,,,,
"Ring (Paladin, Hc)",7 available in Hc,,Hc,,46%,40%,,45%,
,Cinderbrew,Last,Hc,M>C,50%,33%,33%,,221198
,Darkflame Cleft,1st,Hc,H>V,50%,,,,221099
,Priory,Last,Hc,M>V,50%,33%,,33%,221200
,Rookery,Last,Hc,C>M,33%,,25%,,221197
,,,,,,,,,
,City of Threads,Last,both,V>H,50%,33%,,33%,221189
,Dawnbreaker,1st,both,C>H,33%,,,,221136
,Dawnbreaker,2nd,both,V>M,50%,33%,,,221141
,,,,,,,,,
"Str1hWeapon (Paladin, Hc)",4 available in Hc,,Hc,,25%,0%,,0%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
,Cinderbrew,Last,Hc,Str,33%,0%,,0%,221068
,Darkflame Cleft,1st,Hc,Str,50%,0%,,0%,221096
,Rookery,Last,Hc,Str,25%,0%,,0%,221046
,,,,,,,,,
,Stonevault,Last,both,Str,33%,0%,,0%,221091
,,,,,,,,,
"Int1hWeapon (Paladin, Hc)",3 available in Hc,,Hc,,21%,,0%,0%,
,Darkflame Cleft,3rd,Hc,Int,33%,,0%,0%,221105
,Priory,2nd,Hc,Int,50%,,0%,0%,221122
,,,,,,,,,
,Ara-Kara,1st,both,Int,33%,,0%,0%,221150
,,,,,,,,,
"Str2hWeapon (Paladin, Hc)",5 available in Hc,,Hc,,29%,0%,0%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Paladin,PaladinHoly,PaladinProt,PaladinRet,ID
,Cinderbrew,3rd,Hc,Str,33%,0%,0%,,221063
,Darkflame Cleft,Last,Hc,Str,33%,0%,0%,,221111
,Priory,Last,Hc,Str,33%,0%,0%,,221127
