Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
"Head (Rogue, Hc)",3 available in Hc,,Hc,,42%,,,,
,Priory,2nd,Hc,C>M,100%,,,,221125
,,,,,,,,,
,Ara-Kara,Last,both,M>V,50%,,,,221163
,Stonevault,2nd,both,C>H,100%,,,,221081
,,,,,,,,,
"Shoulders (Rogue, Hc)",3 available in Hc,,Hc,,27%,,24%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
,Cinderbrew,3rd,Hc,H>V,50%,,,,221201
,,,,,,,,,
,City of Threads,2nd,both,V>C,50%,,,,221175
,Stonevault,Last,both,C>V,50%,,33%,,221094
,,,,,,,,,
"Chest (Rogue, Hc)",3 available in Hc,,Hc,,21%,20%,,20%,
,Priory,Last,Hc,V>H,50%,,33%,,221130
,Rookery,Last,Hc,M>V,33%,25%,,25%,221049
,,,,,,,,,
,City of Threads,Last,both,H>M,50%,33%,,33%,221188
,,,,,,,,,
"Wrists (Rogue, Hc)",3 available in Hc,,Hc,,23%,,21%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
,Cinderbrew,1st,Hc,M>H,50%,,33%,,221053
,,,,,,,,,
,Ara-Kara,2nd,both,C>M,50%,,,,221157
,Dawnbreaker,2nd,both,H>C,33%,25%,,25%,221142
,,,,,,,,,
"Hands (Rogue, Hc)",3 available in Hc,,Hc,,27%,,24%,,
,Darkflame Cleft,2nd,Hc,H>M,50%,,,,221102
,Rookery,1st,Hc,M>C,50%,,33%,,221036
,,,,,,,,,
,City of Threads,3rd,both,H>C,50%,,,,221180
,,,,,,,,,
"Waist (Rogue, Hc)",4 available in Hc,,Hc,,32%,,31%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
,Cinderbrew,2nd,Hc,V>H,50%,,,,221058
,Darkflame Cleft,3rd,Hc,C>M,50%,,,,221107
,,,,,,,,,
,Dawnbreaker,1st,both,C>M,50%,,,,221134
,Dawnbreaker,Last,both,H>C,33%,,25%,,225583
,,,,,,,,,
"Legs (Rogue, Hc)",3 available in Hc,,Hc,,27%,24%,,24%,
,Darkflame Cleft,Last,Hc,H>C,50%,33%,,33%,221114
,Rookery,2nd,Hc,V>C,50%,,,,221042
,,,,,,,,,
,Ara-Kara,1st,both,M>C,50%,,,,221153
,,,,,,,,,
"Feet (Rogue, Hc)",3 available in Hc,,Hc,,27%,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
,Cinderbrew,Last,Hc,M>H,50%,,,,221071
,Priory,1st,Hc,H>M,50%,,,,221120
,,,,,,,,,
,City of Threads,1st,both,M>C,50%,,,,221169
,,,,,,,,,
"Neck (Rogue, Hc)",5 available in Hc,,Hc,,46%,,45%,,
,Cinderbrew,2nd,Hc,H>M,50%,,,,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,,,,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,,,,221181
,Dawnbreaker,Last,both,C>H,33%,,25%,,212448
,Stonevault,1st,both,M>H,100%,,,,221077
,,,,,,,,,
"Back (Rogue, Hc)",5 available in Hc,,Hc,,39%,,35%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
,Cinderbrew,1st,Hc,C>M,50%,,33%,,221054
,Darkflame Cleft,3rd,Hc,V>C,50%,,,,221109
,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,,,221154
,Dawnbreaker,Last,both,C>H,33%,,25%,,225574
,Stonevault,3rd,both,M>H,50%,,,,221088
,,,,,,,,,
"Ring (Rogue, Hc)",7 available in Hc,,Hc,,47%,45%,,45%,
,Cinderbrew,Last,Hc,M>C,50%,,,,221198
,Darkflame Cleft,1st,Hc,H>V,50%,,,,221099
,Priory,Last,Hc,M>V,50%,,33%,,221200
,Rookery,Last,Hc,C>M,33%,25%,,25%,221197
,,,,,,,,,
,City of Threads,Last,both,V>H,50%,33%,,33%,221189
,Dawnbreaker,1st,both,C>H,50%,,,,221136
,Dawnbreaker,2nd,both,V>M,33%,25%,,25%,221141
,,,,,,,,,
"Agi1hWeapon (Rogue, Hc)",5 available in Hc,,Hc,,28%,21%,,21%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Rogue,RogueSin,RogueOutlaw,RogueSub,ID
