item_id,release,from,boss,gear_slot,gear_type,stats,RogueSub
0,Hc,Head (Rogue),3 sources,Head,1st/2nd week,,42%
221125,Hc,Priory,2nd boss,Head,Leather,C>M,100%
221163,Hc+M0,Ara-Kara,Last boss,Head,Leather,M>V,50%
221081,Hc+M0,Stonevault,2nd boss,Head,Leather,C>H,100%
0,Hc,Shoulders (Rogue),3 sources,Shoulder,1st/2nd week,,27%
221201,Hc,Cinderbrew,3rd boss,Shoulder,Leather,H>V,50%
221175,Hc+M0,City of Threads,2nd boss,Shoulder,Leather,V>C,50%
221094,Hc+M0,Stonevault,Last boss,Shoulder,Leather,C>V,50%
0,Hc,Chest (Rogue),3 sources,Chest,1st/2nd week,,20%
221130,Hc,Priory,Last boss,Chest,Leather,V>H,50%
221049,Hc,Rookery,Last boss,Chest,Leather,M>V,25%
221188,Hc+M0,City of Threads,Last boss,Chest,Leather,H>M,33%
0,Hc,Wrists (Rogue),3 sources,Wrist,1st/2nd week,,23%
221053,Hc,Cinderbrew,1st boss,Wrist,Leather,M>H,50%
221157,Hc+M0,Ara-Kara,2nd boss,Wrist,Leather,C>M,50%
221142,Hc+M0,Dawnbreaker,2nd boss,Wrist,Leather,H>C,25%
0,Hc,Hands (Rogue),3 sources,Hands,1st/2nd week,,27%
221102,Hc,Darkflame Cleft,2nd boss,Hands,Leather,H>M,50%
221036,Hc,Rookery,1st boss,Hands,Leather,M>C,50%
221180,Hc+M0,City of Threads,3rd boss,Hands,Leather,H>C,50%
0,Hc,Waist (Rogue),4 sources,Waist,1st/2nd week,,32%
221058,Hc,Cinderbrew,2nd boss,Waist,Leather,V>H,50%
221107,Hc,Darkflame Cleft,3rd boss,Waist,Leather,C>M,50%
221134,Hc+M0,Dawnbreaker,1st boss,Waist,Leather,C>M,50%
225583,Hc+M0,Dawnbreaker,Last boss,Waist,Leather,H>C,33%
0,Hc,Legs (Rogue),3 sources,Legs,1st/2nd week,,24%
221114,Hc,Darkflame Cleft,Last boss,Legs,Leather,H>C,33%
221042,Hc,Rookery,2nd boss,Legs,Leather,V>C,50%
221153,Hc+M0,Ara-Kara,1st boss,Legs,Leather,M>C,50%
0,Hc,Feet (Rogue),3 sources,Feet,1st/2nd week,,27%
221071,Hc,Cinderbrew,Last boss,Feet,Leather,M>H,50%
221120,Hc,Priory,1st boss,Feet,Leather,H>M,50%
221169,Hc+M0,City of Threads,1st boss,Feet,Leather,M>C,50%
221060,Hc,Cinderbrew,2nd boss,Neck,,,50%
221103,Hc,Darkflame Cleft,2nd boss,Neck,,,50%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,50%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,33%
221077,Hc+M0,Stonevault,1st boss,Neck,,,100%
0,Hc,Neck (Rogue),5 sources,Neck,1st/2nd week,,46%
221054,Hc,Cinderbrew,1st boss,Back,,C>M,50%
221109,Hc,Darkflame Cleft,3rd boss,Back,,V>C,50%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,50%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,33%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,50%
0,Hc,Back (Rogue),5 sources,Back,1st/2nd week,,39%
221198,Hc,Cinderbrew,Last boss,Finger,,,50%
221099,Hc,Darkflame Cleft,1st boss,Finger,,,50%
221200,Hc,Priory,Last boss,Finger,,,50%
221197,Hc,Rookery,Last boss,Finger,,,25%
221189,Hc+M0,City of Threads,Last boss,Finger,,,33%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,50%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,25%
0,Hc,Ring (Rogue),7 sources,Finger,1st/2nd week,,45%
0,Hc,Agi1hWeapon (Rogue),5 sources,One-Hand,1st/2nd week,,21%
221110,Hc,Darkflame Cleft,Last boss,One-Hand,Dagger,Agi,33%
221044,Hc,Rookery,Last boss,One-Hand,Dagger,Agi,25%
221183,Hc+M0,City of Threads,Last boss,One-Hand,Dagger,Agi,33%
221138,Hc+M0,Dawnbreaker,2nd boss,One-Hand,Dagger,Agi,25%
0,Hc,AnyroleTrinket (Rogue),9 sources,Trinket,1st/2nd week,,55%
0,Hc,DpsTrinket (Rogue),5 sources,Trinket,1st/2nd week,,41%
219307,Hc,Darkflame Cleft,Last boss,Trinket,Anyrole Trinket,,33%
219308,Hc,Priory,1st boss,Trinket,Anyrole Trinket,All3,50%
219295,Hc,Rookery,2nd boss,Trinket,Anyrole Trinket,All3,50%
219296,Hc,Rookery,Last boss,Trinket,Anyrole Trinket,,25%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",50%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,50%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",25%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,50%
219298,Hc,Cinderbrew,3rd boss,Trinket,Dps Trinket,"Agi,Str",50%
219304,Hc,Darkflame Cleft,1st boss,Trinket,Dps Trinket,Agi,50%
219294,Hc,Rookery,1st boss,Trinket,Dps Trinket,Agi,50%
219319,Hc+M0,City of Threads,2nd boss,Trinket,Dps Trinket,Agi,50%
219301,Hc+M0,Stonevault,3rd boss,Trinket,Dps Trinket,,50%
