Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
"Head (Shaman, Hc)",3 available in Hc,,Hc,,27%,24%,,24%,
,Cinderbrew,Last,Hc,V>M,50%,33%,,33%,221070
,Darkflame Cleft,Last,Hc,M>V,50%,,,,221113
,,,,,,,,,
,Ara-Kara,2nd,both,M>H,50%,,,,221156
,,,,,,,,,
"Shoulders (Shaman, Hc)",3 available in Hc,,Hc,,17%,16%,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Darkflame Cleft,1st,Hc,V>H,33%,25%,,,221098
,Rookery,Last,Hc,M>V,33%,,,,221048
,,,,,,,,,
,Dawnbreaker,2nd,both,M>V,25%,,,,221140
,,,,,,,,,
"Chest (Shaman, Hc)",2 available in Hc,,Hc,,19%,13%,,11%,
,Rookery,2nd,Hc,C>M,50%,33%,,33%,221041
,,,,,,,,,
,City of Threads,3rd,both,M>V,50%,33%,,25%,221179
,,,,,,,,,
"Wrists (Shaman, Hc)",3 available in Hc,,Hc,,35%,20%,,21%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Cinderbrew,2nd,Hc,C>V,50%,33%,,33%,221059
,Priory,2nd,Hc,M>H,100%,50%,,50%,221124
,,,,,,,,,
,City of Threads,2nd,both,C>M,50%,25%,,33%,221174
,,,,,,,,,
"Hands (Shaman, Hc)",3 available in Hc,,Hc,,35%,21%,,21%,
,Priory,1st,Hc,H>V,50%,33%,,33%,221119
,,,,,,,,,
,Ara-Kara,Last,both,V>H,50%,33%,,33%,221162
,Stonevault,2nd,both,V>C,100%,50%,,50%,221080
,,,,,,,,,
"Waist (Shaman, Hc)",3 available in Hc,,Hc,,27%,19%,,19%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Darkflame Cleft,2nd,Hc,H>V,50%,33%,,33%,221101
,,,,,,,,,
,City of Threads,1st,both,H>M,50%,33%,,33%,221168
,Stonevault,1st,both,H>M,50%,33%,,33%,221075
,,,,,,,,,
"Legs (Shaman, Hc)",3 available in Hc,,Hc,,24%,21%,,21%,
,Cinderbrew,3rd,Hc,C>H,50%,33%,,,221065
,Priory,Last,Hc,C>V,50%,,33%,33%,221129
,,,,,,,,,
,City of Threads,Last,both,H>V,50%,33%,,33%,221186
,,,,,,,,,
"Feet (Shaman, Hc)",5 available in Hc,,Hc,,32%,30%,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Darkflame Cleft,3rd,Hc,M>H,50%,33%,,25%,221106
,Rookery,1st,Hc,H>M,50%,33%,33%,,221035
,,,,,,,,,
,Ara-Kara,1st,both,H>M,50%,,,,221152
,Dawnbreaker,2nd,both,V>H,25%,,,,221202
,Dawnbreaker,Last,both,C>H,33%,,25%,,225586
,,,,,,,,,
"Neck (Shaman, Hc)",5 available in Hc,,Hc,,38%,29%,,28%,
,Cinderbrew,2nd,Hc,H>M,50%,33%,,33%,221060
,Darkflame Cleft,2nd,Hc,C>V,50%,33%,,33%,221103
,,,,,,,,,
,City of Threads,3rd,both,V>C,50%,33%,,25%,221181
,Dawnbreaker,Last,both,C>H,33%,,25%,,212448
,Stonevault,1st,both,M>H,50%,33%,,33%,221077
,,,,,,,,,
"Back (Shaman, Hc)",5 available in Hc,,Hc,,41%,,38%,40%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Cinderbrew,1st,Hc,C>M,100%,,50%,,221054
,Darkflame Cleft,3rd,Hc,V>C,50%,33%,,25%,221109
,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,,,221154
,Dawnbreaker,Last,both,C>H,33%,,25%,,225574
,Stonevault,3rd,both,M>H,50%,33%,,33%,221088
,,,,,,,,,
"Ring (Shaman, Hc)",7 available in Hc,,Hc,,50%,40%,,39%,
,Cinderbrew,Last,Hc,M>C,50%,33%,,33%,221198
,Darkflame Cleft,1st,Hc,H>V,33%,25%,,,221099
,Priory,Last,Hc,M>V,50%,,33%,33%,221200
,Rookery,Last,Hc,C>M,33%,,,,221197
,,,,,,,,,
,City of Threads,Last,both,V>H,50%,33%,,33%,221189
,Dawnbreaker,1st,both,C>H,100%,50%,,50%,221136
,Dawnbreaker,2nd,both,V>M,25%,,,,221141
,,,,,,,,,
"Agi1hWeapon (Shaman, Hc)",5 available in Hc,,Hc,,33%,0%,,0%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Cinderbrew,1st,Hc,Agi,50%,0%,,0%,221051
,Priory,Last,Hc,Agi,33%,0%,,0%,221128
,Rookery,1st,Hc,Agi,33%,0%,,0%,221033
,,,,,,,,,
,Dawnbreaker,Last,both,Agi,25%,0%,,0%,212398
,Stonevault,Last,both,Agi,50%,0%,,0%,221090
,,,,,,,,,
"Int1hWeapon (Shaman, Hc)",5 available in Hc,,Hc,,33%,30%,0%,,
,Cinderbrew,3rd,Hc,Int,50%,33%,0%,,221062
,Darkflame Cleft,3rd,Hc,Int,33%,,0%,25%,221105
,Priory,2nd,Hc,Int,50%,,0%,,221122
,,,,,,,,,
,Ara-Kara,Last,both,Int,33%,,0%,,221165
,City of Threads,2nd,both,Int,33%,25%,0%,,221171
,,,,,,,,,
"Int2hWeapon (Shaman, Hc)",4 available in Hc,,Hc,,29%,27%,0%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Rookery,1st,Hc,Int,50%,33%,0%,,221032
,,,,,,,,,
,City of Threads,1st,both,Int,33%,,0%,,221166
,Stonevault,2nd,both,Int,50%,,0%,,221083
,Stonevault,3rd,both,Int,33%,,0%,,221085
,,,,,,,,,
"Offhand (Shaman, Hc)",4 available in Hc,,Hc,,27%,24%,0%,,
,Cinderbrew,2nd,Hc,Int,33%,,0%,,221056
,Darkflame Cleft,1st,Hc,Int,33%,25%,0%,,221097
,,,,,,,,,
,City of Threads,2nd,both,Int,33%,25%,0%,,221172
,Dawnbreaker,1st,both,Int,50%,,0%,,221132
,,,,,,,,,
"Shield (Shaman, Hc)",4 available in Hc,,Hc,,24%,,0%,23%,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Priory,1st,Hc,"Str,Int",33%,,0%,,221117
,Rookery,2nd,Hc,"Str,Int",33%,,0%,,221045
,,,,,,,,,
,City of Threads,3rd,both,"Str,Int",33%,,0%,25%,221177
,Stonevault,1st,both,"Str,Int",33%,,0%,,221073
,,,,,,,,,
"DpsTrinket (Shaman, Hc)",5 available in Hc,,Hc,,36%,26%,,0%,
,Cinderbrew,3rd,Hc,"Dps,Agi,Str",50%,33%,,0%,219298
,Darkflame Cleft,1st,Hc,"Dps,Agi",33%,25%,,0%,219304
,Rookery,1st,Hc,"Dps,Agi",33%,,,0%,219294
,,,,,,,,,
,City of Threads,2nd,both,"Dps,Agi",50%,25%,,0%,219319
,Stonevault,3rd,both,"Dps,",50%,33%,,0%,219301
,,,,,,,,,
"HealTrinket (Shaman, Hc)",4 available in Hc,,Hc,,21%,0%,0%,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Darkflame Cleft,3rd,Hc,"Heal,Int",25%,0%,0%,,219306
,Priory,Last,Hc,"Heal,Int",33%,0%,0%,,219310
,,,,,,,,,
,City of Threads,3rd,both,"Heal,Int",25%,0%,0%,,219320
,Stonevault,3rd,both,"Heal,Int",33%,0%,0%,,219302
,,,,,,,,,
"AnyroleTrinket (Shaman, Hc)",12 available in Hc,,Hc,,64%,,58%,,
,Cinderbrew,Last,Hc,Int,33%,,0%,,219299
,Darkflame Cleft,2nd,Hc,Int,33%,,0%,,219305
,Darkflame Cleft,Last,Hc,,50%,,,,219307
,Priory,1st,Hc,All3,50%,33%,,33%,219308
,Rookery,2nd,Hc,All3,50%,33%,,33%,219295
,Rookery,Last,Hc,,33%,,,,219296
,,,,,,,,,
,Ara-Kara,1st,both,,50%,,,,219314
,Ara-Kara,Last,both,"Agi,Int",50%,33%,,33%,219317
,City of Threads,1st,both,,50%,33%,,33%,219318
,City of Threads,Last,both,Int,33%,,0%,,219321
,Dawnbreaker,2nd,both,"Agi,Int",25%,,,,219312
,Stonevault,Last,both,,100%,,50%,,219303
