item_id,release,from,boss,gear_slot,gear_type,stats,WarriorProt
0,Hc,Head (Warrior),2 sources,Head,1st/2nd week,,15%
221100,Hc,Darkflame Cleft,2nd boss,Head,Plate,H>V,50%
221047,Hc,Rookery,Last boss,Head,Plate,V>H,25%
0,Hc,Shoulders (Warrior),4 sources,Shoulder,1st/2nd week,,29%
221052,Hc,Cinderbrew,1st boss,Shoulder,Plate,V>M,33%
221203,Hc,Priory,Last boss,Shoulder,Plate,C>V,50%
221155,Hc+M0,Ara-Kara,2nd boss,Shoulder,Plate,V>M,33%
221185,Hc+M0,City of Threads,Last boss,Shoulder,Plate,C>H,50%
0,Hc,Chest (Warrior),3 sources,Chest,1st/2nd week,,33%
221069,Hc,Cinderbrew,Last boss,Chest,Plate,H>C,33%
221161,Hc+M0,Ara-Kara,Last boss,Chest,Plate,V>H,100%
221139,Hc+M0,Dawnbreaker,2nd boss,Chest,Plate,C>V,50%
0,Hc,Wrists (Warrior),4 sources,Wrist,1st/2nd week,,36%
221064,Hc,Cinderbrew,3rd boss,Wrist,Plate,C>H,100%
221118,Hc,Priory,1st boss,Wrist,Plate,C>H,33%
221167,Hc+M0,City of Threads,1st boss,Wrist,Plate,H>V,50%
212437,Hc+M0,Dawnbreaker,Last boss,Wrist,Plate,C>H,25%
0,Hc,Hands (Warrior),3 sources,Hands,1st/2nd week,,27%
221112,Hc,Darkflame Cleft,Last boss,Hands,Plate,V>H,50%
221151,Hc+M0,Ara-Kara,1st boss,Hands,Plate,H>V,50%
221086,Hc+M0,Stonevault,3rd boss,Hands,Plate,H>C,50%
0,Hc,Waist (Warrior),3 sources,Waist,1st/2nd week,,21%
221040,Hc,Rookery,2nd boss,Waist,Plate,M>H,33%
221133,Hc+M0,Dawnbreaker,1st boss,Waist,Plate,M>H,33%
221079,Hc+M0,Stonevault,2nd boss,Waist,Plate,C>M,50%
0,Hc,Legs (Warrior),3 sources,Legs,1st/2nd week,,40%
221034,Hc,Rookery,1st boss,Legs,Plate,H>V,100%
221173,Hc+M0,City of Threads,2nd boss,Legs,Plate,M>H,100%
221092,Hc+M0,Stonevault,Last boss,Legs,Plate,M>C,33%
0,Hc,Feet (Warrior),3 sources,Feet,1st/2nd week,,24%
221061,Hc,Cinderbrew,2nd boss,Feet,Plate,M>C,50%
221123,Hc,Priory,2nd boss,Feet,Plate,V>M,50%
221178,Hc+M0,City of Threads,3rd boss,Feet,Plate,V>H,33%
221060,Hc,Cinderbrew,2nd boss,Neck,,,50%
221103,Hc,Darkflame Cleft,2nd boss,Neck,,,50%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,33%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,25%
221077,Hc+M0,Stonevault,1st boss,Neck,,,33%
0,Hc,Neck (Warrior),5 sources,Neck,1st/2nd week,,33%
221054,Hc,Cinderbrew,1st boss,Back,,C>M,33%
221109,Hc,Darkflame Cleft,3rd boss,Back,,V>C,100%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,33%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,25%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,50%
0,Hc,Back (Warrior),5 sources,Back,1st/2nd week,,40%
221198,Hc,Cinderbrew,Last boss,Finger,,,33%
221099,Hc,Darkflame Cleft,1st boss,Finger,,,50%
221200,Hc,Priory,Last boss,Finger,,,50%
221197,Hc,Rookery,Last boss,Finger,,,25%
221189,Hc+M0,City of Threads,Last boss,Finger,,,50%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,33%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,50%
0,Hc,Ring (Warrior),7 sources,Finger,1st/2nd week,,46%
0,Hc,Str1hWeapon (Warrior),4 sources,One-Hand,1st/2nd week,,25%
221068,Hc,Cinderbrew,Last boss,One-Hand,Axe,Str,33%
221096,Hc,Darkflame Cleft,1st boss,One-Hand,Axe,Str,50%
221046,Hc,Rookery,Last boss,One-Hand,Mace,Str,25%
221091,Hc+M0,Stonevault,Last boss,One-Hand,Sword,Str,33%
0,Hc,Str2hWeapon (Warrior),5 sources,Two-Hand,1st/2nd week,,0%
0,Hc,Shield (Warrior),4 sources,Off Hand,1st/2nd week,,24%
221117,Hc,Priory,1st boss,Off Hand,Shield,"Str,Int",33%
221045,Hc,Rookery,2nd boss,Off Hand,Shield,"Str,Int",33%
221177,Hc+M0,City of Threads,3rd boss,Off Hand,Shield,"Str,Int",33%
221073,Hc+M0,Stonevault,1st boss,Off Hand,Shield,"Str,Int",33%
0,Hc,AnyroleTrinket (Warrior),10 sources,Trinket,1st/2nd week,,55%
0,Hc,DpsTrinket (Warrior),5 sources,Trinket,1st/2nd week,,0%
0,Hc,TankTrinket (Warrior),4 sources,Trinket,1st/2nd week,,27%
219307,Hc,Darkflame Cleft,Last boss,Trinket,Anyrole Trinket,,50%
219308,Hc,Priory,1st boss,Trinket,Anyrole Trinket,All3,33%
219295,Hc,Rookery,2nd boss,Trinket,Anyrole Trinket,All3,33%
219296,Hc,Rookery,Last boss,Trinket,Anyrole Trinket,,25%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,50%
219311,Hc+M0,Dawnbreaker,1st boss,Trinket,Anyrole Trinket,Str,33%
212453,Hc+M0,Dawnbreaker,Last boss,Trinket,Anyrole Trinket,Str,25%
219300,Hc+M0,Stonevault,2nd boss,Trinket,Anyrole Trinket,Str,50%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,33%
219297,Hc,Cinderbrew,1st boss,Trinket,Tank Trinket,,33%
219309,Hc,Priory,2nd boss,Trinket,Tank Trinket,,50%
219316,Hc+M0,Ara-Kara,2nd boss,Trinket,Tank Trinket,"Agi,Str",33%
219315,Hc+M0,Stonevault,1st boss,Trinket,Tank Trinket,"Agi,Str",33%
