item_id,from,boss,gear_slot,gear_type,stats,PaladinHoly,PaladinProt,PaladinRet
221100,Darkflame Cleft,2 of 4,Head,Plate,H>V,33%,50%,50%
221047,Rookery,3 of 3,Head,Plate,V>H,33%,25%,33%
221155,Ara-Kara,2 of 3,Shoulder,Plate,V>M,50%,33%,33%
221052,Cinderbrew,1 of 4,Shoulder,Plate,V>M,33%,33%,33%
221185,City of Threads,4 of 4,Shoulder,Plate,C>H,33%,50%,33%
221203,Priory,3 of 3,Shoulder,Plate,C>V,33%,50%,33%
221161,Ara-Kara,3 of 3,Chest,Plate,V>H,50%,100%,100%
221069,Cinderbrew,4 of 4,Chest,Plate,H>C,33%,33%,50%
221139,Dawnbreaker,2 of 3,Chest,Plate,C>V,33%,50%,50%
221064,Cinderbrew,3 of 4,Wrist,Plate,C>H,100%,50%,33%
221167,City of Threads,1 of 4,Wrist,Plate,H>V,50%,50%,50%
221118,Priory,1 of 3,Wrist,Plate,C>H,33%,33%,50%
221151,Ara-Kara,1 of 3,Hands,Plate,H>V,33%,50%,50%
221112,Darkflame Cleft,4 of 4,Hands,Plate,V>H,50%,50%,33%
221086,Stonevault,3 of 4,Hands,Plate,H>C,25%,33%,33%
221133,Dawnbreaker,1 of 3,Waist,Plate,M>H,33%,33%,33%
221040,Rookery,2 of 3,Waist,Plate,M>H,33%,33%,33%
221079,Stonevault,2 of 4,Waist,Plate,C>M,50%,50%,50%
221173,City of Threads,2 of 4,Legs,Plate,M>H,50%,100%,100%
221034,Rookery,1 of 3,Legs,Plate,H>V,100%,100%,100%
221092,Stonevault,4 of 4,Legs,Plate,M>C,50%,33%,50%
221061,Cinderbrew,2 of 4,Feet,Plate,M>C,33%,50%,50%
221178,City of Threads,3 of 4,Feet,Plate,V>H,25%,33%,50%
221123,Priory,2 of 3,Feet,Plate,V>M,33%,50%,50%
221060,Cinderbrew,2 of 4,Neck,,,33%,50%,50%
221181,City of Threads,3 of 4,Neck,,,25%,33%,50%
221103,Darkflame Cleft,2 of 4,Neck,,,33%,50%,50%
221154,Ara-Kara,2 of 3,Back,,V>C,50%,33%,33%
221054,Cinderbrew,1 of 4,Back,,C>M,33%,33%,33%
221109,Darkflame Cleft,3 of 4,Back,,V>C,33%,100%,100%
221088,Stonevault,3 of 4,Back,,M>H,25%,33%,33%
221198,Cinderbrew,4 of 4,Finger,,,33%,33%,50%
221189,City of Threads,4 of 4,Finger,,,33%,50%,33%
221099,Darkflame Cleft,1 of 4,Finger,,,50%,50%,100%
221200,Priory,3 of 3,Finger,,,33%,50%,33%
221136,Dawnbreaker,1 of 3,Finger,,,33%,33%,33%
221141,Dawnbreaker,2 of 3,Finger,,,33%,50%,50%
221197,Rookery,3 of 3,Finger,,,33%,25%,33%
221068,Cinderbrew,4 of 4,One-Hand,Axe,Str,0%,33%,0%
221096,Darkflame Cleft,1 of 4,One-Hand,Axe,Str,0%,50%,0%
221105,Darkflame Cleft,3 of 4,One-Hand,Axe,Int,33%,0%,0%
221122,Priory,2 of 3,One-Hand,Mace,Int,33%,0%,0%
221046,Rookery,3 of 3,One-Hand,Mace,Str,0%,25%,0%
221150,Ara-Kara,1 of 3,One-Hand,Sword,Int,33%,0%,0%
221091,Stonevault,4 of 4,One-Hand,Sword,Str,0%,33%,0%
221063,Cinderbrew,3 of 4,Two-Hand,Mace,Str,0%,0%,33%
221038,Rookery,2 of 3,Two-Hand,Mace,Str,0%,0%,33%
221083,Stonevault,2 of 4,Two-Hand,Mace,Int,50%,0%,0%
221184,City of Threads,4 of 4,Two-Hand,Polearm,Str,0%,0%,33%
221111,Darkflame Cleft,4 of 4,Two-Hand,Polearm,Str,0%,0%,33%
221127,Priory,3 of 3,Two-Hand,Sword,Str,0%,0%,33%
221056,Cinderbrew,2 of 4,Held In Off-hand,,Int,33%,0%,0%
221172,City of Threads,2 of 4,Held In Off-hand,,Int,50%,0%,0%
221097,Darkflame Cleft,1 of 4,Held In Off-hand,,Int,50%,0%,0%
221132,Dawnbreaker,1 of 3,Held In Off-hand,,Int,33%,0%,0%
221177,City of Threads,3 of 4,Off Hand,Shield,"Str,Int",25%,33%,0%
221117,Priory,1 of 3,Off Hand,Shield,"Str,Int",33%,33%,0%
221045,Rookery,2 of 3,Off Hand,Shield,"Str,Int",33%,33%,0%
219314,Ara-Kara,1 of 3,Trinket,,,33%,50%,50%
219316,Ara-Kara,2 of 3,Trinket,,"Agi,Str",0%,33%,33%
219317,Ara-Kara,3 of 3,Trinket,,"Agi,Int",50%,0%,0%
219297,Cinderbrew,1 of 4,Trinket,,,33%,33%,33%
219298,Cinderbrew,3 of 4,Trinket,,"Agi,Str",0%,50%,33%
219299,Cinderbrew,4 of 4,Trinket,,Int,33%,0%,0%
219318,City of Threads,1 of 4,Trinket,,,50%,50%,50%
219320,City of Threads,3 of 4,Trinket,,Int,25%,0%,0%
219321,City of Threads,4 of 4,Trinket,,Int,33%,0%,0%
219305,Darkflame Cleft,2 of 4,Trinket,,Int,33%,0%,0%
219306,Darkflame Cleft,3 of 4,Trinket,,Int,33%,0%,0%
219307,Darkflame Cleft,4 of 4,Trinket,,,50%,50%,33%
219308,Priory,1 of 3,Trinket,,All3,33%,33%,50%
219309,Priory,2 of 3,Trinket,,,33%,50%,50%
219310,Priory,3 of 3,Trinket,,Int,33%,0%,0%
219311,Dawnbreaker,1 of 3,Trinket,,Str,0%,33%,33%
219312,Dawnbreaker,2 of 3,Trinket,,"Agi,Int",33%,0%,0%
219295,Rookery,2 of 3,Trinket,,All3,33%,33%,33%
219296,Rookery,3 of 3,Trinket,,,33%,25%,33%
219300,Stonevault,2 of 4,Trinket,,Str,0%,50%,50%
219301,Stonevault,3 of 4,Trinket,,,25%,33%,33%
219302,Stonevault,3 of 4,Trinket,,Int,25%,0%,0%
219303,Stonevault,4 of 4,Trinket,,,50%,33%,50%
