Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
,Ara-Kara,Last,both,M>V,33%,,,221163
,Stonevault,2nd,both,C>H,50%,,,221081
,,,,,,,,
,Mists of Tirna,2nd,m0,H>M,33%,,,178691
,Siege of Boralus,Last,m0,V>M,33%,,,231824
"Head (Dh, m0)",4 available in m0,,m0,,27%,,,
,,,,,,,,
,City of Threads,2nd,both,V>C,100%,50%,,221175
,Stonevault,Last,both,C>V,33%,,,221094
,,,,,,,,
,Necrotic Wake,Last,m0,M>V,50%,,,178779
"Shoulders (Dh, m0)",3 available in m0,,m0,,33%,24%,,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
,City of Threads,Last,both,H>M,50%,,,221188
,,,,,,,,
,Grim Batol,1st,m0,M>H,33%,,,133284
,Grim Batol,Last,m0,M>C,25%,,,133297
,Mists of Tirna,1st,m0,H>C,100%,,,178698
,Necrotic Wake,3rd,m0,M>C,100%,50%,,178744
,Siege of Boralus,Last,m0,C>H,33%,,,231822
"Chest (Dh, m0)",6 available in m0,,m0,,52%,46%,,
,,,,,,,,
,Ara-Kara,2nd,both,C>M,50%,,33%,221157
,Dawnbreaker,2nd,both,H>C,33%,,,221142
,,,,,,,,
,Mists of Tirna,Last,m0,C>V,50%,,,178702
,Necrotic Wake,2nd,m0,H>V,50%,,,178741
"Wrists (Dh, m0)",4 available in m0,,m0,,32%,,29%,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
,City of Threads,3rd,both,H>C,50%,,,221180
,,,,,,,,
,Siege of Boralus,1st,m0,H>M,50%,,,159968
"Hands (Dh, m0)",2 available in m0,,m0,,19%,,,
,,,,,,,,
,Dawnbreaker,1st,both,C>M,50%,,,221134
,Dawnbreaker,Last,both,H>C,25%,,,225583
,,,,,,,,
,Grim Batol,2nd,m0,H>C,50%,,33%,133353
,Mists of Tirna,Last,m0,H>V,50%,,,178699
,Siege of Boralus,2nd,m0,H>C,33%,,,159309
"Waist (Dh, m0)",5 available in m0,,m0,,35%,,33%,
,,,,,,,,
,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dh,DhHavoc,DhVeng,ID
,Ara-Kara,1st,both,M>C,50%,,,221153
,,,,,,,,
