Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,ID
,Mists of Tirna,1st,m0,H>M,50%,,,,178694
,Necrotic Wake,Last,m0,V>H,33%,,,,178777
"Head (Dk, m0)",2 available in m0,,m0,,16%,,,,
,,,,,,,,,
,Ara-Kara,2nd,both,V>M,50%,33%,,,221155
,City of Threads,Last,both,C>H,33%,,,,221185
,,,,,,,,,
,Grim Batol,3rd,m0,M>H,33%,,,,133294
,Mists of Tirna,2nd,m0,M>V,33%,,,,178697
,Necrotic Wake,3rd,m0,C>V,50%,,33%,33%,178749
,Siege of Boralus,Last,m0,M>H,50%,,,,231830
"Shoulders (Dk, m0)",6 available in m0,,m0,,38%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,ID
,Ara-Kara,Last,both,V>H,100%,,,,221161
,Dawnbreaker,2nd,both,C>V,50%,,,,221139
,,,,,,,,,
,Siege of Boralus,Last,m0,M>H,50%,,,,231827
"Chest (Dk, m0)",3 available in m0,,m0,,35%,,,,
,,,,,,,,,
,City of Threads,1st,both,H>V,50%,,,,221167
,Dawnbreaker,Last,both,C>H,25%,,,,212437
,,,,,,,,,
,Grim Batol,1st,m0,M>H,50%,,,,133306
"Wrists (Dk, m0)",3 available in m0,,m0,,23%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,ID
,Ara-Kara,1st,both,H>V,50%,,,,221151
,Stonevault,3rd,both,H>C,50%,,33%,33%,221086
,,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,33%,,,,178706
,Siege of Boralus,2nd,m0,C>M,50%,,33%,,159429
"Hands (Dk, m0)",4 available in m0,,m0,,32%,,27%,29%,
,,,,,,,,,
,Dawnbreaker,1st,both,M>H,33%,,,,221133
,Stonevault,2nd,both,C>M,50%,,,,221079
,,,,,,,,,
,Grim Batol,2nd,m0,H>C,50%,33%,,,133289
,Necrotic Wake,1st,m0,M>V,50%,,33%,,178734
,Siege of Boralus,2nd,m0,C>V,50%,,33%,,159434
