item_id,release,from,boss,gear_slot,gear_type,stats,DkBlood
178694,M0,Mists of Tirna,1st boss,Head,Plate,H>M,50%
178777,M0,Necrotic Wake,Last boss,Head,Plate,V>H,33%
0,M0,Head (Dk),2 sources,Head,m0 week,,16%
221155,Hc+M0,Ara-Kara,2nd boss,Shoulder,Plate,V>M,33%
221185,Hc+M0,City of Threads,Last boss,Shoulder,Plate,C>H,33%
133294,M0,Grim Batol,3rd boss,Shoulder,Plate,M>H,33%
178697,M0,Mists of Tirna,2nd boss,Shoulder,Plate,M>V,33%
178749,M0,Necrotic Wake,3rd boss,Shoulder,Plate,C>V,50%
231830,M0,Siege of Boralus,Last boss,Shoulder,Plate,M>H,50%
0,M0,Shoulders (Dk),6 sources,Shoulder,m0 week,,38%
221161,Hc+M0,Ara-Kara,Last boss,Chest,Plate,V>H,100%
221139,Hc+M0,Dawnbreaker,2nd boss,Chest,Plate,C>V,50%
231827,M0,Siege of Boralus,Last boss,Chest,Plate,M>H,50%
0,M0,Chest (Dk),3 sources,Chest,m0 week,,35%
221167,Hc+M0,City of Threads,1st boss,Wrist,Plate,H>V,50%
212437,Hc+M0,Dawnbreaker,Last boss,Wrist,Plate,C>H,25%
133306,M0,Grim Batol,1st boss,Wrist,Plate,M>H,50%
0,M0,Wrists (Dk),3 sources,Wrist,m0 week,,23%
221151,Hc+M0,Ara-Kara,1st boss,Hands,Plate,H>V,50%
221086,Hc+M0,Stonevault,3rd boss,Hands,Plate,H>C,50%
178706,M0,Mists of Tirna,2nd boss,Hands,Plate,M>C,33%
159429,M0,Siege of Boralus,2nd boss,Hands,Plate,C>M,50%
0,M0,Hands (Dk),4 sources,Hands,m0 week,,32%
221133,Hc+M0,Dawnbreaker,1st boss,Waist,Plate,M>H,33%
221079,Hc+M0,Stonevault,2nd boss,Waist,Plate,C>M,50%
133289,M0,Grim Batol,2nd boss,Waist,Plate,H>C,33%
178734,M0,Necrotic Wake,1st boss,Waist,Plate,M>V,50%
159434,M0,Siege of Boralus,2nd boss,Waist,Plate,C>V,50%
0,M0,Waist (Dk),5 sources,Waist,m0 week,,36%
221173,Hc+M0,City of Threads,2nd boss,Legs,Plate,M>H,100%
221092,Hc+M0,Stonevault,Last boss,Legs,Plate,M>C,50%
178701,M0,Mists of Tirna,Last boss,Legs,Plate,M>H,100%
178739,M0,Necrotic Wake,2nd boss,Legs,Plate,C>M,100%
159427,M0,Siege of Boralus,1st boss,Legs,Plate,M>V,33%
0,M0,Legs (Dk),5 sources,Legs,m0 week,,57%
221178,Hc+M0,City of Threads,3rd boss,Feet,Plate,V>H,50%
159428,M0,Siege of Boralus,3rd boss,Feet,Plate,H>C,33%
0,M0,Feet (Dk),2 sources,Feet,m0 week,,16%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,50%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,25%
221077,Hc+M0,Stonevault,1st boss,Neck,,,50%
178707,M0,Mists of Tirna,2nd boss,Neck,,M>C,33%
0,M0,Neck (Dk),4 sources,Neck,m0 week,,28%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,33%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,25%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,50%
133292,M0,Grim Batol,3rd boss,Back,,V>C,33%
133363,M0,Grim Batol,3rd boss,Back,,M>C,33%
133309,M0,Grim Batol,Last boss,Back,,V>C,20%
0,M0,Back (Dk),6 sources,Back,m0 week,,33%
221189,Hc+M0,City of Threads,Last boss,Finger,,,33%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,33%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,50%
133286,M0,Grim Batol,1st boss,Finger,,M>C,50%
133287,M0,Grim Batol,2nd boss,Finger,,V>C,33%
133299,M0,Grim Batol,Last boss,Finger,,H>M,20%
178736,M0,Necrotic Wake,1st boss,Finger,,H>V,50%
178781,M0,Necrotic Wake,Last boss,Finger,,V>C,33%
162541,M0,Siege of Boralus,1st boss,Finger,,M>C,33%
159461,M0,Siege of Boralus,3rd boss,Finger,,C>H,33%
0,M0,Ring (Dk),10 sources,Finger,m0 week,,54%
0,M0,Str1hWeapon (Dk),5 sources,One-Hand,m0 week,,0%
178713,M0,Mists of Tirna,1st boss,Two-Hand,Axe,Str,50%
133298,M0,Grim Batol,Last boss,Two-Hand,Mace,Str,20%
159650,M0,Siege of Boralus,3rd boss,Two-Hand,Mace,Str,33%
221184,Hc+M0,City of Threads,Last boss,Two-Hand,Polearm,Str,33%
159972,M0,Siege of Boralus,1st boss,Two-Hand,Polearm,Str,33%
178780,M0,Necrotic Wake,Last boss,Two-Hand,Sword,Str,33%
0,M0,Str2hWeapon (Dk),6 sources,Two-Hand,m0 week,,34%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,50%
219311,Hc+M0,Dawnbreaker,1st boss,Trinket,Anyrole Trinket,Str,33%
212453,Hc+M0,Dawnbreaker,Last boss,Trinket,Anyrole Trinket,Str,25%
219300,Hc+M0,Stonevault,2nd boss,Trinket,Anyrole Trinket,Str,50%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,50%
133300,M0,Grim Batol,Last boss,Trinket,Anyrole Trinket,Str,20%
133305,M0,Grim Batol,Last boss,Trinket,Anyrole Trinket,,20%
178751,M0,Necrotic Wake,3rd boss,Trinket,Anyrole Trinket,Str,50%
219316,Hc+M0,Ara-Kara,2nd boss,Trinket,Tank Trinket,"Agi,Str",33%
219315,Hc+M0,Stonevault,1st boss,Trinket,Tank Trinket,"Agi,Str",50%
133291,M0,Grim Batol,2nd boss,Trinket,Tank Trinket,,33%
0,M0,AnyroleTrinket (Dk),9 sources,Trinket,m0 week,,52%
0,M0,DpsTrinket (Dk),4 sources,Trinket,m0 week,,0%
0,M0,TankTrinket (Dk),3 sources,Trinket,m0 week,,21%
