Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,Ara-Kara,Last,both,M>V,33%,,,,,221163
,Stonevault,2nd,both,C>H,100%,50%,,,50%,221081
,,,,,,,,,,
,Mists of Tirna,2nd,m0,H>M,50%,,33%,33%,,178691
,Siege of Boralus,Last,m0,V>M,50%,,,,,231824
"Head (Druid, m0)",4 available in m0,,m0,,37%,32%,,,32%,
,,,,,,,,,,
,City of Threads,2nd,both,V>C,100%,25%,50%,,33%,221175
,Stonevault,Last,both,C>V,50%,,,,,221094
,,,,,,,,,,
,Necrotic Wake,Last,m0,M>V,50%,,,,33%,178779
"Shoulders (Druid, m0)",3 available in m0,,m0,,35%,23%,27%,,21%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,City of Threads,Last,both,H>M,50%,33%,,,33%,221188
,,,,,,,,,,
,Grim Batol,1st,m0,M>H,33%,,,,,133284
,Grim Batol,Last,m0,M>C,25%,20%,,,20%,133297
,Mists of Tirna,1st,m0,H>C,100%,33%,,,33%,178698
,Necrotic Wake,3rd,m0,M>C,100%,50%,50%,,,178744
,Siege of Boralus,Last,m0,C>H,50%,,,,,231822
"Chest (Druid, m0)",6 available in m0,,m0,,54%,37%,48%,,44%,
,,,,,,,,,,
,Ara-Kara,2nd,both,C>M,50%,,,33%,,221157
,Dawnbreaker,2nd,both,H>C,33%,,25%,25%,,221142
,,,,,,,,,,
,Mists of Tirna,Last,m0,C>V,50%,33%,,,33%,178702
,Necrotic Wake,2nd,m0,H>V,100%,,50%,50%,,178741
"Wrists (Druid, m0)",4 available in m0,,m0,,37%,,31%,28%,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,City of Threads,3rd,both,H>C,50%,,,,33%,221180
,,,,,,,,,,
,Siege of Boralus,1st,m0,H>M,50%,,,,,159968
"Hands (Druid, m0)",2 available in m0,,m0,,19%,,,,16%,
,,,,,,,,,,
,Dawnbreaker,1st,both,C>M,50%,33%,,,33%,221134
,Dawnbreaker,Last,both,H>C,33%,,,,,225583
,,,,,,,,,,
,Grim Batol,2nd,m0,H>C,50%,,,33%,33%,133353
,Mists of Tirna,Last,m0,H>V,50%,33%,,,33%,178699
,Siege of Boralus,2nd,m0,H>C,50%,,33%,33%,,159309
"Waist (Druid, m0)",5 available in m0,,m0,,36%,34%,,34%,32%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,Ara-Kara,1st,both,M>C,50%,,,,,221153
,,,,,,,,,,
,Grim Batol,3rd,m0,H>C,33%,,,,,133354
,Siege of Boralus,3rd,m0,C>H,50%,33%,33%,,,159322
"Legs (Druid, m0)",3 available in m0,,m0,,24%,21%,21%,,,
,,,,,,,,,,
,City of Threads,1st,both,M>C,50%,33%,,,33%,221169
,,,,,,,,,,
,Necrotic Wake,1st,m0,V>C,50%,,,,,178731
,Siege of Boralus,2nd,m0,V>C,50%,,33%,33%,,159320
"Feet (Druid, m0)",3 available in m0,,m0,,24%,,,,,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,City of Threads,3rd,both,V>C,50%,,,,33%,221181
,Dawnbreaker,Last,both,C>H,33%,,,,,212448
,Stonevault,1st,both,M>H,100%,,50%,33%,,221077
,,,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,50%,,33%,33%,,178707
"Neck (Druid, m0)",4 available in m0,,m0,,39%,,29%,27%,37%,
,,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,,33%,,221154
,Dawnbreaker,Last,both,C>H,33%,,,,,225574
,Stonevault,3rd,both,M>H,100%,33%,50%,,33%,221088
,,,,,,,,,,
,Grim Batol,3rd,m0,V>C,33%,,,,,133292
,Grim Batol,3rd,m0,M>C,33%,,,,,133363
,Grim Batol,Last,m0,V>C,25%,20%,,,20%,133309
"Back (Druid, m0)",6 available in m0,,m0,,42%,34%,37%,,34%,
,,,,,,,,,,
,,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Druid,DruidBoomie,DruidCat,DruidBear,DruidResto,ID
,City of Threads,Last,both,V>H,50%,33%,,,33%,221189
,Dawnbreaker,1st,both,C>H,50%,33%,,,33%,221136
,Dawnbreaker,2nd,both,V>M,33%,,25%,25%,,221141
,,,,,,,,,,
,Grim Batol,1st,m0,M>C,33%,,,,,133286
,Grim Batol,2nd,m0,V>C,50%,,,33%,33%,133287
,Grim Batol,Last,m0,H>M,25%,20%,,,20%,133299
,Necrotic Wake,1st,m0,H>V,50%,,,,,178736
,Necrotic Wake,Last,m0,V>C,50%,,,,33%,178781
,Siege of Boralus,1st,m0,M>C,50%,,,,,162541
