Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,Ara-Kara,2nd,both,M>H,50%,,,,221156
,,,,,,,,,
,Grim Batol,1st,m0,H>C,33%,,,,133285
,Mists of Tirna,1st,m0,M>H,25%,,,,178692
,Necrotic Wake,2nd,m0,C>M,50%,,,,178738
"Head (Evoker, m0)",4 available in m0,,m0,,28%,,,,
,,,,,,,,,
,Dawnbreaker,2nd,both,M>V,25%,,,,221140
,,,,,,,,,
,Grim Batol,Last,m0,C>M,20%,,,,133374
,Mists of Tirna,2nd,m0,H>M,50%,,,,178695
,Necrotic Wake,1st,m0,V>M,50%,,,,178733
,Siege of Boralus,Last,m0,H>C,50%,,,,231826
"Shoulders (Evoker, m0)",5 available in m0,,m0,,34%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,City of Threads,3rd,both,M>V,50%,,33%,,221179
,,,,,,,,,
,Siege of Boralus,Last,m0,M>H,50%,,,,231825
"Chest (Evoker, m0)",2 available in m0,,m0,,19%,,16%,,
,,,,,,,,,
,City of Threads,2nd,both,C>M,33%,25%,,25%,221174
,,,,,,,,,
,Mists of Tirna,Last,m0,M>V,50%,,,,178703
,Siege of Boralus,2nd,m0,V>H,50%,,,,159372
"Wrists (Evoker, m0)",3 available in m0,,m0,,24%,23%,,23%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,Ara-Kara,Last,both,V>H,33%,,,,221162
,Stonevault,2nd,both,V>C,100%,,,,221080
,,,,,,,,,
"Hands (Evoker, m0)",2 available in m0,,m0,,25%,,,,
,,,,,,,,,
,City of Threads,1st,both,H>M,33%,,,,221168
,Stonevault,1st,both,H>M,50%,,,,221075
,,,,,,,,,
,Mists of Tirna,1st,m0,V>M,25%,,,,178700
,Siege of Boralus,3rd,m0,H>C,50%,33%,,33%,159386
"Waist (Evoker, m0)",4 available in m0,,m0,,28%,25%,,25%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,City of Threads,Last,both,H>V,33%,,,,221186
,,,,,,,,,
,Necrotic Wake,Last,m0,V>H,50%,,33%,,178778
,Siege of Boralus,1st,m0,V>M,50%,,,,159969
"Legs (Evoker, m0)",3 available in m0,,m0,,24%,,21%,,
,,,,,,,,,
,Ara-Kara,1st,both,H>M,33%,,,,221152
,Dawnbreaker,2nd,both,V>H,25%,,,,221202
,Dawnbreaker,Last,both,C>H,33%,,,,225586
,,,,,,,,,
,Grim Batol,2nd,m0,M>H,50%,,33%,,133290
,Grim Batol,3rd,m0,H>C,33%,,,,133293
,Necrotic Wake,3rd,m0,V>C,100%,50%,,50%,178745
,Siege of Boralus,2nd,m0,M>H,50%,,,,159379
"Feet (Evoker, m0)",7 available in m0,,m0,,48%,44%,,44%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Evoker,EvokerDev,EvokerPres,EvokerAug,ID
,City of Threads,3rd,both,V>C,50%,,33%,,221181
,Dawnbreaker,Last,both,C>H,33%,,,,212448
,Stonevault,1st,both,M>H,50%,,,,221077
