Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
,Ara-Kara,2nd,both,M>H,50%,,,,221156
,,,,,,,,,
,Grim Batol,1st,m0,H>C,33%,,,,133285
,Mists of Tirna,1st,m0,M>H,50%,,,,178692
,Necrotic Wake,2nd,m0,C>M,50%,,,,178738
"Head (Hunter, m0)",4 available in m0,,m0,,32%,,,,
,,,,,,,,,
,Dawnbreaker,2nd,both,M>V,25%,,,20%,221140
,,,,,,,,,
,Grim Batol,Last,m0,C>M,25%,,,,133374
,Mists of Tirna,2nd,m0,H>M,33%,,,,178695
,Necrotic Wake,1st,m0,V>M,50%,33%,33%,,178733
,Siege of Boralus,Last,m0,H>C,50%,,,,231826
"Shoulders (Hunter, m0)",5 available in m0,,m0,,31%,29%,29%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
,City of Threads,3rd,both,M>V,50%,,,,221179
,,,,,,,,,
,Siege of Boralus,Last,m0,M>H,50%,,,,231825
"Chest (Hunter, m0)",2 available in m0,,m0,,19%,,,,
,,,,,,,,,
,City of Threads,2nd,both,C>M,50%,,,,221174
,,,,,,,,,
,Mists of Tirna,Last,m0,M>V,100%,,,,178703
,Siege of Boralus,2nd,m0,V>H,33%,,,,159372
"Wrists (Hunter, m0)",3 available in m0,,m0,,33%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
,Ara-Kara,Last,both,V>H,50%,,,33%,221162
,Stonevault,2nd,both,V>C,100%,,,,221080
,,,,,,,,,
"Hands (Hunter, m0)",2 available in m0,,m0,,28%,,,25%,
,,,,,,,,,
,City of Threads,1st,both,H>M,50%,,,,221168
,Stonevault,1st,both,H>M,33%,,,,221075
,,,,,,,,,
,Mists of Tirna,1st,m0,V>M,50%,,,,178700
,Siege of Boralus,3rd,m0,H>C,33%,,,,159386
"Waist (Hunter, m0)",4 available in m0,,m0,,29%,,,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
,City of Threads,Last,both,H>V,50%,,,,221186
,,,,,,,,,
,Necrotic Wake,Last,m0,V>H,50%,,,,178778
,Siege of Boralus,1st,m0,V>M,50%,,,,159969
"Legs (Hunter, m0)",3 available in m0,,m0,,27%,,,,
,,,,,,,,,
,Ara-Kara,1st,both,H>M,50%,,,,221152
,Dawnbreaker,2nd,both,V>H,25%,,,20%,221202
,Dawnbreaker,Last,both,C>H,33%,,,,225586
,,,,,,,,,
,Grim Batol,2nd,m0,M>H,50%,,,,133290
,Grim Batol,3rd,m0,H>C,33%,,,,133293
,Necrotic Wake,3rd,m0,V>C,50%,,,,178745
,Siege of Boralus,2nd,m0,M>H,33%,,,,159379
"Feet (Hunter, m0)",7 available in m0,,m0,,44%,,,43%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Hunter,HunterBm,HunterMm,HunterSv,ID
,City of Threads,3rd,both,V>C,50%,,,,221181
,Dawnbreaker,Last,both,C>H,33%,,,,212448
,Stonevault,1st,both,M>H,33%,,,,221077
,,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,33%,,,,178707
"Neck (Hunter, m0)",4 available in m0,,m0,,27%,,,,
