item_id,release,from,boss,gear_slot,gear_type,stats,HunterMm
221156,Hc+M0,Ara-Kara,2nd boss,Head,Mail,M>H,50%
133285,M0,Grim Batol,1st boss,Head,Mail,H>C,33%
178692,M0,Mists of Tirna,1st boss,Head,Mail,M>H,50%
178738,M0,Necrotic Wake,2nd boss,Head,Mail,C>M,50%
0,M0,Head (Hunter),4 sources,Head,m0 week,,32%
221140,Hc+M0,Dawnbreaker,2nd boss,Shoulder,Mail,M>V,25%
133374,M0,Grim Batol,Last boss,Shoulder,Mail,C>M,25%
178695,M0,Mists of Tirna,2nd boss,Shoulder,Mail,H>M,33%
178733,M0,Necrotic Wake,1st boss,Shoulder,Mail,V>M,33%
231826,M0,Siege of Boralus,Last boss,Shoulder,Mail,H>C,50%
0,M0,Shoulders (Hunter),5 sources,Shoulder,m0 week,,29%
221179,Hc+M0,City of Threads,3rd boss,Chest,Mail,M>V,50%
231825,M0,Siege of Boralus,Last boss,Chest,Mail,M>H,50%
0,M0,Chest (Hunter),2 sources,Chest,m0 week,,19%
221174,Hc+M0,City of Threads,2nd boss,Wrist,Mail,C>M,50%
178703,M0,Mists of Tirna,Last boss,Wrist,Mail,M>V,100%
159372,M0,Siege of Boralus,2nd boss,Wrist,Mail,V>H,33%
0,M0,Wrists (Hunter),3 sources,Wrist,m0 week,,33%
221162,Hc+M0,Ara-Kara,Last boss,Hands,Mail,V>H,50%
221080,Hc+M0,Stonevault,2nd boss,Hands,Mail,V>C,100%
0,M0,Hands (Hunter),2 sources,Hands,m0 week,,28%
221168,Hc+M0,City of Threads,1st boss,Waist,Mail,H>M,50%
221075,Hc+M0,Stonevault,1st boss,Waist,Mail,H>M,33%
178700,M0,Mists of Tirna,1st boss,Waist,Mail,V>M,50%
159386,M0,Siege of Boralus,3rd boss,Waist,Mail,H>C,33%
0,M0,Waist (Hunter),4 sources,Waist,m0 week,,29%
221186,Hc+M0,City of Threads,Last boss,Legs,Mail,H>V,50%
178778,M0,Necrotic Wake,Last boss,Legs,Mail,V>H,50%
159969,M0,Siege of Boralus,1st boss,Legs,Mail,V>M,50%
0,M0,Legs (Hunter),3 sources,Legs,m0 week,,27%
221152,Hc+M0,Ara-Kara,1st boss,Feet,Mail,H>M,50%
221202,Hc+M0,Dawnbreaker,2nd boss,Feet,Mail,V>H,25%
225586,Hc+M0,Dawnbreaker,Last boss,Feet,Mail,C>H,33%
133290,M0,Grim Batol,2nd boss,Feet,Mail,M>H,50%
133293,M0,Grim Batol,3rd boss,Feet,Mail,H>C,33%
178745,M0,Necrotic Wake,3rd boss,Feet,Mail,V>C,50%
159379,M0,Siege of Boralus,2nd boss,Feet,Mail,M>H,33%
0,M0,Feet (Hunter),7 sources,Feet,m0 week,,44%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,50%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,33%
221077,Hc+M0,Stonevault,1st boss,Neck,,,33%
