item_id,release,from,boss,gear_slot,gear_type,stats,PaladinHoly
178694,M0,Mists of Tirna,1st boss,Head,Plate,H>M,33%
178777,M0,Necrotic Wake,Last boss,Head,Plate,V>H,33%
0,M0,Head (Paladin),2 sources,Head,m0 week,,13%
221155,Hc+M0,Ara-Kara,2nd boss,Shoulder,Plate,V>M,50%
221185,Hc+M0,City of Threads,Last boss,Shoulder,Plate,C>H,33%
133294,M0,Grim Batol,3rd boss,Shoulder,Plate,M>H,33%
178697,M0,Mists of Tirna,2nd boss,Shoulder,Plate,M>V,33%
178749,M0,Necrotic Wake,3rd boss,Shoulder,Plate,C>V,50%
231830,M0,Siege of Boralus,Last boss,Shoulder,Plate,M>H,50%
0,M0,Shoulders (Paladin),6 sources,Shoulder,m0 week,,41%
221161,Hc+M0,Ara-Kara,Last boss,Chest,Plate,V>H,50%
221139,Hc+M0,Dawnbreaker,2nd boss,Chest,Plate,C>V,33%
231827,M0,Siege of Boralus,Last boss,Chest,Plate,M>H,50%
0,M0,Chest (Paladin),3 sources,Chest,m0 week,,24%
221167,Hc+M0,City of Threads,1st boss,Wrist,Plate,H>V,50%
212437,Hc+M0,Dawnbreaker,Last boss,Wrist,Plate,C>H,33%
133306,M0,Grim Batol,1st boss,Wrist,Plate,M>H,50%
0,M0,Wrists (Paladin),3 sources,Wrist,m0 week,,24%
221151,Hc+M0,Ara-Kara,1st boss,Hands,Plate,H>V,33%
221086,Hc+M0,Stonevault,3rd boss,Hands,Plate,H>C,33%
178706,M0,Mists of Tirna,2nd boss,Hands,Plate,M>C,33%
159429,M0,Siege of Boralus,2nd boss,Hands,Plate,C>M,50%
0,M0,Hands (Paladin),4 sources,Hands,m0 week,,27%
221133,Hc+M0,Dawnbreaker,1st boss,Waist,Plate,M>H,33%
221079,Hc+M0,Stonevault,2nd boss,Waist,Plate,C>M,50%
133289,M0,Grim Batol,2nd boss,Waist,Plate,H>C,33%
178734,M0,Necrotic Wake,1st boss,Waist,Plate,M>V,50%
159434,M0,Siege of Boralus,2nd boss,Waist,Plate,C>V,50%
0,M0,Waist (Paladin),5 sources,Waist,m0 week,,36%
221173,Hc+M0,City of Threads,2nd boss,Legs,Plate,M>H,50%
221092,Hc+M0,Stonevault,Last boss,Legs,Plate,M>C,50%
178701,M0,Mists of Tirna,Last boss,Legs,Plate,M>H,50%
178739,M0,Necrotic Wake,2nd boss,Legs,Plate,C>M,50%
