item_id,release,from,boss,gear_slot,gear_type,stats,RogueSub
221163,Hc+M0,Ara-Kara,Last boss,Head,Leather,M>V,50%
221081,Hc+M0,Stonevault,2nd boss,Head,Leather,C>H,100%
178691,M0,Mists of Tirna,2nd boss,Head,Leather,H>M,25%
231824,M0,Siege of Boralus,Last boss,Head,Leather,V>M,50%
0,M0,Head (Rogue),4 sources,Head,m0 week,,38%
221175,Hc+M0,City of Threads,2nd boss,Shoulder,Leather,V>C,50%
221094,Hc+M0,Stonevault,Last boss,Shoulder,Leather,C>V,50%
178779,M0,Necrotic Wake,Last boss,Shoulder,Leather,M>V,50%
0,M0,Shoulders (Rogue),3 sources,Shoulder,m0 week,,27%
221188,Hc+M0,City of Threads,Last boss,Chest,Leather,H>M,33%
133284,M0,Grim Batol,1st boss,Chest,Leather,M>H,33%
133297,M0,Grim Batol,Last boss,Chest,Leather,M>C,25%
178698,M0,Mists of Tirna,1st boss,Chest,Leather,H>C,100%
178744,M0,Necrotic Wake,3rd boss,Chest,Leather,M>C,33%
231822,M0,Siege of Boralus,Last boss,Chest,Leather,C>H,50%
0,M0,Chest (Rogue),6 sources,Chest,m0 week,,44%
221157,Hc+M0,Ara-Kara,2nd boss,Wrist,Leather,C>M,50%
221142,Hc+M0,Dawnbreaker,2nd boss,Wrist,Leather,H>C,25%
178702,M0,Mists of Tirna,Last boss,Wrist,Leather,C>V,50%
178741,M0,Necrotic Wake,2nd boss,Wrist,Leather,H>V,50%
0,M0,Wrists (Rogue),4 sources,Wrist,m0 week,,31%
221180,Hc+M0,City of Threads,3rd boss,Hands,Leather,H>C,50%
159968,M0,Siege of Boralus,1st boss,Hands,Leather,H>M,50%
0,M0,Hands (Rogue),2 sources,Hands,m0 week,,19%
221134,Hc+M0,Dawnbreaker,1st boss,Waist,Leather,C>M,50%
225583,Hc+M0,Dawnbreaker,Last boss,Waist,Leather,H>C,33%
133353,M0,Grim Batol,2nd boss,Waist,Leather,H>C,50%
178699,M0,Mists of Tirna,Last boss,Waist,Leather,H>V,50%
159309,M0,Siege of Boralus,2nd boss,Waist,Leather,H>C,33%
0,M0,Waist (Rogue),5 sources,Waist,m0 week,,36%
221153,Hc+M0,Ara-Kara,1st boss,Legs,Leather,M>C,50%
133354,M0,Grim Batol,3rd boss,Legs,Leather,H>C,25%
159322,M0,Siege of Boralus,3rd boss,Legs,Leather,C>H,33%
0,M0,Legs (Rogue),3 sources,Legs,m0 week,,20%
221169,Hc+M0,City of Threads,1st boss,Feet,Leather,M>C,50%
178731,M0,Necrotic Wake,1st boss,Feet,Leather,V>C,50%
159320,M0,Siege of Boralus,2nd boss,Feet,Leather,V>C,33%
0,M0,Feet (Rogue),3 sources,Feet,m0 week,,24%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,50%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,33%
221077,Hc+M0,Stonevault,1st boss,Neck,,,100%
178707,M0,Mists of Tirna,2nd boss,Neck,,M>C,25%
0,M0,Neck (Rogue),4 sources,Neck,m0 week,,36%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,50%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,33%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,50%
133292,M0,Grim Batol,3rd boss,Back,,V>C,25%
133363,M0,Grim Batol,3rd boss,Back,,M>C,25%
133309,M0,Grim Batol,Last boss,Back,,V>C,25%
0,M0,Back (Rogue),6 sources,Back,m0 week,,35%
221189,Hc+M0,City of Threads,Last boss,Finger,,,33%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,50%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,25%
133286,M0,Grim Batol,1st boss,Finger,,M>C,33%
133287,M0,Grim Batol,2nd boss,Finger,,V>C,50%
133299,M0,Grim Batol,Last boss,Finger,,H>M,25%
178736,M0,Necrotic Wake,1st boss,Finger,,H>V,50%
178781,M0,Necrotic Wake,Last boss,Finger,,V>C,50%
162541,M0,Siege of Boralus,1st boss,Finger,,M>C,50%
159461,M0,Siege of Boralus,3rd boss,Finger,,C>H,33%
0,M0,Ring (Rogue),10 sources,Finger,m0 week,,57%
221183,Hc+M0,City of Threads,Last boss,One-Hand,Dagger,Agi,33%
221138,Hc+M0,Dawnbreaker,2nd boss,One-Hand,Dagger,Agi,25%
133296,M0,Grim Batol,3rd boss,One-Hand,Dagger,Agi,25%
178710,M0,Mists of Tirna,2nd boss,One-Hand,Dagger,Agi,25%
178743,M0,Necrotic Wake,3rd boss,One-Hand,Dagger,Agi,33%
0,M0,Agi1hWeapon (Rogue),5 sources,One-Hand,m0 week,,25%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219317,Hc+M0,Ara-Kara,Last boss,Trinket,Anyrole Trinket,"Agi,Int",50%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,50%
219312,Hc+M0,Dawnbreaker,2nd boss,Trinket,Anyrole Trinket,"Agi,Int",25%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,50%
133282,M0,Grim Batol,1st boss,Trinket,Anyrole Trinket,Agi,33%
133305,M0,Grim Batol,Last boss,Trinket,Anyrole Trinket,,25%
178715,M0,Mists of Tirna,2nd boss,Trinket,Anyrole Trinket,Agi,25%
178742,M0,Necrotic Wake,2nd boss,Trinket,Anyrole Trinket,Agi,50%
159623,M0,Siege of Boralus,2nd boss,Trinket,Anyrole Trinket,Agi,33%
219319,Hc+M0,City of Threads,2nd boss,Trinket,Dps Trinket,Agi,50%
219301,Hc+M0,Stonevault,3rd boss,Trinket,Dps Trinket,,50%
178772,M0,Necrotic Wake,3rd boss,Trinket,Dps Trinket,Int,33%
159622,M0,Siege of Boralus,3rd boss,Trinket,Dps Trinket,Int,33%
0,M0,AnyroleTrinket (Rogue),10 sources,Trinket,m0 week,,56%
0,M0,DpsTrinket (Rogue),4 sources,Trinket,m0 week,,29%
