Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Ara-Kara,2nd,both,M>H,50%,,,,221156
,,,,,,,,,
,Grim Batol,1st,m0,H>C,33%,,,,133285
,Mists of Tirna,1st,m0,M>H,50%,25%,,25%,178692
,Necrotic Wake,2nd,m0,C>M,100%,,50%,,178738
"Head (Shaman, m0)",4 available in m0,,m0,,36%,,32%,,
,,,,,,,,,
,Dawnbreaker,2nd,both,M>V,25%,,,,221140
,,,,,,,,,
,Grim Batol,Last,m0,C>M,25%,20%,,20%,133374
,Mists of Tirna,2nd,m0,H>M,50%,,33%,,178695
,Necrotic Wake,1st,m0,V>M,50%,,,,178733
,Siege of Boralus,Last,m0,H>C,50%,,,,231826
"Shoulders (Shaman, m0)",5 available in m0,,m0,,34%,,32%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,City of Threads,3rd,both,M>V,50%,33%,,25%,221179
,,,,,,,,,
,Siege of Boralus,Last,m0,M>H,50%,,,,231825
"Chest (Shaman, m0)",2 available in m0,,m0,,19%,16%,,15%,
,,,,,,,,,
,City of Threads,2nd,both,C>M,50%,25%,,33%,221174
,,,,,,,,,
,Mists of Tirna,Last,m0,M>V,100%,33%,,33%,178703
,Siege of Boralus,2nd,m0,V>H,50%,,33%,,159372
"Wrists (Shaman, m0)",3 available in m0,,m0,,33%,20%,,21%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,Ara-Kara,Last,both,V>H,50%,33%,,33%,221162
,Stonevault,2nd,both,V>C,100%,50%,,50%,221080
,,,,,,,,,
"Hands (Shaman, m0)",2 available in m0,,m0,,28%,16%,,16%,
,,,,,,,,,
,City of Threads,1st,both,H>M,50%,33%,,33%,221168
,Stonevault,1st,both,H>M,50%,33%,,33%,221075
,,,,,,,,,
,Mists of Tirna,1st,m0,V>M,50%,25%,,25%,178700
,Siege of Boralus,3rd,m0,H>C,50%,33%,33%,,159386
"Waist (Shaman, m0)",4 available in m0,,m0,,32%,23%,,25%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,City of Threads,Last,both,H>V,50%,33%,,33%,221186
,,,,,,,,,
,Necrotic Wake,Last,m0,V>H,50%,,,33%,178778
,Siege of Boralus,1st,m0,V>M,50%,,33%,,159969
"Legs (Shaman, m0)",3 available in m0,,m0,,24%,,,21%,
,,,,,,,,,
,Ara-Kara,1st,both,H>M,50%,,,,221152
,Dawnbreaker,2nd,both,V>H,25%,,,,221202
,Dawnbreaker,Last,both,C>H,33%,,25%,,225586
,,,,,,,,,
,Grim Batol,2nd,m0,M>H,50%,,,33%,133290
,Grim Batol,3rd,m0,H>C,33%,,,,133293
,Necrotic Wake,3rd,m0,V>C,50%,33%,,,178745
,Siege of Boralus,2nd,m0,M>H,50%,,33%,,159379
"Feet (Shaman, m0)",7 available in m0,,m0,,44%,,43%,,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,City of Threads,3rd,both,V>C,50%,33%,,25%,221181
,Dawnbreaker,Last,both,C>H,33%,,25%,,212448
,Stonevault,1st,both,M>H,50%,33%,,33%,221077
,,,,,,,,,
,Mists of Tirna,2nd,m0,M>C,50%,,33%,,178707
"Neck (Shaman, m0)",4 available in m0,,m0,,28%,27%,,25%,
,,,,,,,,,
,Ara-Kara,2nd,both,V>C,50%,,,,221154
,Dawnbreaker,Last,both,C>H,33%,,25%,,225574
,Stonevault,3rd,both,M>H,50%,33%,,33%,221088
,,,,,,,,,
,Grim Batol,3rd,m0,V>C,33%,,,,133292
,Grim Batol,3rd,m0,M>C,33%,,,,133363
,Grim Batol,Last,m0,V>C,25%,20%,,20%,133309
"Back (Shaman, m0)",6 available in m0,,m0,,36%,34%,,34%,
,,,,,,,,,
,,,,,,,,,
Type,Dungeon,Boss,Week,stats,Shaman,ShamanEle,ShamanEnh,ShamanResto,ID
,City of Threads,Last,both,V>H,50%,33%,,33%,221189
,Dawnbreaker,1st,both,C>H,100%,50%,,50%,221136
,Dawnbreaker,2nd,both,V>M,25%,,,,221141
,,,,,,,,,
,Grim Batol,1st,m0,M>C,33%,,,,133286
