item_id,release,from,boss,gear_slot,gear_type,stats,WarriorProt
178694,M0,Mists of Tirna,1st boss,Head,Plate,H>M,100%
178777,M0,Necrotic Wake,Last boss,Head,Plate,V>H,50%
0,M0,Head (Warrior),2 sources,Head,m0 week,,28%
221155,Hc+M0,Ara-Kara,2nd boss,Shoulder,Plate,V>M,33%
221185,Hc+M0,City of Threads,Last boss,Shoulder,Plate,C>H,50%
133294,M0,Grim Batol,3rd boss,Shoulder,Plate,M>H,33%
178697,M0,Mists of Tirna,2nd boss,Shoulder,Plate,M>V,33%
178749,M0,Necrotic Wake,3rd boss,Shoulder,Plate,C>V,33%
231830,M0,Siege of Boralus,Last boss,Shoulder,Plate,M>H,50%
0,M0,Shoulders (Warrior),6 sources,Shoulder,m0 week,,38%
221161,Hc+M0,Ara-Kara,Last boss,Chest,Plate,V>H,100%
221139,Hc+M0,Dawnbreaker,2nd boss,Chest,Plate,C>V,50%
231827,M0,Siege of Boralus,Last boss,Chest,Plate,M>H,50%
0,M0,Chest (Warrior),3 sources,Chest,m0 week,,35%
221167,Hc+M0,City of Threads,1st boss,Wrist,Plate,H>V,50%
212437,Hc+M0,Dawnbreaker,Last boss,Wrist,Plate,C>H,25%
133306,M0,Grim Batol,1st boss,Wrist,Plate,M>H,50%
0,M0,Wrists (Warrior),3 sources,Wrist,m0 week,,23%
221151,Hc+M0,Ara-Kara,1st boss,Hands,Plate,H>V,50%
221086,Hc+M0,Stonevault,3rd boss,Hands,Plate,H>C,50%
178706,M0,Mists of Tirna,2nd boss,Hands,Plate,M>C,33%
159429,M0,Siege of Boralus,2nd boss,Hands,Plate,C>M,33%
0,M0,Hands (Warrior),4 sources,Hands,m0 week,,29%
221133,Hc+M0,Dawnbreaker,1st boss,Waist,Plate,M>H,33%
221079,Hc+M0,Stonevault,2nd boss,Waist,Plate,C>M,50%
133289,M0,Grim Batol,2nd boss,Waist,Plate,H>C,33%
178734,M0,Necrotic Wake,1st boss,Waist,Plate,M>V,33%
159434,M0,Siege of Boralus,2nd boss,Waist,Plate,C>V,33%
0,M0,Waist (Warrior),5 sources,Waist,m0 week,,32%
221173,Hc+M0,City of Threads,2nd boss,Legs,Plate,M>H,100%
221092,Hc+M0,Stonevault,Last boss,Legs,Plate,M>C,33%
178701,M0,Mists of Tirna,Last boss,Legs,Plate,M>H,33%
178739,M0,Necrotic Wake,2nd boss,Legs,Plate,C>M,100%
159427,M0,Siege of Boralus,1st boss,Legs,Plate,M>V,50%
0,M0,Legs (Warrior),5 sources,Legs,m0 week,,50%
221178,Hc+M0,City of Threads,3rd boss,Feet,Plate,V>H,33%
159428,M0,Siege of Boralus,3rd boss,Feet,Plate,H>C,50%
0,M0,Feet (Warrior),2 sources,Feet,m0 week,,16%
221181,Hc+M0,City of Threads,3rd boss,Neck,,,33%
212448,Hc+M0,Dawnbreaker,Last boss,Neck,,,25%
221077,Hc+M0,Stonevault,1st boss,Neck,,,33%
178707,M0,Mists of Tirna,2nd boss,Neck,,M>C,33%
0,M0,Neck (Warrior),4 sources,Neck,m0 week,,23%
221154,Hc+M0,Ara-Kara,2nd boss,Back,,V>C,33%
225574,Hc+M0,Dawnbreaker,Last boss,Back,,C>H,25%
221088,Hc+M0,Stonevault,3rd boss,Back,,M>H,50%
133292,M0,Grim Batol,3rd boss,Back,,V>C,33%
133363,M0,Grim Batol,3rd boss,Back,,M>C,33%
133309,M0,Grim Batol,Last boss,Back,,V>C,20%
0,M0,Back (Warrior),6 sources,Back,m0 week,,33%
221189,Hc+M0,City of Threads,Last boss,Finger,,,50%
221136,Hc+M0,Dawnbreaker,1st boss,Finger,,,33%
221141,Hc+M0,Dawnbreaker,2nd boss,Finger,,,50%
133286,M0,Grim Batol,1st boss,Finger,,M>C,50%
133287,M0,Grim Batol,2nd boss,Finger,,V>C,33%
133299,M0,Grim Batol,Last boss,Finger,,H>M,20%
178736,M0,Necrotic Wake,1st boss,Finger,,H>V,33%
178781,M0,Necrotic Wake,Last boss,Finger,,V>C,50%
162541,M0,Siege of Boralus,1st boss,Finger,,M>C,50%
159461,M0,Siege of Boralus,3rd boss,Finger,,C>H,50%
0,M0,Ring (Warrior),10 sources,Finger,m0 week,,58%
178711,M0,Mists of Tirna,Last boss,One-Hand,Axe,Str,33%
133301,M0,Grim Batol,Last boss,One-Hand,Mace,Str,20%
178730,M0,Necrotic Wake,1st boss,One-Hand,Mace,Str,33%
221091,Hc+M0,Stonevault,Last boss,One-Hand,Sword,Str,33%
159649,M0,Siege of Boralus,2nd boss,One-Hand,Sword,Str,33%
0,M0,Str1hWeapon (Warrior),5 sources,One-Hand,m0 week,,27%
0,M0,Str2hWeapon (Warrior),6 sources,Two-Hand,m0 week,,0%
221177,Hc+M0,City of Threads,3rd boss,Off Hand,Shield,"Str,Int",33%
221073,Hc+M0,Stonevault,1st boss,Off Hand,Shield,"Str,Int",33%
178712,M0,Mists of Tirna,Last boss,Off Hand,Shield,"Str,Int",33%
178750,M0,Necrotic Wake,3rd boss,Off Hand,Shield,"Str,Int",33%
0,M0,Shield (Warrior),4 sources,Off Hand,m0 week,,24%
219314,Hc+M0,Ara-Kara,1st boss,Trinket,Anyrole Trinket,,50%
219318,Hc+M0,City of Threads,1st boss,Trinket,Anyrole Trinket,,50%
219311,Hc+M0,Dawnbreaker,1st boss,Trinket,Anyrole Trinket,Str,33%
212453,Hc+M0,Dawnbreaker,Last boss,Trinket,Anyrole Trinket,Str,25%
219300,Hc+M0,Stonevault,2nd boss,Trinket,Anyrole Trinket,Str,50%
219303,Hc+M0,Stonevault,Last boss,Trinket,Anyrole Trinket,,33%
133300,M0,Grim Batol,Last boss,Trinket,Anyrole Trinket,Str,20%
133305,M0,Grim Batol,Last boss,Trinket,Anyrole Trinket,,20%
178751,M0,Necrotic Wake,3rd boss,Trinket,Anyrole Trinket,Str,33%
219316,Hc+M0,Ara-Kara,2nd boss,Trinket,Tank Trinket,"Agi,Str",33%
219315,Hc+M0,Stonevault,1st boss,Trinket,Tank Trinket,"Agi,Str",33%
133291,M0,Grim Batol,2nd boss,Trinket,Tank Trinket,,33%
0,M0,AnyroleTrinket (Warrior),9 sources,Trinket,m0 week,,48%
0,M0,DpsTrinket (Warrior),4 sources,Trinket,m0 week,,0%
0,M0,TankTrinket (Warrior),3 sources,Trinket,m0 week,,19%
