Type,Dungeon,Boss,Week,stats,Dk,DkBlood,DkFrost,DkUnholy,DhHavoc,DhVeng,DruidBoomie,DruidCat,DruidBear,DruidResto,EvokerDev,EvokerPres,EvokerAug,HunterBm,HunterMm,HunterSv,MageArcane,MageFire,MageFrost,MonkBrew,MonkMw,MonkWw,PaladinHoly,PaladinProt,PaladinRet,PriestDisc,PriestHoly,PriestShadow,RogueSin,RogueOutlaw,RogueSub,ShamanEle,ShamanEnh,ShamanResto,WarlockAff,WarlockDemo,WarlockDest,WarriorArms,WarriorFury,WarriorProt,ID
,City of Threads,Last,both,M>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221187
,Dawnbreaker,Last,both,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212440
,Grim Batol,Last,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133302
,Mists of Tirna,Last,m0,V>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178693
,Necrotic Wake,1st,m0,C>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178732
,Siege of Boralus,Last,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231818
,Ara-Kara,Last,both,M>V,0%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,,,,,,,221163
,Stonevault,2nd,both,C>H,0%,,,,,,50%,,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221081
,Mists of Tirna,2nd,m0,H>M,0%,,,,,,,33%,33%,,,,,,,,,,,33%,,33%,,,,,,,25%,,25%,,,,,,,,,,178691
,Siege of Boralus,Last,m0,V>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231824
,Ara-Kara,2nd,both,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221156
,Grim Batol,1st,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133285
,Mists of Tirna,1st,m0,M>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,25%,,,,,,,178692
,Necrotic Wake,2nd,m0,C>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,178738
,Mists of Tirna,1st,m0,H>M,50%,,,,,,,,,,,,,,,,,,,,,,33%,,50%,,,,,,,,,,,,,50%,50%,,178694
,Necrotic Wake,Last,m0,V>H,33%,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,178777
"Head (Dk, m0)",2 available in m0,,m0,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Paladin, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,13%,,16%,,,,,,,,,,,,,,,,
"Head (Warrior, m0)",2 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,16%,,
"Head (Dh, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Druid, m0)",4 available in m0,,m0,,,,,,,,32%,,,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Evoker, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Hunter, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Monk, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,37%,,37%,,,,,,,,,,,,,,,,,,,
"Head (Rogue, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38%,,38%,,,,,,,,,,
"Head (Shaman, m0)",4 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,
"Head (Mage, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Priest, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Head (Warlock, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dawnbreaker,1st,both,V>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221135
,Mists of Tirna,1st,m0,C>V,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178696
,Necrotic Wake,2nd,m0,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178740
,City of Threads,2nd,both,V>C,0%,,,,50%,,25%,50%,,33%,,,,,,,,,,,50%,50%,,,,,,,,,,,,,,,,,,,221175
,Stonevault,Last,both,C>V,0%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,33%,,,,,,,,,,,221094
,Necrotic Wake,Last,m0,M>V,0%,,,,,,,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,178779
,Dawnbreaker,2nd,both,M>V,0%,,,,,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,221140
,Grim Batol,Last,m0,C>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,20%,,,,,,,133374
,Mists of Tirna,2nd,m0,H>M,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,178695
,Necrotic Wake,1st,m0,V>M,0%,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,,,,,,,,,,,178733
,Siege of Boralus,Last,m0,H>C,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231826
,Ara-Kara,2nd,both,V>M,50%,33%,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,33%,221155
,City of Threads,Last,both,C>H,33%,,,,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,221185
,Grim Batol,3rd,m0,M>H,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133294
,Mists of Tirna,2nd,m0,M>V,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178697
,Necrotic Wake,3rd,m0,C>V,50%,,33%,33%,,,,,,,,,,,,,,,,,,,,33%,33%,,,,,,,,,,,,,,,,178749
,Siege of Boralus,Last,m0,M>H,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231830
"Shoulders (Dh, m0)",3 available in m0,,m0,,,,,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Druid, m0)",3 available in m0,,m0,,,,,,,,23%,27%,,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Mage, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Monk, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,24%,24%,,,,,,,,,,,,,,,,,,,
"Shoulders (Priest, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Rogue, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,,,,
"Shoulders (Warlock, m0)",3 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Evoker, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Hunter, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,29%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Shaman, m0)",5 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,
"Shoulders (Dk, m0)",6 available in m0,,m0,,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shoulders (Paladin, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,38%,38%,,,,,,,,,,,,,,,,
"Shoulders (Warrior, m0)",6 available in m0,,m0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Threads,2nd,both,C>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,,,,,,,,,221176
,Stonevault,Last,both,V>H,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221095
,City of Threads,Last,both,H>M,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,33%,,33%,,,,,,,,,,221188
,Grim Batol,1st,m0,M>H,0%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,,,,,,,133284
,Grim Batol,Last,m0,M>C,0%,,,,,,20%,,,20%,,,,,,,,,,,20%,,,,,,,,,,,,,,,,,,,,133297
,Mists of Tirna,1st,m0,H>C,0%,,,,,,33%,,,33%,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,,,178698
