item_id,from,boss,gear_slot,gear_type,stats,DruidResto
221163,Ara-Kara,3 of 3,Head,Leather,M>V,33%
159310,Siege of Boralus,4 of 4,Head,Leather,,50%
221081,Stonevault,2 of 4,Head,Leather,C>H,50%
221175,City of Threads,2 of 4,Shoulder,Leather,V>C,33%
221094,Stonevault,4 of 4,Shoulder,Leather,C>V,50%
221188,City of Threads,4 of 4,Chest,Leather,H>M,33%
56113,Grim Batol,1 of 4,Chest,Leather,V>M,11%
56442,Grim Batol,1 of 4,Chest,Leather,M>V,11%
133284,Grim Batol,1 of 4,Chest,Leather,M>H,11%
56128,Grim Batol,4 of 4,Chest,Leather,M>C,7%
56455,Grim Batol,4 of 4,Chest,Leather,M>C,7%
133297,Grim Batol,4 of 4,Chest,Leather,M>C,7%
178698,Mists of Tirna,1 of 3,Chest,Leather,H>C,33%
159314,Siege of Boralus,4 of 4,Chest,Leather,,50%
221157,Ara-Kara,2 of 3,Wrist,Leather,C>M,50%
178702,Mists of Tirna,3 of 3,Wrist,Leather,C>V,33%
221142,Dawnbreaker,2 of 3,Wrist,Leather,H>C,33%
221180,City of Threads,3 of 4,Hands,Leather,H>C,33%
133353,Grim Batol,2 of 4,Waist,Leather,H>C,12%
178699,Mists of Tirna,3 of 3,Waist,Leather,H>V,33%
159309,Siege of Boralus,2 of 4,Waist,Leather,H>C,50%
221134,Dawnbreaker,1 of 3,Waist,Leather,C>M,33%
221153,Ara-Kara,1 of 3,Legs,Leather,M>C,50%
157596,Grim Batol,1 of 4,Legs,Leather,H>C,11%
221169,City of Threads,1 of 4,Feet,Leather,M>C,33%
159320,Siege of Boralus,2 of 4,Feet,Leather,V>C,50%
178731,Necrotic Wake,1 of 4,Feet,Leather,V>C,50%
221181,City of Threads,3 of 4,Neck,,,33%
221154,Ara-Kara,2 of 3,Back,,V>C,50%
157597,Grim Batol,2 of 4,Back,,M>C,12%
56126,Grim Batol,3 of 4,Back,,V>C,100%
133309,Grim Batol,4 of 4,Back,,V>C,7%
221088,Stonevault,3 of 4,Back,,M>H,25%
221189,City of Threads,4 of 4,Finger,,,33%
133286,Grim Batol,1 of 4,Finger,,M>C,11%
133307,Grim Batol,1 of 4,Finger,,H>C,11%
133287,Grim Batol,2 of 4,Finger,,V>C,12%
133299,Grim Batol,4 of 4,Finger,,H>M,7%
221136,Dawnbreaker,1 of 3,Finger,,,33%
221141,Dawnbreaker,2 of 3,Finger,,,33%
178736,Necrotic Wake,1 of 4,Finger,,H>V,50%
221165,Ara-Kara,3 of 3,One-Hand,Dagger,Int,33%
221171,City of Threads,2 of 4,One-Hand,Dagger,Int,33%
56116,Grim Batol,1 of 4,One-Hand,Dagger,Int,11%
56441,Grim Batol,1 of 4,One-Hand,Dagger,Int,11%
133283,Grim Batol,1 of 4,One-Hand,Dagger,Int,11%
157613,Grim Batol,2 of 4,One-Hand,Fist Weapon,Int,12%
178709,Mists of Tirna,1 of 3,One-Hand,Mace,Int,33%
221083,Stonevault,2 of 4,Two-Hand,Mace,Int,50%
221166,City of Threads,1 of 4,Two-Hand,Staff,Int,33%
56137,Grim Batol,4 of 4,Two-Hand,Staff,Int,7%
56461,Grim Batol,4 of 4,Two-Hand,Staff,Int,7%
133303,Grim Batol,4 of 4,Two-Hand,Staff,Int,7%
178714,Mists of Tirna,3 of 3,Two-Hand,Staff,Int,33%
221085,Stonevault,3 of 4,Two-Hand,Staff,Int,25%
221172,City of Threads,2 of 4,Held In Off-hand,,Int,33%
221132,Dawnbreaker,1 of 3,Held In Off-hand,,Int,33%
219314,Ara-Kara,1 of 3,Trinket,,,50%
219317,Ara-Kara,3 of 3,Trinket,,"Agi,Int",33%
219318,City of Threads,1 of 4,Trinket,,,33%
219320,City of Threads,3 of 4,Trinket,,Int,33%
219321,City of Threads,4 of 4,Trinket,,Int,33%
56121,Grim Batol,2 of 4,Trinket,,,12%
56449,Grim Batol,2 of 4,Trinket,,,12%
133291,Grim Batol,2 of 4,Trinket,,,12%
133304,Grim Batol,2 of 4,Trinket,,,12%
56136,Grim Batol,4 of 4,Trinket,,,7%
56138,Grim Batol,4 of 4,Trinket,,,7%
56462,Grim Batol,4 of 4,Trinket,,,7%
56463,Grim Batol,4 of 4,Trinket,,,7%
133305,Grim Batol,4 of 4,Trinket,,,7%
178708,Mists of Tirna,1 of 3,Trinket,,Int,33%
219312,Dawnbreaker,2 of 3,Trinket,,"Agi,Int",33%
219301,Stonevault,3 of 4,Trinket,,,25%
219302,Stonevault,3 of 4,Trinket,,Int,25%
219303,Stonevault,4 of 4,Trinket,,,50%
