item_id,from,boss,gear_slot,gear_type,stats,HunterSv
221156,Ara-Kara,2 of 3,Head,Mail,M>H,33%
56112,Grim Batol,1 of 4,Head,Mail,H>C,14%
56443,Grim Batol,1 of 4,Head,Mail,H>C,14%
133285,Grim Batol,1 of 4,Head,Mail,H>C,14%
178692,Mists of Tirna,1 of 3,Head,Mail,M>H,50%
133374,Grim Batol,4 of 4,Shoulder,Mail,C>M,11%
159376,Siege of Boralus,4 of 4,Shoulder,Mail,,50%
221140,Dawnbreaker,2 of 3,Shoulder,Mail,M>V,20%
178733,Necrotic Wake,1 of 4,Shoulder,Mail,V>M,50%
221179,City of Threads,3 of 4,Chest,Mail,M>V,50%
159362,Siege of Boralus,4 of 4,Chest,Mail,,50%
221174,City of Threads,2 of 4,Wrist,Mail,C>M,50%
178703,Mists of Tirna,3 of 3,Wrist,Mail,M>V,100%
159372,Siege of Boralus,2 of 4,Wrist,Mail,V>H,33%
221162,Ara-Kara,3 of 3,Hands,Mail,V>H,33%
221080,Stonevault,2 of 4,Hands,Mail,V>C,100%
221168,City of Threads,1 of 4,Waist,Mail,H>M,50%
178700,Mists of Tirna,1 of 3,Waist,Mail,V>M,50%
221186,City of Threads,4 of 4,Legs,Mail,H>V,50%
157615,Grim Batol,4 of 4,Legs,Mail,V>M,11%
221152,Ara-Kara,1 of 3,Feet,Mail,H>M,50%
56119,Grim Batol,2 of 4,Feet,Mail,V>M,9%
56448,Grim Batol,2 of 4,Feet,Mail,V>M,9%
133290,Grim Batol,2 of 4,Feet,Mail,M>H,9%
56123,Grim Batol,3 of 4,Feet,Mail,H>C,100%
159379,Siege of Boralus,2 of 4,Feet,Mail,M>H,33%
221202,Dawnbreaker,2 of 3,Feet,Mail,V>H,20%
221181,City of Threads,3 of 4,Neck,,,50%
221154,Ara-Kara,2 of 3,Back,,V>C,33%
157597,Grim Batol,2 of 4,Back,,M>C,9%
133309,Grim Batol,4 of 4,Back,,V>C,11%
221088,Stonevault,3 of 4,Back,,M>H,50%
221189,City of Threads,4 of 4,Finger,,,50%
133286,Grim Batol,1 of 4,Finger,,M>C,14%
56120,Grim Batol,2 of 4,Finger,,H>C,9%
56445,Grim Batol,2 of 4,Finger,,H>C,9%
133287,Grim Batol,2 of 4,Finger,,V>C,9%
133299,Grim Batol,4 of 4,Finger,,H>M,11%
221136,Dawnbreaker,1 of 3,Finger,,,100%
221141,Dawnbreaker,2 of 3,Finger,,,20%
178736,Necrotic Wake,1 of 4,Finger,,H>V,50%
221137,Dawnbreaker,2 of 3,Two-Hand,Polearm,Agi,20%
221159,Ara-Kara,3 of 3,Two-Hand,Staff,Agi,33%
219314,Ara-Kara,1 of 3,Trinket,,,50%
219316,Ara-Kara,2 of 3,Trinket,,"Agi,Str",33%
219317,Ara-Kara,3 of 3,Trinket,,"Agi,Int",33%
219318,City of Threads,1 of 4,Trinket,,,50%
219319,City of Threads,2 of 4,Trinket,,Agi,50%
56115,Grim Batol,1 of 4,Trinket,,Agi,14%
56440,Grim Batol,1 of 4,Trinket,,Agi,14%
133282,Grim Batol,1 of 4,Trinket,,Agi,14%
56121,Grim Batol,2 of 4,Trinket,,,9%
56449,Grim Batol,2 of 4,Trinket,,,9%
133291,Grim Batol,2 of 4,Trinket,,,9%
133304,Grim Batol,2 of 4,Trinket,,,9%
56136,Grim Batol,4 of 4,Trinket,,,11%
56138,Grim Batol,4 of 4,Trinket,,,11%
56462,Grim Batol,4 of 4,Trinket,,,11%
56463,Grim Batol,4 of 4,Trinket,,,11%
133305,Grim Batol,4 of 4,Trinket,,,11%
159623,Siege of Boralus,2 of 4,Trinket,,Agi,33%
219312,Dawnbreaker,2 of 3,Trinket,,"Agi,Int",20%
219301,Stonevault,3 of 4,Trinket,,,50%
219303,Stonevault,4 of 4,Trinket,,,100%
