item_id,from,boss,gear_slot,gear_type,stats,PaladinHoly,PaladinProt,PaladinRet
178694,Mists of Tirna,1 of 3,Head,Plate,H>M,33%,100%,50%
221155,Ara-Kara,2 of 3,Shoulder,Plate,V>M,50%,33%,33%
221185,City of Threads,4 of 4,Shoulder,Plate,C>H,33%,50%,33%
56124,Grim Batol,3 of 4,Shoulder,Plate,,50%,100%,100%
159431,Siege of Boralus,4 of 4,Shoulder,Plate,,50%,50%,50%
221161,Ara-Kara,3 of 3,Chest,Plate,V>H,50%,100%,100%
159416,Siege of Boralus,4 of 4,Chest,Plate,,50%,50%,50%
221139,Dawnbreaker,2 of 3,Chest,Plate,C>V,33%,50%,50%
221167,City of Threads,1 of 4,Wrist,Plate,H>V,50%,50%,50%
133306,Grim Batol,1 of 4,Wrist,Plate,M>H,25%,20%,25%
56135,Grim Batol,4 of 4,Wrist,Plate,V>M,11%,5%,5%
56464,Grim Batol,4 of 4,Wrist,Plate,V>M,11%,5%,5%
221151,Ara-Kara,1 of 3,Hands,Plate,H>V,33%,50%,50%
159429,Siege of Boralus,2 of 4,Hands,Plate,C>M,50%,33%,50%
221086,Stonevault,3 of 4,Hands,Plate,H>C,25%,33%,33%
56118,Grim Batol,2 of 4,Waist,Plate,H>C,11%,11%,11%
56447,Grim Batol,2 of 4,Waist,Plate,H>C,11%,11%,11%
133289,Grim Batol,2 of 4,Waist,Plate,H>C,11%,11%,11%
159434,Siege of Boralus,2 of 4,Waist,Plate,C>V,50%,33%,50%
221133,Dawnbreaker,1 of 3,Waist,Plate,M>H,33%,33%,33%
178734,Necrotic Wake,1 of 4,Waist,Plate,M>V,50%,33%,50%
221079,Stonevault,2 of 4,Waist,Plate,C>M,50%,50%,50%
221173,City of Threads,2 of 4,Legs,Plate,M>H,50%,100%,100%
178701,Mists of Tirna,3 of 3,Legs,Plate,M>H,50%,33%,100%
221092,Stonevault,4 of 4,Legs,Plate,M>C,50%,33%,50%
