item_id,from,boss,gear_slot,gear_type,stats,RogueOutlaw
221163,Ara-Kara,3 of 3,Head,Leather,M>V,50%
159310,Siege of Boralus,4 of 4,Head,Leather,,50%
221081,Stonevault,2 of 4,Head,Leather,C>H,100%
221175,City of Threads,2 of 4,Shoulder,Leather,V>C,50%
221094,Stonevault,4 of 4,Shoulder,Leather,C>V,33%
221188,City of Threads,4 of 4,Chest,Leather,H>M,50%
56113,Grim Batol,1 of 4,Chest,Leather,V>M,12%
56442,Grim Batol,1 of 4,Chest,Leather,M>V,12%
133284,Grim Batol,1 of 4,Chest,Leather,M>H,12%
56128,Grim Batol,4 of 4,Chest,Leather,M>C,10%
56455,Grim Batol,4 of 4,Chest,Leather,M>C,10%
133297,Grim Batol,4 of 4,Chest,Leather,M>C,10%
178698,Mists of Tirna,1 of 3,Chest,Leather,H>C,100%
159314,Siege of Boralus,4 of 4,Chest,Leather,,50%
221157,Ara-Kara,2 of 3,Wrist,Leather,C>M,33%
178702,Mists of Tirna,3 of 3,Wrist,Leather,C>V,50%
221142,Dawnbreaker,2 of 3,Wrist,Leather,H>C,33%
221180,City of Threads,3 of 4,Hands,Leather,H>C,50%
133353,Grim Batol,2 of 4,Waist,Leather,H>C,11%
178699,Mists of Tirna,3 of 3,Waist,Leather,H>V,50%
159309,Siege of Boralus,2 of 4,Waist,Leather,H>C,33%
221134,Dawnbreaker,1 of 3,Waist,Leather,C>M,50%
221153,Ara-Kara,1 of 3,Legs,Leather,M>C,50%
157596,Grim Batol,1 of 4,Legs,Leather,H>C,12%
221169,City of Threads,1 of 4,Feet,Leather,M>C,50%
159320,Siege of Boralus,2 of 4,Feet,Leather,V>C,33%
178731,Necrotic Wake,1 of 4,Feet,Leather,V>C,50%
221181,City of Threads,3 of 4,Neck,,,50%
221154,Ara-Kara,2 of 3,Back,,V>C,33%
157597,Grim Batol,2 of 4,Back,,M>C,11%
133309,Grim Batol,4 of 4,Back,,V>C,10%
221088,Stonevault,3 of 4,Back,,M>H,50%
221189,City of Threads,4 of 4,Finger,,,50%
133286,Grim Batol,1 of 4,Finger,,M>C,12%
56120,Grim Batol,2 of 4,Finger,,H>C,11%
56445,Grim Batol,2 of 4,Finger,,H>C,11%
133287,Grim Batol,2 of 4,Finger,,V>C,11%
133299,Grim Batol,4 of 4,Finger,,H>M,10%
221136,Dawnbreaker,1 of 3,Finger,,,50%
221141,Dawnbreaker,2 of 3,Finger,,,33%
178736,Necrotic Wake,1 of 4,Finger,,H>V,50%
221090,Stonevault,4 of 4,One-Hand,Fist Weapon,Agi,33%
219314,Ara-Kara,1 of 3,Trinket,,,50%
219316,Ara-Kara,2 of 3,Trinket,,"Agi,Str",33%
219317,Ara-Kara,3 of 3,Trinket,,"Agi,Int",50%
219318,City of Threads,1 of 4,Trinket,,,50%
219319,City of Threads,2 of 4,Trinket,,Agi,50%
56115,Grim Batol,1 of 4,Trinket,,Agi,12%
56440,Grim Batol,1 of 4,Trinket,,Agi,12%
133282,Grim Batol,1 of 4,Trinket,,Agi,12%
56121,Grim Batol,2 of 4,Trinket,,,11%
56449,Grim Batol,2 of 4,Trinket,,,11%
133291,Grim Batol,2 of 4,Trinket,,,11%
133304,Grim Batol,2 of 4,Trinket,,,11%
56136,Grim Batol,4 of 4,Trinket,,,10%
56138,Grim Batol,4 of 4,Trinket,,,10%
56462,Grim Batol,4 of 4,Trinket,,,10%
56463,Grim Batol,4 of 4,Trinket,,,10%
133305,Grim Batol,4 of 4,Trinket,,,10%
159623,Siege of Boralus,2 of 4,Trinket,,Agi,33%
219312,Dawnbreaker,2 of 3,Trinket,,"Agi,Int",33%
219301,Stonevault,3 of 4,Trinket,,,50%
219303,Stonevault,4 of 4,Trinket,,,33%
