item_id,from,boss,gear_slot,gear_type,stats,ShamanEle,ShamanEnh,ShamanResto
221156,Ara-Kara,2 of 3,Head,Mail,M>H,50%,33%,50%
56112,Grim Batol,1 of 4,Head,Mail,H>C,11%,14%,11%
56443,Grim Batol,1 of 4,Head,Mail,H>C,11%,14%,11%
133285,Grim Batol,1 of 4,Head,Mail,H>C,11%,14%,11%
178692,Mists of Tirna,1 of 3,Head,Mail,M>H,25%,50%,25%
133374,Grim Batol,4 of 4,Shoulder,Mail,C>M,8%,11%,8%
159376,Siege of Boralus,4 of 4,Shoulder,Mail,,50%,50%,50%
221140,Dawnbreaker,2 of 3,Shoulder,Mail,M>V,25%,25%,25%
178733,Necrotic Wake,1 of 4,Shoulder,Mail,V>M,50%,50%,50%
221179,City of Threads,3 of 4,Chest,Mail,M>V,25%,50%,25%
159362,Siege of Boralus,4 of 4,Chest,Mail,,50%,50%,50%
221174,City of Threads,2 of 4,Wrist,Mail,C>M,33%,50%,33%
178703,Mists of Tirna,3 of 3,Wrist,Mail,M>V,33%,100%,33%
159372,Siege of Boralus,2 of 4,Wrist,Mail,V>H,50%,33%,50%
221162,Ara-Kara,3 of 3,Hands,Mail,V>H,33%,50%,33%
221080,Stonevault,2 of 4,Hands,Mail,V>C,50%,100%,50%
221168,City of Threads,1 of 4,Waist,Mail,H>M,33%,50%,33%
178700,Mists of Tirna,1 of 3,Waist,Mail,V>M,25%,50%,25%
221186,City of Threads,4 of 4,Legs,Mail,H>V,33%,50%,33%
157615,Grim Batol,4 of 4,Legs,Mail,V>M,8%,11%,8%
221152,Ara-Kara,1 of 3,Feet,Mail,H>M,50%,50%,50%
56119,Grim Batol,2 of 4,Feet,Mail,V>M,10%,9%,10%
56448,Grim Batol,2 of 4,Feet,Mail,V>M,10%,9%,10%
133290,Grim Batol,2 of 4,Feet,Mail,M>H,10%,9%,10%
56123,Grim Batol,3 of 4,Feet,Mail,H>C,50%,100%,50%
159379,Siege of Boralus,2 of 4,Feet,Mail,M>H,50%,33%,50%
221202,Dawnbreaker,2 of 3,Feet,Mail,V>H,25%,25%,25%
221181,City of Threads,3 of 4,Neck,,,25%,50%,25%
221154,Ara-Kara,2 of 3,Back,,V>C,50%,33%,50%
157597,Grim Batol,2 of 4,Back,,M>C,10%,9%,10%
56126,Grim Batol,3 of 4,Back,,V>C,50%,0%,50%
133309,Grim Batol,4 of 4,Back,,V>C,8%,11%,8%
221088,Stonevault,3 of 4,Back,,M>H,25%,50%,25%
