item_id,from,boss,gear_slot,gear_type,stats,DkBlood,DkFrost,DkUnholy,DhHavoc,DhVeng,DruidBoomie,DruidCat,DruidBear,DruidResto,EvokerDev,EvokerPres,EvokerAug,HunterBm,HunterMm,HunterSv,MageArcane,MageFire,MageFrost,MonkBrew,MonkMw,MonkWw,PaladinHoly,PaladinProt,PaladinRet,PriestDisc,PriestHoly,PriestShadow,RogueSin,RogueOutlaw,RogueSub,ShamanEle,ShamanEnh,ShamanResto,WarlockAff,WarlockDemo,WarlockDest,WarriorArms,WarriorFury,WarriorProt
221187,City of Threads,4 of 4,Head,Cloth,M>C,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%
56133,Grim Batol,4 of 4,Head,Cloth,C>H,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,7%,7%,0%,0%,0%,0%,0%,0%,7%,7%,7%,0%,0%,0%,0%,0%,0%,7%,7%,7%,0%,0%,0%
56460,Grim Batol,4 of 4,Head,Cloth,H>C,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,7%,7%,0%,0%,0%,0%,0%,0%,7%,7%,7%,0%,0%,0%,0%,0%,0%,7%,7%,7%,0%,0%,0%
133302,Grim Batol,4 of 4,Head,Cloth,H>C,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,7%,7%,0%,0%,0%,0%,0%,0%,7%,7%,7%,0%,0%,0%,0%,0%,0%,7%,7%,7%,0%,0%,0%
178693,Mists of Tirna,3 of 3,Head,Cloth,V>H,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%
159252,Siege of Boralus,4 of 4,Head,Cloth,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%
178732,Necrotic Wake,1 of 4,Head,Cloth,C>M,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%
221163,Ara-Kara,3 of 3,Head,Leather,M>V,0%,0%,0%,33%,33%,33%,33%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,50%,33%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%
159310,Siege of Boralus,4 of 4,Head,Leather,,0%,0%,0%,33%,33%,50%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%
221081,Stonevault,2 of 4,Head,Leather,C>H,0%,0%,0%,50%,50%,50%,100%,100%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%
221156,Ara-Kara,2 of 3,Head,Mail,M>H,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,33%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,33%,50%,0%,0%,0%,0%,0%,0%
56112,Grim Batol,1 of 4,Head,Mail,H>C,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,12%,12%,14%,14%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,14%,11%,0%,0%,0%,0%,0%,0%
56443,Grim Batol,1 of 4,Head,Mail,H>C,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,12%,12%,14%,14%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,14%,11%,0%,0%,0%,0%,0%,0%
133285,Grim Batol,1 of 4,Head,Mail,H>C,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,12%,12%,14%,14%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,14%,11%,0%,0%,0%,0%,0%,0%
178692,Mists of Tirna,1 of 3,Head,Mail,M>H,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,25%,25%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,50%,25%,0%,0%,0%,0%,0%,0%
178694,Mists of Tirna,1 of 3,Head,Plate,H>M,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,100%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,100%
178696,Mists of Tirna,1 of 3,Shoulder,Cloth,C>V,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,25%,25%,25%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%
221135,Dawnbreaker,1 of 3,Shoulder,Cloth,V>C,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%
221175,City of Threads,2 of 4,Shoulder,Leather,V>C,0%,0%,0%,50%,50%,33%,50%,50%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%
221094,Stonevault,4 of 4,Shoulder,Leather,C>V,0%,0%,0%,33%,33%,50%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,50%,33%,0%,0%,0%,0%,0%,0%,50%,33%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%
133374,Grim Batol,4 of 4,Shoulder,Mail,C>M,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,8%,8%,11%,11%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,11%,8%,0%,0%,0%,0%,0%,0%
159376,Siege of Boralus,4 of 4,Shoulder,Mail,,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%
221140,Dawnbreaker,2 of 3,Shoulder,Mail,M>V,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,25%,25%,25%,25%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,25%,25%,0%,0%,0%,0%,0%,0%
178733,Necrotic Wake,1 of 4,Shoulder,Mail,V>M,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,33%,33%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%
221155,Ara-Kara,2 of 3,Shoulder,Plate,V>M,33%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,33%
221185,City of Threads,4 of 4,Shoulder,Plate,C>H,33%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,50%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,50%
56124,Grim Batol,3 of 4,Shoulder,Plate,,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%
159431,Siege of Boralus,4 of 4,Shoulder,Plate,,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%
221176,City of Threads,2 of 4,Chest,Cloth,C>H,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,0%
221095,Stonevault,4 of 4,Chest,Cloth,V>H,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%
221188,City of Threads,4 of 4,Chest,Leather,H>M,0%,0%,0%,50%,50%,33%,50%,50%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,33%,50%,0%,0%,0%,0%,0%,0%,33%,50%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%
56113,Grim Batol,1 of 4,Chest,Leather,V>M,0%,0%,0%,12%,12%,11%,12%,12%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,16%,12%,0%,0%,0%,0%,0%,0%,12%,12%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%
56442,Grim Batol,1 of 4,Chest,Leather,M>V,0%,0%,0%,12%,12%,11%,12%,12%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,16%,12%,0%,0%,0%,0%,0%,0%,12%,12%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%
133284,Grim Batol,1 of 4,Chest,Leather,M>H,0%,0%,0%,12%,12%,11%,12%,12%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,16%,12%,0%,0%,0%,0%,0%,0%,12%,12%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%
56128,Grim Batol,4 of 4,Chest,Leather,M>C,0%,0%,0%,10%,10%,7%,10%,10%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,7%,10%,0%,0%,0%,0%,0%,0%,10%,10%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%
56455,Grim Batol,4 of 4,Chest,Leather,M>C,0%,0%,0%,10%,10%,7%,10%,10%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,7%,10%,0%,0%,0%,0%,0%,0%,10%,10%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%
