item_id,from,dropped_by,boss_position,gear_slot,gear_type,name,distribution,stats,mainstat,DeathKnightBlood,DeathKnightFrost,DeathKnightUH,DemonHunterHavoc,DemonHunterVeng,DruidBear,DruidCat,DruidOwl,DruidResto,EvokerAug,EvokerDev,EvokerPres,HunterBM,HunterMM,HunterSV,MageArc,MageFire,MageFrost,MonkBrew,MonkMW,MonkWW,PaladinHoly,PaladinProt,PaladinRet,PriestDisc,PriestHoly,PriestShad,RogueAss,RogueOut,RogueSub,ShamanEle,ShamanEnh,ShamanResto,WarlockAff,WarlockDemo,WarlockDest,WarriorArms,WarriorFury,WarriorProt,agility,bind,critical strike,dropped_in,haste,intellect,item_level,mastery,primary_stats,required_level,secondary_stats,sell_price,strength,unique,versatility,spec_ids,spec_names
221154,Ara-Kara,Anub'zekt,2 of 3,Back,,Swarmcaller's Shroud,62% Versatility + 37% Critical Strike,V>C,"Agility,Strength,Intellect",33%,33%,33%,33%,33%,33%,33%,50%,50%,50%,50%,50%,33%,33%,33%,50%,50%,50%,33%,50%,33%,50%,33%,33%,50%,50%,50%,33%,33%,33%,50%,33%,50%,50%,50%,50%,33%,33%,33%,100%,Soulbound,37%,"Ara-Kara, City of Echoes",0%,100%,437,0%,"{'Agility': 325, 'Strength': 325, 'Intellect': 325}",68,"{'Critical Strike': 177, 'Versatility': 299}","39 gold, 16 silver, 33 copper",100%,False,62%,"250, 251, 252, 577, 581, 102, 103, 104, 105, 1467, 1468, 1473, 253, 254, 255, 62, 63, 64, 268, 270, 269, 65, 66, 70, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 71, 72, 73","Blood Death Knight, Frost Death Knight, Unholy Death Knight, Havoc Demon Hunter, Vengeance Demon Hunter, Balance Druid, Feral Druid, Guardian Druid, Restoration Druid, Devastation Evoker, Preservation Evoker, Augmentation Evoker, Beast Mastery Hunter, Marksmanship Hunter, Survival Hunter, Arcane Mage, Fire Mage, Frost Mage, Brewmaster Monk, Mistweaver Monk, Windwalker Monk, Holy Paladin, Protection Paladin, Retribution Paladin, Discipline Priest, Holy Priest, Shadow Priest, Assassination Rogue, Outlaw Rogue, Subtlety Rogue, Elemental Shaman, Enhancement Shaman, Restoration Shaman, Affliction Warlock, Demonology Warlock, Destruction Warlock, Arms Warrior, Fury Warrior, Protection Warrior"
221054,Cinderbrew,Brew Master Aldryr,1 of 4,Back,,Chef Chewie's Towel,64% Critical Strike + 35% Mastery,C>M,"Agility,Strength,Intellect",33%,33%,33%,33%,33%,33%,33%,33%,33%,50%,50%,50%,50%,50%,50%,50%,50%,50%,25%,33%,25%,33%,33%,33%,50%,50%,50%,33%,25%,33%,50%,33%,50%,50%,50%,50%,33%,33%,33%,100%,Soulbound,64%,Cinderbrew Meadery,0%,100%,437,35%,"{'Agility': 325, 'Strength': 325, 'Intellect': 325}",68,"{'Critical Strike': 309, 'Mastery': 167}","38 gold, 14 silver, 5 copper",100%,False,0%,"250, 251, 252, 577, 581, 102, 103, 104, 105, 1467, 1468, 1473, 253, 254, 255, 62, 63, 64, 268, 270, 269, 65, 66, 70, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 71, 72, 73","Blood Death Knight, Frost Death Knight, Unholy Death Knight, Havoc Demon Hunter, Vengeance Demon Hunter, Balance Druid, Feral Druid, Guardian Druid, Restoration Druid, Devastation Evoker, Preservation Evoker, Augmentation Evoker, Beast Mastery Hunter, Marksmanship Hunter, Survival Hunter, Arcane Mage, Fire Mage, Frost Mage, Brewmaster Monk, Mistweaver Monk, Windwalker Monk, Holy Paladin, Protection Paladin, Retribution Paladin, Discipline Priest, Holy Priest, Shadow Priest, Assassination Rogue, Outlaw Rogue, Subtlety Rogue, Elemental Shaman, Enhancement Shaman, Restoration Shaman, Affliction Warlock, Demonology Warlock, Destruction Warlock, Arms Warrior, Fury Warrior, Protection Warrior"
221109,Darkflame Cleft,The Candle King,3 of 4,Back,,Candlebearer's Shroud,64% Versatility + 35% Critical Strike,V>C,"Agility,Strength,Intellect",100%,100%,100%,50%,50%,50%,50%,33%,33%,25%,25%,25%,50%,50%,50%,33%,33%,33%,50%,25%,50%,33%,100%,100%,33%,33%,33%,50%,50%,50%,25%,50%,25%,33%,33%,33%,100%,100%,100%,100%,Soulbound,35%,Darkflame Cleft,0%,100%,437,0%,"{'Agility': 325, 'Strength': 325, 'Intellect': 325}",68,"{'Critical Strike': 167, 'Versatility': 309}","41 gold, 36 silver, 35 copper",100%,False,64%,"250, 251, 252, 577, 581, 102, 103, 104, 105, 1467, 1468, 1473, 253, 254, 255, 62, 63, 64, 268, 270, 269, 65, 66, 70, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 71, 72, 73","Blood Death Knight, Frost Death Knight, Unholy Death Knight, Havoc Demon Hunter, Vengeance Demon Hunter, Balance Druid, Feral Druid, Guardian Druid, Restoration Druid, Devastation Evoker, Preservation Evoker, Augmentation Evoker, Beast Mastery Hunter, Marksmanship Hunter, Survival Hunter, Arcane Mage, Fire Mage, Frost Mage, Brewmaster Monk, Mistweaver Monk, Windwalker Monk, Holy Paladin, Protection Paladin, Retribution Paladin, Discipline Priest, Holy Priest, Shadow Priest, Assassination Rogue, Outlaw Rogue, Subtlety Rogue, Elemental Shaman, Enhancement Shaman, Restoration Shaman, Affliction Warlock, Demonology Warlock, Destruction Warlock, Arms Warrior, Fury Warrior, Protection Warrior"
221088,Stonevault,Speaker Dorlita,3 of 4,Back,,Anvilhide Cape,62% Mastery + 37% Haste,M>H,"Agility,Strength,Intellect",33%,33%,33%,50%,50%,50%,50%,25%,25%,25%,25%,25%,50%,50%,50%,20%,20%,20%,50%,25%,50%,25%,33%,33%,20%,20%,20%,50%,50%,50%,25%,50%,25%,20%,20%,20%,33%,33%,33%,100%,Soulbound,0%,The Stonevault,37%,100%,437,62%,"{'Agility': 325, 'Strength': 325, 'Intellect': 325}",68,"{'Haste': 177, 'Mastery': 299}","41 gold, 22 silver, 47 copper",100%,False,0%,"250, 251, 252, 577, 581, 102, 103, 104, 105, 1467, 1468, 1473, 253, 254, 255, 62, 63, 64, 268, 270, 269, 65, 66, 70, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 71, 72, 73","Blood Death Knight, Frost Death Knight, Unholy Death Knight, Havoc Demon Hunter, Vengeance Demon Hunter, Balance Druid, Feral Druid, Guardian Druid, Restoration Druid, Devastation Evoker, Preservation Evoker, Augmentation Evoker, Beast Mastery Hunter, Marksmanship Hunter, Survival Hunter, Arcane Mage, Fire Mage, Frost Mage, Brewmaster Monk, Mistweaver Monk, Windwalker Monk, Holy Paladin, Protection Paladin, Retribution Paladin, Discipline Priest, Holy Priest, Shadow Priest, Assassination Rogue, Outlaw Rogue, Subtlety Rogue, Elemental Shaman, Enhancement Shaman, Restoration Shaman, Affliction Warlock, Demonology Warlock, Destruction Warlock, Arms Warrior, Fury Warrior, Protection Warrior"
221179,City of Threads,The Coaglamation,3 of 4,Chest,Mail,Coagulum Cuirass,65% Mastery + 34% Versatility,M>V,"Agility,Intellect",0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,33%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,50%,25%,0%,0%,0%,0%,0%,0%,100%,Soulbound,0%,City of Threads,0%,100%,437,65%,"{'Agility': 578, 'Intellect': 578}",68,"{'Versatility': 296, 'Mastery': 550}","54 gold, 68 silver, 99 copper",0%,False,34%,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","Beast Mastery Hunter, Marksmanship Hunter, Survival Hunter, Elemental Shaman, Enhancement Shaman, Restoration Shaman, Devastation Evoker, Preservation Evoker, Augmentation Evoker"
221041,Rookery,Stormguard Gorren,2 of 3,Chest,Mail,Boltbreaker Armor,60% Critical Strike + 39% Mastery,C>M,"Agility,Intellect",0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,33%,33%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,50%,33%,0%,0%,0%,0%,0%,0%,100%,Soulbound,60%,The Rookery,0%,100%,437,39%,"{'Agility': 578, 'Intellect': 578}",68,"{'Critical Strike': 514, 'Mastery': 332}","52 gold, 31 silver, 74 copper",0%,False,0%,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","Beast Mastery Hunter, Marksmanship Hunter, Survival Hunter, Elemental Shaman, Enhancement Shaman, Restoration Shaman, Devastation Evoker, Preservation Evoker, Augmentation Evoker"
221152,Ara-Kara,Avanoxx,1 of 3,Feet,Mail,Silksteel Striders,58% Haste + 41% Mastery,H>M,"Agility,Intellect",0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,33%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,0%,0%,0%,0%,0%,0%,100%,Soulbound,0%,"Ara-Kara, City of Echoes",58%,100%,437,41%,"{'Agility': 433, 'Intellect': 433}",68,"{'Haste': 372, 'Mastery': 263}","38 gold, 87 silver, 39 copper",0%,False,0%,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","Beast Mastery Hunter, Marksmanship Hunter, Survival Hunter, Elemental Shaman, Enhancement Shaman, Restoration Shaman, Devastation Evoker, Preservation Evoker, Augmentation Evoker"
221106,Darkflame Cleft,The Candle King,3 of 4,Feet,Mail,Gloomstomper's Sabatons,62% Mastery + 37% Haste,M>H,"Agility,Intellect",0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,25%,25%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,50%,25%,0%,0%,0%,0%,0%,0%,100%,Soulbound,0%,Darkflame Cleft,37%,100%,437,62%,"{'Agility': 433, 'Intellect': 433}",68,"{'Haste': 236, 'Mastery': 399}","40 gold, 92 silver, 74 copper",0%,False,0%,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","Beast Mastery Hunter, Marksmanship Hunter, Survival Hunter, Elemental Shaman, Enhancement Shaman, Restoration Shaman, Devastation Evoker, Preservation Evoker, Augmentation Evoker"
221202,Dawnbreaker,Anub'ikkaj,2 of 3,Feet,Mail,Defiance Crusher's Sabatons,64% Versatility + 35% Haste,V>H,"Agility,Intellect",0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,25%,25%,25%,25%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,25%,25%,0%,0%,0%,0%,0%,0%,100%,Soulbound,0%,The Dawnbreaker,35%,100%,437,0%,"{'Agility': 433, 'Intellect': 433}",68,"{'Haste': 222, 'Versatility': 412}","41 gold, 36 silver, 75 copper",0%,False,64%,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","Beast Mastery Hunter, Marksmanship Hunter, Survival Hunter, Elemental Shaman, Enhancement Shaman, Restoration Shaman, Devastation Evoker, Preservation Evoker, Augmentation Evoker"
221035,Rookery,Kyrioss,1 of 3,Feet,Mail,Treads of the Galvanic Skysoarer,60% Haste + 39% Mastery,H>M,"Agility,Intellect",0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,50%,50%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,33%,50%,0%,0%,0%,0%,0%,0%,100%,Soulbound,0%,The Rookery,60%,100%,437,39%,"{'Agility': 433, 'Intellect': 433}",68,"{'Haste': 385, 'Mastery': 249}","38 gold, 29 silver, 12 copper",0%,False,0%,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","Beast Mastery Hunter, Marksmanship Hunter, Survival Hunter, Elemental Shaman, Enhancement Shaman, Restoration Shaman, Devastation Evoker, Preservation Evoker, Augmentation Evoker"
