item_id,from,boss,gear_slot,gear_type,stats,MonkBrew,MonkMw,MonkWw
221163,Ara-Kara,3 of 3,Head,Leather,M>V,33%,50%,33%
221125,Priory,2 of 3,Head,Leather,C>M,50%,33%,50%
221081,Stonevault,2 of 4,Head,Leather,C>H,100%,100%,100%
221201,Cinderbrew,3 of 4,Shoulder,Leather,H>V,50%,100%,50%
221175,City of Threads,2 of 4,Shoulder,Leather,V>C,50%,50%,50%
221094,Stonevault,4 of 4,Shoulder,Leather,C>V,33%,50%,33%
221188,City of Threads,4 of 4,Chest,Leather,H>M,50%,33%,50%
221130,Priory,3 of 3,Chest,Leather,V>H,33%,33%,33%
221049,Rookery,3 of 3,Chest,Leather,M>V,33%,33%,33%
221157,Ara-Kara,2 of 3,Wrist,Leather,C>M,33%,50%,33%
221053,Cinderbrew,1 of 4,Wrist,Leather,M>H,25%,33%,25%
221142,Dawnbreaker,2 of 3,Wrist,Leather,H>C,25%,33%,25%
221180,City of Threads,3 of 4,Hands,Leather,H>C,50%,33%,50%
221102,Darkflame Cleft,2 of 4,Hands,Leather,H>M,50%,33%,50%
221036,Rookery,1 of 3,Hands,Leather,M>C,33%,50%,33%
221058,Cinderbrew,2 of 4,Waist,Leather,V>H,33%,33%,33%
221107,Darkflame Cleft,3 of 4,Waist,Leather,C>M,50%,25%,50%
221134,Dawnbreaker,1 of 3,Waist,Leather,C>M,50%,33%,50%
221153,Ara-Kara,1 of 3,Legs,Leather,M>C,50%,33%,50%
221114,Darkflame Cleft,4 of 4,Legs,Leather,H>C,50%,50%,50%
221042,Rookery,2 of 3,Legs,Leather,V>C,50%,50%,50%
221071,Cinderbrew,4 of 4,Feet,Leather,M>H,50%,33%,50%
221169,City of Threads,1 of 4,Feet,Leather,M>C,50%,33%,50%
221120,Priory,1 of 3,Feet,Leather,H>M,33%,50%,33%
221060,Cinderbrew,2 of 4,Neck,,H>M,33%,33%,33%
221181,City of Threads,3 of 4,Neck,,V>C,50%,33%,50%
221103,Darkflame Cleft,2 of 4,Neck,,C>V,50%,33%,50%
221154,Ara-Kara,2 of 3,Back,,V>C,33%,50%,33%
221054,Cinderbrew,1 of 4,Back,,C>M,25%,33%,25%
221109,Darkflame Cleft,3 of 4,Back,,V>C,50%,25%,50%
221088,Stonevault,3 of 4,Back,,M>H,50%,25%,50%
221198,Cinderbrew,4 of 4,Finger,,M>C,50%,33%,50%
221189,City of Threads,4 of 4,Finger,,V>H,50%,33%,50%
221099,Darkflame Cleft,1 of 4,Finger,,H>V,50%,50%,50%
221200,Priory,3 of 3,Finger,,M>V,33%,33%,33%
221136,Dawnbreaker,1 of 3,Finger,,C>H,50%,33%,50%
221141,Dawnbreaker,2 of 3,Finger,,V>M,25%,33%,25%
221197,Rookery,3 of 3,Finger,,C>M,33%,33%,33%
221105,Darkflame Cleft,3 of 4,One-Hand,Axe,Int,0%,25%,0%
221033,Rookery,1 of 3,One-Hand,Axe,Agi,33%,0%,33%
221090,Stonevault,4 of 4,One-Hand,Fist Weapon,Agi,33%,0%,33%
221051,Cinderbrew,1 of 4,One-Hand,Mace,Agi,25%,0%,25%
221122,Priory,2 of 3,One-Hand,Mace,Int,0%,33%,0%
221128,Priory,3 of 3,One-Hand,Mace,Agi,33%,0%,33%
221150,Ara-Kara,1 of 3,One-Hand,Sword,Int,0%,33%,0%
221116,Priory,1 of 3,Two-Hand,Polearm,Agi,33%,0%,33%
221137,Dawnbreaker,2 of 3,Two-Hand,Polearm,Agi,25%,0%,25%
221159,Ara-Kara,3 of 3,Two-Hand,Staff,Agi,33%,0%,33%
221057,Cinderbrew,2 of 4,Two-Hand,Staff,Agi,33%,0%,33%
221166,City of Threads,1 of 4,Two-Hand,Staff,Int,0%,33%,0%
221032,Rookery,1 of 3,Two-Hand,Staff,Int,0%,50%,0%
221085,Stonevault,3 of 4,Two-Hand,Staff,Int,0%,25%,0%
221056,Cinderbrew,2 of 4,Held In Off-hand,,Int,0%,33%,0%
221172,City of Threads,2 of 4,Held In Off-hand,,Int,0%,50%,0%
221097,Darkflame Cleft,1 of 4,Held In Off-hand,,Int,0%,50%,0%
221132,Dawnbreaker,1 of 3,Held In Off-hand,,Int,0%,33%,0%
219314,Ara-Kara,1 of 3,Trinket,,,50%,33%,50%
219316,Ara-Kara,2 of 3,Trinket,,"Agi,Str",33%,0%,33%
219317,Ara-Kara,3 of 3,Trinket,,"Agi,Int",33%,50%,33%
219297,Cinderbrew,1 of 4,Trinket,,,25%,33%,25%
219298,Cinderbrew,3 of 4,Trinket,,"Agi,Str",50%,0%,50%
219299,Cinderbrew,4 of 4,Trinket,,Int,0%,33%,0%
219318,City of Threads,1 of 4,Trinket,,,50%,33%,50%
219319,City of Threads,2 of 4,Trinket,,Agi,50%,0%,50%
219320,City of Threads,3 of 4,Trinket,,Int,0%,33%,0%
219321,City of Threads,4 of 4,Trinket,,Int,0%,33%,0%
219304,Darkflame Cleft,1 of 4,Trinket,,Agi,50%,0%,50%
219305,Darkflame Cleft,2 of 4,Trinket,,Int,0%,33%,0%
219306,Darkflame Cleft,3 of 4,Trinket,,Int,0%,25%,0%
219307,Darkflame Cleft,4 of 4,Trinket,,,50%,50%,50%
219308,Priory,1 of 3,Trinket,,All3,33%,50%,33%
219309,Priory,2 of 3,Trinket,,,50%,33%,50%
219310,Priory,3 of 3,Trinket,,Int,0%,33%,0%
219312,Dawnbreaker,2 of 3,Trinket,,"Agi,Int",25%,33%,25%
219294,Rookery,1 of 3,Trinket,,Agi,33%,0%,33%
219295,Rookery,2 of 3,Trinket,,All3,50%,50%,50%
219296,Rookery,3 of 3,Trinket,,,33%,33%,33%
219301,Stonevault,3 of 4,Trinket,,,50%,25%,50%
219302,Stonevault,3 of 4,Trinket,,Int,0%,25%,0%
219303,Stonevault,4 of 4,Trinket,,,33%,50%,33%
