item_id,from,boss,gear_slot,gear_type,stats,PaladinHoly
221100,Darkflame Cleft,2 of 4,Head,Plate,H>V,33%
221047,Rookery,3 of 3,Head,Plate,V>H,33%
221155,Ara-Kara,2 of 3,Shoulder,Plate,V>M,50%
221052,Cinderbrew,1 of 4,Shoulder,Plate,V>M,33%
221185,City of Threads,4 of 4,Shoulder,Plate,C>H,33%
221203,Priory,3 of 3,Shoulder,Plate,C>V,33%
221161,Ara-Kara,3 of 3,Chest,Plate,V>H,50%
221069,Cinderbrew,4 of 4,Chest,Plate,H>C,33%
221139,Dawnbreaker,2 of 3,Chest,Plate,C>V,33%
221064,Cinderbrew,3 of 4,Wrist,Plate,C>H,100%
221167,City of Threads,1 of 4,Wrist,Plate,H>V,50%
221118,Priory,1 of 3,Wrist,Plate,C>H,33%
221151,Ara-Kara,1 of 3,Hands,Plate,H>V,33%
221112,Darkflame Cleft,4 of 4,Hands,Plate,V>H,50%
221086,Stonevault,3 of 4,Hands,Plate,H>C,25%
221133,Dawnbreaker,1 of 3,Waist,Plate,M>H,33%
221040,Rookery,2 of 3,Waist,Plate,M>H,33%
221079,Stonevault,2 of 4,Waist,Plate,C>M,50%
221173,City of Threads,2 of 4,Legs,Plate,M>H,50%
221034,Rookery,1 of 3,Legs,Plate,H>V,100%
221092,Stonevault,4 of 4,Legs,Plate,M>C,50%
221061,Cinderbrew,2 of 4,Feet,Plate,M>C,33%
221178,City of Threads,3 of 4,Feet,Plate,V>H,25%
221123,Priory,2 of 3,Feet,Plate,V>M,33%
221060,Cinderbrew,2 of 4,Neck,,H>M,33%
221181,City of Threads,3 of 4,Neck,,V>C,25%
221103,Darkflame Cleft,2 of 4,Neck,,C>V,33%
221154,Ara-Kara,2 of 3,Back,,V>C,50%
221054,Cinderbrew,1 of 4,Back,,C>M,33%
221109,Darkflame Cleft,3 of 4,Back,,V>C,33%
221088,Stonevault,3 of 4,Back,,M>H,25%
221198,Cinderbrew,4 of 4,Finger,,M>C,33%
221189,City of Threads,4 of 4,Finger,,V>H,33%
221099,Darkflame Cleft,1 of 4,Finger,,H>V,50%
221200,Priory,3 of 3,Finger,,M>V,33%
221136,Dawnbreaker,1 of 3,Finger,,C>H,33%
221141,Dawnbreaker,2 of 3,Finger,,V>M,33%
221197,Rookery,3 of 3,Finger,,C>M,33%
221105,Darkflame Cleft,3 of 4,One-Hand,Axe,Int,33%
221122,Priory,2 of 3,One-Hand,Mace,Int,33%
221150,Ara-Kara,1 of 3,One-Hand,Sword,Int,33%
221083,Stonevault,2 of 4,Two-Hand,Mace,Int,50%
221056,Cinderbrew,2 of 4,Held In Off-hand,,Int,33%
221172,City of Threads,2 of 4,Held In Off-hand,,Int,50%
221097,Darkflame Cleft,1 of 4,Held In Off-hand,,Int,50%
221132,Dawnbreaker,1 of 3,Held In Off-hand,,Int,33%
221177,City of Threads,3 of 4,Off Hand,Shield,"Str,Int",25%
221117,Priory,1 of 3,Off Hand,Shield,"Str,Int",33%
221045,Rookery,2 of 3,Off Hand,Shield,"Str,Int",33%
219314,Ara-Kara,1 of 3,Trinket,,,33%
219317,Ara-Kara,3 of 3,Trinket,,"Agi,Int",50%
219297,Cinderbrew,1 of 4,Trinket,,,33%
219299,Cinderbrew,4 of 4,Trinket,,Int,33%
219318,City of Threads,1 of 4,Trinket,,,50%
219320,City of Threads,3 of 4,Trinket,,Int,25%
219321,City of Threads,4 of 4,Trinket,,Int,33%
219305,Darkflame Cleft,2 of 4,Trinket,,Int,33%
219306,Darkflame Cleft,3 of 4,Trinket,,Int,33%
219307,Darkflame Cleft,4 of 4,Trinket,,,50%
219308,Priory,1 of 3,Trinket,,All3,33%
219309,Priory,2 of 3,Trinket,,,33%
219310,Priory,3 of 3,Trinket,,Int,33%
219312,Dawnbreaker,2 of 3,Trinket,,"Agi,Int",33%
219295,Rookery,2 of 3,Trinket,,All3,33%
219296,Rookery,3 of 3,Trinket,,,33%
219301,Stonevault,3 of 4,Trinket,,,25%
219302,Stonevault,3 of 4,Trinket,,Int,25%
219303,Stonevault,4 of 4,Trinket,,,50%
