GUID,Description,Guild,Owner,Visibility,UploadedAsEpoch,UploadedAsDateTime,DurationAsEpoch,DurationAsTime
3MAdjvQw4FLDypHg,a,Personal Logs,Juuuul,Public,1754397331,"August 5, 2025 2:35 PM",000005690705,2 hours
d1nGfw8XkV4vBMCY,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754396655,"August 5, 2025 2:24 PM",000011154738,3 hours
XFKPjqdfJVcRYHMG,Mythic+ Season 3,Personal Logs,crippa1337,Public,1754395037,"August 5, 2025 1:57 PM",000004334867,an hour
jfc46287ZTpNGvrA,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754393484,"August 5, 2025 1:31 PM",000007954561,2 hours
gYTHPnb3RZthBVrw,16 dawnyb with shin and flames,Personal Logs,Nice,Public,1754376210,"August 5, 2025 8:43 AM",000015233337,4 hours
7LKgDPfNYrXC1jwq,ptr LAST DAY before patch,Personal Logs,Zorjeff,Public,1754364773,"August 5, 2025 5:32 AM",000034151776,9 hours
8CG3TZLr4wBFnRQK,14 eco,Personal Logs,Nice,Public,1754354770,"August 5, 2025 2:46 AM",000004638038,an hour
XqHPMNv8Bw2AzRkF,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1754354072,"August 5, 2025 2:34 AM",000025402183,7 hours
CmMfz62cnahNvqLG,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754352995,"August 5, 2025 2:16 AM",000021546556,6 hours
v4LNMPVg26YBW3mw,16 db aug,Personal Logs,Nice,Public,1754352753,"August 5, 2025 2:12 AM",000002603630,43 minutes
DzCMrKXjkcZBn816,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754350561,"August 5, 2025 1:36 AM",000021027885,6 hours
9aCktvPc4MD8xG2h,m+ ptr monday 04/08,Personal Logs,TomElvis,Public,1754350496,"August 5, 2025 1:34 AM",000011264602,3 hours
kC8Ld6jDmpGgc3zQ,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754345497,"August 5, 2025 12:11 AM",000016045146,4 hours
ptVKYH3JjvmqDfgX,Mythic+ Season 3,Personal Logs,Yegu,Public,1754342666,"August 4, 2025 11:24 PM",000004558693,an hour
DcBN1vzKWHCpJY6G,Mythic+ Season 3,Personal Logs,Yegu,Public,1754340387,"August 4, 2025 10:46 PM",000006146808,2 hours
aRHyWvGgdc62MAzQ,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754338316,"August 4, 2025 10:11 PM",000008886855,2 hours
JB19L7wCdaHTQ4rN,Mythic+ Season 3,Personal Logs,ricardowarrior,Public,1754335250,"August 4, 2025 9:20 PM",000008709153,2 hours
MZdmCnQ4cvJ1X6hP,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754332874,"August 4, 2025 8:41 PM",000003516118,an hour
13nZRPJ6tC2NkVFa,PTR,Personal Logs,Stentyg,Public,1754332431,"August 4, 2025 8:33 PM",000015191581,4 hours
X2pjwgG6x74hDfPV,Mythic+ Season 3,Personal Logs,JDedalus,Public,1754322972,"August 4, 2025 5:56 PM",000003039042,an hour
rhXnPC6MKqgBQRmV,a,Personal Logs,Juuuul,Public,1754322737,"August 4, 2025 5:52 PM",000002300522,38 minutes
dGchmDzq6xQ4Zwkb,PTR,Personal Logs,Stentyg,Public,1754313232,"August 4, 2025 3:13 PM",000458339240,5 days
mcPhar3fVM6tKJbg,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754273496,"August 4, 2025 4:11 AM",000005229014,an hour
ACTDJPhK8F4a9BdL,Mythic+ Season 3,Personal Logs,MadK0rts,Public,1754271647,"August 4, 2025 3:40 AM",000003377388,an hour
2j8hLdZyNaD6GvVm,Mythic+ Season 3,Personal Logs,Xeoo,Public,1754260436,"August 4, 2025 12:33 AM",000010179237,3 hours
N4TQm6h9PDcFY17L,16 halls cringe people lol,Personal Logs,Nice,Public,1754256631,"August 3, 2025 11:30 PM",000005155605,an hour
b4Z2T9dmQc8Ykjpg,Mythic+ Season 3,Personal Logs,Darragh,Public,1754250996,"August 3, 2025 9:56 PM",000010365550,3 hours
ByCGrdDnYKmjVwcR,Mythic+ Season 3,Personal Logs,Yegu,Public,1754249650,"August 3, 2025 9:34 PM",000024717262,7 hours
F3k2Pz4xg8rNCmfJ,m+ ptr sunday 03/08,Personal Logs,TomElvis,Public,1754245230,"August 3, 2025 8:20 PM",000017147616,5 hours
RhajLZkyNMJGwT4X,keys,Personal Logs,karlosdeklerk,Public,1754237395,"August 3, 2025 6:09 PM",000009548521,3 hours
VY8k6TNQPydtDfp2,18破晨号,Personal Logs,美团搜担担面,Public,1754234817,"August 3, 2025 5:26 PM",000005061532,an hour
x7M196GAK2Xk3Ymj,Mythic+ Season 3,Personal Logs,Gio_KW,Public,1754225955,"August 3, 2025 2:59 PM",000010558550,3 hours
PV8LKRAFbzGfpY9X,m+ ptr saturday night 02/08,Personal Logs,TomElvis,Public,1754219250,"August 3, 2025 1:07 PM",000013585155,4 hours
fkZLgncHNG2haQw1,Mythic+ Season 3,Personal Logs,lgp0509csu,Public,1754219247,"August 3, 2025 1:07 PM",000013734873,4 hours
p67X9MyvAqnYTtQc,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1754218225,"August 3, 2025 12:50 PM",000002157462,36 minutes
mwDgAqPrnMyHhBNJ,Mythic+ Season 3,Personal Logs,jajimentol,Public,1754218189,"August 3, 2025 12:49 PM",000012997728,4 hours
4YWjCgJpca9hnZTM,DKT 17破晨,Personal Logs,Windfire,Public,1754211345,"August 3, 2025 10:55 AM",000003242666,an hour
aFtWXGJ8MyrZpmKQ,Mythic+ Season 3,Personal Logs,PatrickMo,Public,1754206407,"August 3, 2025 9:33 AM",000001862914,31 minutes
CvF1N8yfYPWRMkjd,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1754194899,"August 3, 2025 6:21 AM",000038165533,11 hours
AzVk6Z7FK2vgQntD,ptr saturday,Personal Logs,Zorjeff,Public,1754178103,"August 3, 2025 1:41 AM",000038789334,11 hours
TRyJXcLpFxAZKvwH,Mythic+ Season 3,Personal Logs,Shadhuun,Public,1754169224,"August 2, 2025 11:13 PM",000001687250,28 minutes
m89QvYXcZjrk31CB,Mythic+ Season 3,Personal Logs,MioShimo,Public,1754168129,"August 2, 2025 10:55 PM",000015625652,4 hours
xhpkY7qMZd8jDacJ,Mythic+ Season 3,Personal Logs,Gio_KW,Public,1754167405,"August 2, 2025 10:43 PM",000008279638,2 hours
djLcQZHwtqN8WXRM,Mythic+ Season 3,Personal Logs,Gio_KW,Public,1754167322,"August 2, 2025 10:42 PM",000012170464,3 hours
p8mWCJr73DTdynNH,Mythic+ Season 3,Personal Logs,YoDaTV,Public,1754160510,"August 2, 2025 8:48 PM",000033343083,9 hours
