GUID,Description,Guild,Owner,Visibility,UploadedAsEpoch,UploadedAsDateTime,DurationAsEpoch,DurationAsTime
XFKPjqdfJVcRYHMG,Mythic+ Season 3,Personal Logs,crippa1337,Public,1754395037,"August 5, 2025 1:57 PM",000004334867,an hour
7LKgDPfNYrXC1jwq,ptr LAST DAY before patch,Personal Logs,Zorjeff,Public,1754364773,"August 5, 2025 5:32 AM",000034151776,9 hours
B3pn2x94AchwbL86,ptr,Personal Logs,Vorty,Public,1754362301,"August 5, 2025 4:51 AM",000006784632,2 hours
y8ZV7YXnNG9raWxv,250805 Al’dani +16 MM,Personal Logs,Umbrellas,Public,1754360723,"August 5, 2025 4:25 AM",000001973339,33 minutes
ZChrzxwgYj92cnv8,m+,Personal Logs,Phycoz,Public,1754354858,"August 5, 2025 2:47 AM",000001508571,25 minutes
8CG3TZLr4wBFnRQK,14 eco,Personal Logs,Nice,Public,1754354770,"August 5, 2025 2:46 AM",000004638038,an hour
9aCktvPc4MD8xG2h,m+ ptr monday 04/08,Personal Logs,TomElvis,Public,1754350496,"August 5, 2025 1:34 AM",000011264602,3 hours
Pft9kVcwp48ra7yK,keys,Personal Logs,karlosdeklerk,Public,1754341563,"August 4, 2025 11:06 PM",000010799482,3 hours
DcBN1vzKWHCpJY6G,Mythic+ Season 3,Personal Logs,Yegu,Public,1754340387,"August 4, 2025 10:46 PM",000006146808,2 hours
GTfLc9mhaZzApdrg,Mythic+ Season 3,Personal Logs,Gio_KW,Public,1754338055,"August 4, 2025 10:07 PM",000012050154,3 hours
GXd7MpQ1gT3DxZ2W,Mythic+ Season 3,Personal Logs,chaseddaway,Public,1754332141,"August 4, 2025 8:29 PM",000008670196,2 hours
kx7TMD2fWFA18bJr,m+ ptr 04/08/2025,Personal Logs,Trinitehh,Public,1754331532,"August 4, 2025 8:18 PM",000002303547,38 minutes
NDKbxWCh6L1yFX23,Mythic+ Season 3,Personal Logs,Wordpudding,Public,1754325180,"August 4, 2025 6:33 PM",000004935126,an hour
qarMPC6xpAQVBgb7,17圆顶(cjq),Personal Logs,美团搜担担面,Public,1754324659,"August 4, 2025 6:24 PM",000012819769,4 hours
XGycfP9HqtTkRVg3,DKT 17圆顶16天街,Personal Logs,Windfire,Public,1754324643,"August 4, 2025 6:24 PM",000005097905,an hour
XqnGamD6kAcy7RNw,trying to aug,Personal Logs,corrisx3,Public,1754322536,"August 4, 2025 5:48 PM",000008453342,2 hours
tPpqnVGcKaFY4zXr,Mythic+ Season 3,Personal Logs,dlkey,Public,1754319978,"August 4, 2025 5:06 PM",000008870332,2 hours
DRAZkmHb4YFpW6PJ,DKT 17圆顶17隐修院,Personal Logs,Windfire,Public,1754319095,"August 4, 2025 4:51 PM",000009778892,3 hours
dGchmDzq6xQ4Zwkb,PTR,Personal Logs,Stentyg,Public,1754313232,"August 4, 2025 3:13 PM",000458339240,5 days
2qRQgtBAkVa4XK6j,m+ ptr 04/08/2025,Personal Logs,Trinitehh,Public,1754312475,"August 4, 2025 3:01 PM",000010606077,3 hours
K4CTnAQ7gb2VBFLp,18圆顶（已通关）,Personal Logs,美团搜担担面,Public,1754301467,"August 4, 2025 11:57 AM",000005510308,2 hours
FHMbqBRVrgkhfm2d,Mythic+ Season 3,Personal Logs,Hwoarang,Public,1754301185,"August 4, 2025 11:53 AM",000001346058,22 minutes
hpxQRL6GbcVqNjFk,Mythic+ Season 3,Personal Logs,Yechongyue,Public,1754299945,"August 4, 2025 11:32 AM",000006102190,2 hours
RfG4QgC1Kpt8dTjr,ptr keys,Personal Logs,chantellope,Public,1754297225,"August 4, 2025 10:47 AM",000019202506,5 hours
VhLwxCapAkZzcQjf,Route Testing Night 3,Personal Logs,yoloswagginzbdf,Public,1754286063,"August 4, 2025 7:41 AM",000008610263,2 hours
pDLY4jmrhcgy7KqG,Mythic+ Season 3,Personal Logs,porlix,Public,1754280250,"August 4, 2025 6:04 AM",000007812109,2 hours
2dhFWKt3qMfDQzN1,Mythic+ Season 3,Personal Logs,kaelik14,Public,1754277806,"August 4, 2025 5:23 AM",000002319916,39 minutes
